fold,train_years,train_start,test_start,test_period,test_end,strategy_cumulative_return,benchmark_cumulative_return,alpha,strategy_sharpe,benchmark_sharpe,excess_sharpe,strategy_sortino,strategy_max_drawdown,strategy_calmar,strategy_volatility,n_stocks
1,1,2021-01-01,2022-01-01,2022-01-01 → 2022-04-01,2022-04-01,-0.0527,-0.0523,-0.0004,-0.6843,-1.0978,0.4135,-1.3741,-0.1790,-1.1033,0.3108,10
2,1,2021-04-01,2022-04-01,2022-04-01 → 2022-07-01,2022-07-01,0.0008,-0.1585,0.1593,-0.0244,-2.4639,2.4395,-0.0349,-0.1646,0.0202,0.2488,10
3,1,2021-07-01,2022-07-01,2022-07-01 → 2022-10-01,2022-10-01,0.1200,-0.0627,0.1827,1.3809,-1.2878,2.6687,2.6853,-0.1546,3.7121,0.3411,10
4,1,2021-10-01,2022-10-01,2022-10-01 → 2023-01-01,2023-01-01,0.1449,0.0438,0.1011,2.6043,0.6630,1.9413,4.4133,-0.0475,15.4281,0.2039,10
5,1,2022-01-01,2023-01-01,2023-01-01 → 2023-04-01,2023-04-01,-0.0078,0.0746,-0.0824,-0.2692,1.6048,-1.8740,-0.4813,-0.1478,-0.2166,0.1980,10
6,2,2021-01-01,2023-01-01,2023-01-01 → 2023-04-01,2023-04-01,0.0862,0.0746,0.0116,1.4811,1.6048,-0.1237,3.4987,-0.1245,3.2690,0.2196,10
7,1,2022-04-01,2023-04-01,2023-04-01 → 2023-07-01,2023-07-01,-0.0109,0.0790,-0.0899,-0.4532,2.3546,-2.8078,-0.7509,-0.1119,-0.3960,0.1603,10
8,2,2021-04-01,2023-04-01,2023-04-01 → 2023-07-01,2023-07-01,0.0339,0.0790,-0.0451,0.9137,2.3546,-1.4408,1.6041,-0.0466,3.1753,0.1142,10
9,1,2022-07-01,2023-07-01,2023-07-01 → 2023-10-01,2023-10-01,0.0358,-0.0376,0.0734,0.5766,-1.7428,2.3194,0.8474,-0.1036,1.4858,0.2206,10
10,2,2021-07-01,2023-07-01,2023-07-01 → 2023-10-01,2023-10-01,0.0127,-0.0376,0.0503,0.1504,-1.7428,1.8932,0.2512,-0.0809,0.6490,0.1785,10
11,1,2022-10-01,2023-10-01,2023-10-01 → 2024-01-01,2024-01-01,0.2106,0.1123,0.0983,2.9353,3.2693,-0.3340,4.1712,-0.1065,11.0325,0.2630,10
12,2,2021-10-01,2023-10-01,2023-10-01 → 2024-01-01,2024-01-01,0.2742,0.1123,0.1620,3.6303,3.2693,0.3611,6.3501,-0.0916,18.3214,0.2707,10
13,1,2023-01-01,2024-01-01,2024-01-01 → 2024-04-01,2024-04-01,0.3987,0.1056,0.2931,5.7451,3.5016,2.2435,11.5785,-0.0512,58.5545,0.2399,10
14,2,2022-01-01,2024-01-01,2024-01-01 → 2024-04-01,2024-04-01,0.3757,0.1056,0.2701,6.0416,3.5016,2.5400,14.8529,-0.0381,71.7992,0.2158,10
15,3,2021-01-01,2024-01-01,2024-01-01 → 2024-04-01,2024-04-01,0.1811,0.1056,0.0755,4.4025,3.5016,0.9009,7.3330,-0.0261,37.9040,0.1498,10
16,1,2023-04-01,2024-04-01,2024-04-01 → 2024-07-01,2024-07-01,0.0245,0.0441,-0.0196,0.3608,1.3155,-0.9547,0.7224,-0.0943,1.0794,0.2294,10
17,2,2022-04-01,2024-04-01,2024-04-01 → 2024-07-01,2024-07-01,0.0048,0.0441,-0.0393,0.0080,1.3155,-1.3075,0.0190,-0.0900,0.2166,0.2138,10
18,3,2021-04-01,2024-04-01,2024-04-01 → 2024-07-01,2024-07-01,-0.0158,0.0441,-0.0599,-0.3595,1.3155,-1.6750,-0.6603,-0.0865,-0.7126,0.2213,10
19,1,2023-07-01,2024-07-01,2024-07-01 → 2024-10-01,2024-10-01,0.1697,0.0427,0.1270,2.9217,0.8553,2.0663,3.5332,-0.0775,11.0135,0.2049,10
20,2,2022-07-01,2024-07-01,2024-07-01 → 2024-10-01,2024-10-01,0.1408,0.0427,0.0981,1.8396,0.8553,0.9843,2.2353,-0.0851,7.9910,0.2819,10
21,3,2021-07-01,2024-07-01,2024-07-01 → 2024-10-01,2024-10-01,0.1411,0.0427,0.0984,1.9786,0.8553,1.1232,2.5502,-0.1424,4.7844,0.2595,10
25,1,2024-01-01,2025-01-01,2025-01-01 → 2025-04-01,2025-04-01,0.0595,-0.0401,0.0996,1.3110,-1.2109,2.5219,2.0348,-0.0508,5.4002,0.1648,10
26,2,2023-01-01,2025-01-01,2025-01-01 → 2025-04-01,2025-04-01,0.0833,-0.0401,0.1234,1.4221,-1.2109,2.6329,1.9668,-0.1346,2.9688,0.2261,10
27,3,2022-01-01,2025-01-01,2025-01-01 → 2025-04-01,2025-04-01,0.1216,-0.0401,0.1617,1.4711,-1.2109,2.6820,1.8880,-0.2134,2.9016,0.3395,10
28,4,2021-01-01,2025-01-01,2025-01-01 → 2025-04-01,2025-04-01,0.0337,-0.0401,0.0738,0.4617,-1.2109,1.6725,0.5836,-0.2113,0.7063,0.3352,10
29,1,2024-04-01,2025-04-01,2025-04-01 → 2025-07-01,2025-07-01,0.2139,0.1003,0.1136,2.5464,1.2947,1.2517,2.6626,-0.1212,9.8926,0.3131,10
30,2,2023-04-01,2025-04-01,2025-04-01 → 2025-07-01,2025-07-01,0.2316,0.1003,0.1313,2.1534,1.2947,0.8587,2.5303,-0.1541,8.6419,0.4141,10
31,3,2022-04-01,2025-04-01,2025-04-01 → 2025-07-01,2025-07-01,0.1589,0.1003,0.0587,1.7391,1.2947,0.4443,2.0507,-0.1436,5.7214,0.3582,10
32,4,2021-04-01,2025-04-01,2025-04-01 → 2025-07-01,2025-07-01,0.1355,0.1003,0.0352,1.4350,1.2947,0.1402,1.6365,-0.1456,4.6413,0.3822,10
33,1,2024-07-01,2025-07-01,2025-07-01 → 2025-10-01,2025-10-01,0.2089,0.0828,0.1261,4.8651,3.1929,1.6722,9.9408,-0.0292,38.0943,0.1477,10
34,2,2023-07-01,2025-07-01,2025-07-01 → 2025-10-01,2025-10-01,0.1388,0.0828,0.0561,3.5874,3.1929,0.3945,8.9140,-0.0217,30.8781,0.1341,10
35,3,2022-07-01,2025-07-01,2025-07-01 → 2025-10-01,2025-10-01,0.1957,0.0828,0.1129,4.6271,3.1929,1.4342,9.2919,-0.0246,41.4462,0.1459,10
