date,transactionType,shares,value
2026-01-30,,826,
2026-01-30,,821,
2026-01-30,,2699,
2026-01-30,,6234,
2026-01-30,,2317,
2026-01-30,,8050,
2026-02-03,Sale at price 281.37 per share.,199,55993.0
2026-02-10,Sale at price 278.32 per share.,386,107432.0
2026-02-10,Sale at price 280.66 per share.,1000,280660.0
2026-02-10,Sale at price 278.32 per share.,377,104927.0
2026-02-10,Sale at price 278.32 per share.,1297,360981.0
2026-02-19,Sale at price 275.25 per share.,1770,487192.0
2026-02-20,Sale at price 282.41 per share.,3067,866137.0
