date,transactionType,shares,value
2025-09-26,Sale at price 141.14 per share.,1863,262940
2025-09-30,Stock Gift at price 0.00 per share.,5770,0
2025-10-01,Sale at price 143.42 per share.,1984,284545
2025-10-01,Sale at price 149.88 per share.,6800,1019160
2025-10-01,Sale at price 143.42 per share.,1747,250555
2025-10-15,Sale at price 169.36 per share.,350,59276
2025-10-15,Sale at price 170.22 per share.,2500,425543
2025-10-15,Sale at price 170.25 per share.,6800,1157706
2025-10-15,Sale at price 169.36 per share.,734,124310
2025-11-03,Sale at price 190.45 per share.,6800,1295067
2025-11-10,Sale at price 209.45 per share.,6800,1424274
2025-11-17,Sale at price 191.72 per share.,2500,479312
2025-11-17,Sale at price 190.80 per share.,2482,473566
2025-11-17,Sale at price 190.80 per share.,111,21179
2025-12-03,Sale at price 192.61 per share.,6800,1309752
2025-12-15,Sale at price 220.84 per share.,2500,552100
2025-12-15,Sale at price 224.66 per share.,8554,1921742
2025-12-15,Sale at price 220.84 per share.,550,121462
2025-12-16,Stock Award(Grant) at price 0.00 per share.,29411,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,242552,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,51214,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,19721,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,21707,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,9293,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,40722,0
2025-12-16,Stock Award(Grant) at price 0.00 per share.,19959,0
2025-12-22,Sale at price 233.46 per share.,6800,1587543
2026-01-02,Sale at price 241.00 per share.,1748,421268
2026-01-05,Sale at price 229.44 per share.,83552,19170163
2026-01-09,Sale at price 219.28 per share.,2500,548200
2026-01-12,Sale at price 229.82 per share.,11929,2741531
2026-01-12,Sale at price 227.45 per share.,11618,2642486
2026-01-15,Sale at price 247.65 per share.,2993,741209
2026-01-15,Sale at price 246.23 per share.,5054,1244446
2026-01-15,Sale at price 246.23 per share.,382,94060
2026-01-15,Sale at price 247.89 per share.,21383,5300621
2026-02-02,Sale at price 265.60 per share.,2952,784057
2026-02-17,Sale at price 300.20 per share.,2500,750498
2026-02-17,Sale at price 299.51 per share.,2952,884157
