date,transactionType,shares,value
2024-03-05,Sale at price 93.94 - 94.66 per share.,7000,659805.0
2024-03-11,Stock Award(Grant) at price 0.00 per share.,1211,0.0
2024-03-12,Sale at price 94.58 - 100.00 per share.,52000,5169449.0
2024-03-12,Conversion of Exercise of derivative security at price 28.20 per share.,37000,1043400.0
2024-03-21,Sale at price 91.77 - 113.38 per share.,52000,5753628.0
2024-03-21,Conversion of Exercise of derivative security at price 28.20 per share.,37000,1043400.0
2024-03-26,Conversion of Exercise of derivative security at price 28.20 per share.,37000,1043400.0
2024-03-26,Sale at price 119.60 - 122.11 per share.,52000,6239313.0
2024-03-27,Sale at price 119.30 per share.,4890,583377.0
2024-04-04,Conversion of Exercise of derivative security at price 28.20 per share.,37000,1043400.0
2024-04-04,Sale at price 122.01 - 130.00 per share.,52000,6704665.0
2024-04-09,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-04-09,Sale at price 121.95 - 125.04 per share.,7000,858171.0
2024-04-16,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-04-16,Sale at price 119.31 - 121.47 per share.,7000,844920.0
2024-04-19,,269,
2024-04-23,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-04-23,Sale at price 110.11 - 112.42 per share.,7000,783540.0
2024-04-30,Sale at price 115.55 per share.,15000,1733250.0
2024-04-30,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-04-30,Sale at price 114.63 - 115.56 per share.,7000,804104.0
2024-05-01,Sale at price 110.31 per share.,40000,4412400.0
2024-05-06,Conversion of Exercise of derivative security at price 41.56 per share.,53317,2215855.0
2024-05-06,Sale at price 119.18 per share.,53317,6354320.0
2024-05-07,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-05-07,Sale at price 119.90 - 120.67 per share.,7000,842208.0
2024-05-10,Conversion of Exercise of derivative security at price 41.56 per share.,14031,583128.0
2024-05-10,Sale at price 120.89 per share.,40650,4914178.0
2024-05-13,Sale at price 118.77 - 123.01 per share.,60031,7243437.0
2024-05-14,Sale at price 123.42 per share.,15000,1851300.0
2024-05-14,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-05-14,Sale at price 122.59 - 123.24 per share.,7000,860209.0
2024-05-21,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-05-21,Sale at price 124.09 - 128.13 per share.,7000,893618.0
2024-05-29,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-05-29,Sale at price 129.90 - 132.55 per share.,7000,924976.0
2024-06-04,Conversion of Exercise of derivative security at price 28.20 per share.,7000,197400.0
2024-06-04,Sale at price 126.02 - 127.15 per share.,7000,882951.0
2024-06-12,Sale at price 132.76 - 140.00 per share.,37000,5141956.0
2024-06-12,Conversion of Exercise of derivative security at price 28.20 per share.,37000,1043400.0
2024-06-18,Conversion of Exercise of derivative security at price 28.20 per share.,34284,966809.0
2024-06-18,Sale at price 151.75 - 156.83 per share.,34284,5220619.0
2024-06-27,Sale at price 135.86 per share.,4890,664355.0
2024-06-28,Stock Award(Grant) at price 0.00 per share.,238,0.0
2024-07-19,,269,
2024-08-08,Stock Gift at price 0.00 per share.,14531,0.0
2024-09-26,Sale at price 113.00 per share.,4890,552570.0
2024-09-30,Stock Award(Grant) at price 0.00 per share.,291,0.0
2024-10-11,Stock Award(Grant) at price 0.00 per share.,24785,0.0
2024-10-11,,67922,
2024-10-11,,103435,
2024-10-11,Stock Award(Grant) at price 0.00 per share.,44426,0.0
2024-10-11,,132044,
2024-10-11,Stock Award(Grant) at price 0.00 per share.,23382,0.0
2024-10-11,,74829,
2024-10-11,Stock Award(Grant) at price 0.00 per share.,2338,0.0
2024-10-11,Stock Award(Grant) at price 0.00 per share.,38580,0.0
2024-10-11,Stock Award(Grant) at price 0.00 per share.,14029,0.0
2024-10-11,Stock Award(Grant) at price 0.00 per share.,28058,0.0
2024-10-11,Stock Award(Grant) at price 0.00 per share.,83015,0.0
2024-10-11,,385426,
2024-10-11,Stock Award(Grant) at price 0.00 per share.,2338,0.0
2024-10-11,Stock Award(Grant) at price 0.00 per share.,42088,0.0
2024-10-11,,174580,
2024-10-11,Stock Award(Grant) at price 0.00 per share.,44426,0.0
2024-10-11,,136129,
2024-10-11,Stock Award(Grant) at price 0.00 per share.,2338,0.0
2024-10-11,Stock Award(Grant) at price 0.00 per share.,2338,0.0
2024-10-11,Stock Award(Grant) at price 0.00 per share.,2338,0.0
2024-10-16,,6613,
2024-10-18,,269,
2024-10-21,Sale at price 109.03 per share.,10000,1090300.0
2024-12-20,Sale at price 85.21 per share.,4890,416677.0
2024-12-31,Stock Award(Grant) at price 0.00 per share.,366,0.0
2025-01-07,Sale at price 101.76 per share.,5000,508800.0
2025-01-17,,269,
2025-01-23,Stock Gift at price 0.00 per share.,182401,0.0
2025-02-14,Sale at price 100.00 per share.,6525,652500.0
2025-02-14,Sale at price 100.00 per share.,23047,2304700.0
2025-02-18,Sale at price 100.24 - 107.22 per share.,7500,784986.0
2025-03-03,Sale at price 90.18 - 95.58 per share.,2404,223393.0
2025-03-05,Stock Award(Grant) at price 0.00 per share.,1333,0.0
2025-03-05,Stock Award(Grant) at price 0.00 per share.,1333,0.0
2025-03-14,Sale at price 100.00 per share.,6525,652500.0
2025-03-25,Sale at price 96.18 per share.,15000,1442700.0
2025-04-17,,269,
2025-05-02,Sale at price 80.00 per share.,2404,192320.0
2025-06-06,Sale at price 110.00 per share.,20000,2200000.0
2025-06-09,Sale at price 109.35 - 111.84 per share.,7500,830089.0
2025-06-17,Sale at price 119.97 - 123.12 per share.,7500,907730.0
2025-06-24,Sale at price 125.11 per share.,20000,2502200.0
2025-06-24,Sale at price 125.12 per share.,15000,1876800.0
2025-06-27,Sale at price 125.49 per share.,92638,11625143.0
2025-06-27,Sale at price 125.15 per share.,7000,876050.0
2025-06-30,Sale at price 123.16 per share.,80000,9852800.0
2025-07-01,Sale at price 120.38 - 122.78 per share.,2404,291562.0
2025-07-18,,270,
2025-07-22,Sale at price 108.76 - 112.52 per share.,34000,3716823.0
2025-09-02,Sale at price 115.67 per share.,2404,278071.0
2025-09-05,Sale at price 130.54 - 131.19 per share.,7500,981212.0
2025-09-11,Sale at price 140.28 - 155.08 per share.,15000,2196429.0
2025-09-16,Sale at price 157.97 - 160.04 per share.,7500,1187514.0
2025-09-19,Sale at price 159.73 - 170.18 per share.,15000,2442559.0
2025-09-25,Sale at price 155.68 per share.,5552,864335.0
2025-09-30,Sale at price 164.04 per share.,15000,2460600.0
2025-10-01,Sale at price 180.38 - 182.19 per share.,15000,2712866.0
2025-10-07,Sale at price 184.23 - 199.96 per share.,37500,7142621.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,1377,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,1377,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,25468,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,1377,0.0
2025-10-13,,78225,
2025-10-13,Stock Award(Grant) at price 0.00 per share.,30286,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,4130,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,16520,0.0
2025-10-13,,142419,
2025-10-13,,113156,
2025-10-13,Stock Award(Grant) at price 0.00 per share.,17896,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,1377,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,57819,0.0
2025-10-13,,439578,
2025-10-13,Stock Award(Grant) at price 0.00 per share.,1377,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,27533,0.0
2025-10-13,,134055,
2025-10-13,Stock Award(Grant) at price 0.00 per share.,30286,0.0
2025-10-13,,145108,
2025-10-13,Stock Award(Grant) at price 0.00 per share.,1377,0.0
2025-10-13,Stock Award(Grant) at price 0.00 per share.,17896,0.0
2025-10-16,Sale at price 196.43 - 205.04 per share.,3682,742384.0
2025-10-17,,269,
2025-10-20,Stock Gift at price 0.00 per share.,10000,0.0
2025-10-20,Sale at price 210.02 per share.,8800,1848176.0
2025-10-21,Sale at price 201.89 - 212.20 per share.,22500,4592228.0
2025-10-27,Sale at price 222.81 per share.,82000,18270420.0
2025-10-27,Stock Gift at price 0.00 per share.,5000,0.0
2025-10-27,Sale at price 220.17 - 224.69 per share.,22500,4966229.0
2025-10-29,Stock Gift at price 0.00 per share.,10000,0.0
2025-10-30,Sale at price 221.64 - 226.51 per share.,126000,28389111.0
2025-10-30,Sale at price 221.68 - 231.45 per share.,22500,5130731.0
2025-11-03,Stock Gift at price 0.00 per share.,4500,0.0
2025-11-07,Sale at price 227.72 - 245.55 per share.,12500,2987009.0
2025-12-19,Sale at price 263.63 per share.,5000,1318150.0
2025-12-22,Sale at price 277.09 per share.,15000,4156350.0
2025-12-22,Stock Gift at price 0.00 per share.,110,0.0
2026-01-06,Sale at price 337.50 per share.,2000,675000.0
2026-01-14,Purchase at price 336.63 - 337.50 per share.,23200,7821723.0
2026-01-16,,269,
2026-01-22,Sale at price 388.78 - 395.87 per share.,26623,10410771.0
2026-01-27,Sale at price 401.16 - 415.65 per share.,12268,5025987.0
2026-02-02,Sale at price 429.43 - 431.76 per share.,25000,10747266.0
