date,transactionType,shares,value
2025-12-11,Conversion of Exercise of derivative security at price 296.00 per share.,6740,1995040
2025-12-11,Sale at price 893.10 - 895.72 per share.,2488,2226299
2026-01-30,Conversion of Exercise of derivative security at price 209.56 per share.,5110,1070852
2026-01-30,Sale at price 936.10 - 947.08 per share.,2376,2236546
2026-01-30,Conversion of Exercise of derivative security at price 296.00 per share.,2360,698560
2026-01-30,Sale at price 952.30 per share.,1066,1015152
2026-02-02,Conversion of Exercise of derivative security at price 166.49 per share.,970,161495
2026-02-02,Sale at price 949.94 per share.,564,535766
2026-02-02,Conversion of Exercise of derivative security at price 296.00 per share.,3370,997520
2026-02-02,Sale at price 946.48 per share.,1457,1379021
2026-02-02,Conversion of Exercise of derivative security at price 296.00 per share.,3030,896880
2026-02-02,Sale at price 950.01 - 950.48 per share.,1316,1250263
2026-02-11,Sale at price 1000.37 - 1007.99 per share.,2062,2066815
2026-02-11,Conversion of Exercise of derivative security at price 158.79 per share.,4040,641512
2026-02-11,Sale at price 993.06 - 1002.73 per share.,4706,4690288
2026-02-11,Conversion of Exercise of derivative security at price 209.56 per share.,10220,2141703
2026-02-11,Conversion of Exercise of derivative security at price 209.56 per share.,10220,2141703
2026-02-11,Sale at price 993.32 - 1008.05 per share.,4664,4659339
2026-02-12,Conversion of Exercise of derivative security at price 296.00 per share.,3370,997520
2026-02-12,Sale at price 1001.51 per share.,1326,1328002
2026-02-12,Conversion of Exercise of derivative security at price 296.00 per share.,6740,1995040
2026-02-12,Sale at price 1009.12 per share.,2804,2829572
2026-02-12,Conversion of Exercise of derivative security at price 158.90 per share.,1460,231994
2026-02-12,Sale at price 983.06 per share.,833,818889
2026-02-13,Conversion of Exercise of derivative security at price 296.00 per share.,830,245680
2026-02-13,Sale at price 1006.74 per share.,412,414777
2026-02-13,Conversion of Exercise of derivative security at price 299.19 per share.,2850,852692
2026-02-13,Sale at price 1002.13 per share.,1127,1129401
