date,transactionType,shares,value
2025-12-17,Sale at price 322.58 - 346.49 per share.,6093,2028440
2025-12-17,Sale at price 322.29 - 345.01 per share.,38281,12542615
2025-12-17,Sale at price 322.33 - 345.99 per share.,3163,1053112
2025-12-18,Purchase at price 325.13 per share.,1000,325129
2025-12-18,Sale at price 326.02 per share.,130000,42382600
2025-12-23,Sale at price 339.11 - 349.85 per share.,100000,34564807
2025-12-26,Sale at price 352.07 per share.,25921,9126058
2025-12-31,Sale at price 346.64 - 347.82 per share.,30000,10434603
2026-01-06,Sale at price 346.99 - 347.66 per share.,30000,10413693
2026-01-06,Sale at price 346.75 - 348.28 per share.,70000,24310684
