date,transactionType,shares,value
2026-01-29,Stock Award(Grant) at price 0.00 per share.,5252,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,4796,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,12559,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,13473,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,11418,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,13244,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,13473,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,12559,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,1256,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,4796,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,47952,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,6622,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-01-29,Stock Award(Grant) at price 0.00 per share.,525,0
2026-02-05,Sale at price 223.46 per share.,3000,670387
2026-02-05,Sale at price 221.58 per share.,3144,696647
2026-02-05,Conversion of Exercise of derivative security at price 167.42 - 187.03 per share.,2572,451344
2026-02-05,Conversion of Exercise of derivative security at price 79.26 per share.,3000,237780
2026-02-09,Sale at price 221.16 per share.,4461,986604
2026-02-10,Conversion of Exercise of derivative security at price 130.52 per share.,64532,8422717
2026-02-11,Conversion of Exercise of derivative security at price 79.26 per share.,6500,515190
2026-02-11,Sale at price 230.79 per share.,6500,1500117
2026-02-11,Conversion of Exercise of derivative security at price 110.15 per share.,12921,1423248
2026-02-11,Sale at price 220.83 - 230.10 per share.,23169,5236204
2026-02-11,Sale at price 220.51 - 230.78 per share.,71628,15882150
2026-02-17,Sale at price 225.95 per share.,6843,1546168
