date,transactionType,shares,value
2026-01-20,Sale at price 184.55 per share.,20000,3691000
2026-01-20,Sale at price 181.85 - 186.60 per share.,30330,5569086
2026-01-20,Stock Gift at price 0.00 per share.,542,0
2026-01-20,Sale at price 184.00 per share.,21555,3966137
2026-01-20,Sale at price 181.89 - 185.94 per share.,7860,1441879
2026-01-20,Sale at price 185.77 per share.,15838,2942176
2026-01-20,Stock Gift at price 0.00 per share.,2495,0
2026-01-30,Sale at price 182.61 per share.,32968,6020313
2026-02-19,Stock Award(Grant) at price 0.00 per share.,17399,0
2026-02-19,Stock Award(Grant) at price 0.00 per share.,9666,0
2026-02-19,Stock Award(Grant) at price 0.00 per share.,60897,0
2026-02-19,Stock Award(Grant) at price 0.00 per share.,32865,0
2026-02-19,Stock Award(Grant) at price 0.00 per share.,22715,0
2026-02-19,Stock Award(Grant) at price 0.00 per share.,52777,0
2026-02-19,Stock Award(Grant) at price 0.00 per share.,16432,0
