Ticker,Formulario,Accession_Number,MDA_Extraido,P_Positivo,P_Negativo,P_Neutro,Total_Bloques,Indice_Polaridad
NVDA,8-K,0001045810-20-000063,True,0.2681,0.2363,0.4956,10,0.0318
NVDA,8-K,0001045810-20-000145,True,0.3015,0.1001,0.5984,10,0.2014
NVDA,8-K,0001045810-20-000187,True,0.2954,0.0365,0.6682,11,0.2589
NVDA,8-K,0001045810-21-000007,True,0.4906,0.0067,0.5027,10,0.4839
NVDA,8-K,0001045810-21-000047,True,0.6663,0.0002,0.3335,3,0.6661
NVDA,8-K,0001045810-21-000056,True,0.2362,0.0955,0.6683,2,0.1407
NVDA,8-K,0001045810-21-000063,True,0.4342,0.0003,0.5655,10,0.4339
NVDA,8-K,0001045810-21-000128,True,0.3743,0.0002,0.6255,10,0.3741
NVDA,8-K,0001045810-21-000160,True,0.3682,0.0002,0.6316,11,0.368
NVDA,8-K,0001045810-22-000008,True,0.4226,0.0003,0.5771,10,0.4223
NVDA,8-K,0001045810-22-000073,True,0.3864,0.0994,0.5143,10,0.287
NVDA,8-K,0001045810-22-000133,True,0.2133,0.2,0.5868,5,0.0133
NVDA,8-K,0001045810-22-000136,True,0.1212,0.2754,0.6034,10,-0.1542
NVDA,8-K,0001045810-22-000163,True,0.2331,0.1813,0.5857,11,0.0518
NVDA,8-K,0001045810-23-000014,True,0.1232,0.2978,0.579,10,-0.1746
NVDA,8-K,0001045810-23-000087,True,0.1292,0.2188,0.652,9,-0.0896
NVDA,8-K,0001045810-23-000171,True,0.2768,0.0908,0.6324,11,0.186
NVDA,8-K,0001045810-23-000225,True,0.377,0.0002,0.6228,10,0.3768
NVDA,8-K,0001045810-24-000028,True,0.3274,0.0122,0.6604,10,0.3152
NVDA,8-K,0001045810-24-000113,True,0.5533,0.0102,0.4365,9,0.5431
NVDA,8-K,0001045810-24-000262,True,0.4959,0.0002,0.5039,10,0.4957
NVDA,8-K,0001045810-24-000315,True,0.307,0.0002,0.6929,10,0.3068
NVDA,8-K,0001045810-25-000021,True,0.4092,0.03,0.5609,10,0.3792
NVDA,8-K,0001045810-25-000115,True,0.2075,0.1973,0.5952,10,0.0102
NVDA,8-K,0001045810-25-000207,True,0.3631,0.0003,0.6366,11,0.3628
NVDA,8-K,0001045810-25-000228,True,0.4519,0.0038,0.5442,10,0.4481
NVDA,8-K,0001045810-26-000019,True,0.4538,0.0178,0.5283,11,0.436
NVDA,8-K,0001193125-20-244601,True,0.2915,0.1318,0.5767,7,0.1597
