fold_id,datetime,action,ticker,raw_price,exec_price,shares,notional_usd,fee_usd,slippage_pct,entry_date_requested,entry_date_used,exit_date_requested,exit_date_used,reason,tp_pct,sl_pct,tp_sl_outcome,days_to_outcome
2025Q3,2025-11-14,BUY,ALB,115.13999938964844,115.25513938903808,0.5547203005138334,63.934365557650956,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,rebalance_entry,0.25,0.15,TP,35.0
2025Q3,2025-11-14,BUY,ALGN,137.1300048828125,137.2671348876953,0.6272252475851189,86.0974126652346,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,rebalance_entry,0.22807197959365733,0.15,TP,55.0
2025Q3,2025-11-14,BUY,DECK,82.81999969482422,82.90281969451904,1.095749037077599,90.84068485128705,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,rebalance_entry,0.25,0.15,TP,31.0
2025Q3,2025-11-14,BUY,FICO,1741.3699951171875,1743.1113651123044,0.06152763887323323,107.24952658845847,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,rebalance_entry,0.25,0.1464926287606169,SL,77.0
2025Q3,2025-11-14,BUY,HAL,27.299999237060547,27.327299236297605,3.8399430118615334,104.93527173547001,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,rebalance_entry,0.25,0.15,TP,73.0
2025Q3,2025-11-14,BUY,MTCH,32.279998779296875,32.31227877807617,3.3623651970519153,108.6456816008425,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,rebalance_entry,0.24963658199010344,0.15,NONE,91.0
2025Q3,2025-11-14,BUY,TPL,340.8833312988281,341.22421463012694,0.2930638589076038,100.00048509222142,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,rebalance_entry,0.25,0.15,SL,11.0
2025Q3,2025-11-14,BUY,WBD,23.030000686645508,23.05303068733215,2.657657140220379,61.267051609907796,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,rebalance_entry,0.25,0.15,TP,26.0
2025Q3,2025-11-25,SELL,TPL,288.13665771484375,287.8485210571289,0.2930638589076038,84.35799836184884,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2025-11-25,sl_hit,0.25,0.15,SL,11.0
2025Q3,2025-12-10,SELL,WBD,29.530000686645508,29.500470685958863,2.657657140220379,78.40213655840054,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2025-12-10,tp_hit,0.25,0.15,TP,26.0
2025Q3,2025-12-15,SELL,DECK,103.98999786376953,103.88600786590577,1.095749037077599,113.83299308490213,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2025-12-15,tp_hit,0.25,0.15,TP,31.0
2025Q3,2025-12-19,SELL,ALB,145.8800048828125,145.73412487792967,0.5547203005138334,80.84167754740567,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2025-12-19,tp_hit,0.25,0.15,TP,35.0
2025Q3,2026-01-08,SELL,ALGN,170.5800018310547,170.40942182922365,0.6272252475851189,106.88509179767176,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-01-08,tp_hit,0.22807197959365733,0.15,TP,55.0
2025Q3,2026-01-26,SELL,HAL,34.15999984741211,34.1258398475647,3.8399430118615334,131.0412802465619,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-01-26,tp_hit,0.25,0.15,TP,73.0
2025Q3,2026-01-30,SELL,FICO,1463.1700439453125,1461.706873901367,0.06152763887323323,89.93537267592598,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-01-30,sl_hit,0.25,0.1464926287606169,SL,77.0
2025Q3,2026-02-13,SELL,MTCH,30.5,30.4695,3.3623651970519153,102.44958637157333,1.0,0.001,2025-11-14,2025-11-14,2026-02-14,2026-02-13,time_exit,0.24963658199010344,0.15,NONE,91.0
