,shap_importance
debt_equity,0.04201138805066566
fcf,0.024000730441594804
insider_net_shares_90d,0.01991743339612165
debt_to_ebitda,0.01760884483379877
current_ratio,0.016397473633765564
total_debt_yoy_growth,0.011253014611753638
eps_surprise_pct,0.008423786216811557
eps_revision,0.006665033827566114
interest_coverage,0.006039982399727819
insider_sell_ratio,0.003925514900692888
liquidity_risk,0.0034218369040439605
debt_ebitda_high,0.00324617682918719
insider_selling,0.002476299593288629
revenue_decline,0.0009654231646022865
debt_growth_high,0.000741139199246318
debt_equity_high,0.0006811399849524238
eps_miss,0.0005624690365779053
fcf_negative,0.00040178931172730374
consecutive_losses,0.00023694846075193282
low_coverage,0.0001341602432546725
