,shap_importance
fcf,0.08549821728920863
debt_equity,0.049596606367892725
insider_net_shares_90d,0.03150915244743932
current_ratio,0.029796218121861243
eps_surprise_pct,0.012191818255465265
interest_coverage,0.011638796306768319
total_debt_yoy_growth,0.007653581787923698
debt_to_ebitda,0.0072627391796906944
insider_sell_ratio,0.004682851895541432
revenue_decline,0.004246880138363
debt_equity_high,0.0038004700373032796
insider_selling,0.0036630587916411782
eps_revision,0.0033648919154803227
liquidity_risk,0.002208366112868071
low_coverage,0.0012839018071288835
debt_ebitda_high,0.0012414578877998881
eps_miss,0.000493092616093221
debt_growth_high,0.0003187904689371052
consecutive_losses,0.0001990971967709925
fcf_negative,0.00011077883807949177
