,importance
current_ratio,0.12221375902663441
eps_revision,0.11843538401454036
debt_equity,0.11286528193061349
total_debt_yoy_growth,0.10964647192436741
insider_net_shares_90d,0.10158334855513268
eps_surprise_pct,0.09326120037523056
interest_coverage,0.08621849555700217
debt_to_ebitda,0.07598050218293675
insider_sell_ratio,0.05645558430129407
fcf,0.04762664093824115
revenue_decline,0.012415056242857344
debt_ebitda_high,0.010366218315560975
debt_equity_high,0.009763423914071404
debt_growth_high,0.00743852829994642
insider_selling,0.0073281116256197504
eps_miss,0.006460171684876113
liquidity_risk,0.006164107423751622
fcf_negative,0.0059948509435253415
low_coverage,0.005511710453792207
consecutive_losses,0.004271152290005782
