,shap_importance
debt_equity,0.027208529627600717
eps_surprise_pct,0.02361808079465695
total_debt_yoy_growth,0.01878557862634992
current_ratio,0.018186481064444072
interest_coverage,0.009990745572374747
debt_to_ebitda,0.00950166978442399
eps_revision,0.004683780929988313
debt_ebitda_high,0.001937089927149692
debt_growth_high,0.0012045991224736493
revenue_decline,0.0010967532288701442
liquidity_risk,0.000978940702602328
debt_equity_high,0.0007617399972368369
eps_miss,0.0005491507836600095
consecutive_losses,0.0005126613882218049
low_coverage,0.00047374238588843176
insider_net_shares_90d,0.0
insider_sell_ratio,0.0
fcf_negative,0.0
insider_selling,0.0
