,shap_importance
fcf,0.06137867711153884
current_ratio,0.026064318596232133
eps_surprise_pct,0.020705783048106326
debt_to_ebitda,0.0165712535150392
debt_equity,0.015408694184174742
interest_coverage,0.010357602809701542
insider_net_shares_90d,0.009266543044157888
total_debt_yoy_growth,0.007676661236728679
eps_revision,0.003308762883578653
debt_ebitda_high,0.002264914818842952
revenue_decline,0.002176734925012595
insider_sell_ratio,0.001551031649006037
debt_growth_high,0.0010541986357584959
low_coverage,0.0010043013048612864
liquidity_risk,0.0008136801402638638
insider_selling,0.0007673424352542049
eps_miss,0.000676737006972022
debt_equity_high,0.00030198359516582095
consecutive_losses,0.00010655612748301194
fcf_negative,4.3796840525695396e-05
