,shap_importance
debt_to_ebitda,0.056761141368590076
debt_equity,0.04618931608890927
interest_coverage,0.031165737068674527
current_ratio,0.026805284487370185
insider_net_shares_90d,0.018455466892073474
eps_revision,0.012416118690830001
total_debt_yoy_growth,0.011303070093810827
eps_surprise_pct,0.009673607227936625
insider_sell_ratio,0.008125413036593324
liquidity_risk,0.007150074013746618
revenue_decline,0.0019281391864095867
debt_ebitda_high,0.0016156437711346448
eps_miss,0.001139328584807273
low_coverage,0.000611772149368742
insider_selling,0.0005577738181474008
debt_growth_high,0.000552830443656898
consecutive_losses,0.0005516106585891573
debt_equity_high,0.0005158537927427783
fcf_negative,0.0
