,shap_importance
eps_revision,0.06357574593199797
eps_surprise_pct,0.05133781147488018
debt_to_ebitda,0.038046046590499843
interest_coverage,0.012621803543333832
total_debt_yoy_growth,0.00894688413318327
debt_ebitda_high,0.00854068217509046
debt_equity,0.008512135432142959
current_ratio,0.008506884566923105
revenue_decline,0.007322541616172256
liquidity_risk,0.0031293955986915136
debt_growth_high,0.001408341512461221
eps_miss,0.0009595765328388366
debt_equity_high,0.0009563930122858239
consecutive_losses,0.0006850644143193749
low_coverage,0.0006656214609131468
insider_net_shares_90d,0.0
insider_sell_ratio,0.0
fcf_negative,0.0
insider_selling,0.0
