,shap_importance
eps_surprise_pct,0.032911840583546584
debt_equity,0.020286987477878927
debt_to_ebitda,0.01691620948473626
interest_coverage,0.013931968506029312
current_ratio,0.012879625836747963
eps_revision,0.008899571615860162
total_debt_yoy_growth,0.008475102443914534
insider_net_shares_90d,0.006917348779120289
fcf,0.0068385827738335035
insider_sell_ratio,0.0022834470347485687
liquidity_risk,0.0022664448186868386
debt_ebitda_high,0.0017931460205057247
revenue_decline,0.0017423169625654911
consecutive_losses,0.0010814893573133453
eps_miss,0.0009316420073389824
insider_selling,0.0007650211604182601
low_coverage,0.0005623695917081301
debt_growth_high,0.0005568932986803033
debt_equity_high,0.00038376699052442893
fcf_negative,2.1984931285414462e-05
