ticker,strategy,selected,selected_strategy,reject_reason,selection_score,rule_adjusted_rbs,risk_benefit_score,certainty_component,tp_quality_component,tp_floor_penalty_component,tp_pct,sl_pct,tp_feasibility,confidence,historical_tp_prob
A,conservative,False,aggressive,lower_selection_score,,,0.2228155670845598,,,,0.25551482414221227,0.08893272291728588,1.0,0.6346575539657778,0.5413793103448276
AAPL,conservative,False,aggressive,lower_selection_score,,,0.2284469406367575,,,,0.3789865685711812,0.08,1.0,0.42315719809186075,0.6344827586206896
ABT,conservative,False,aggressive,lower_selection_score,,,0.12081590819702817,,,,0.22337249562622885,0.08,1.0,0.49823321275801696,0.5862068965517241
ACGL,conservative,False,aggressive,lower_selection_score,,,0.4208979038092183,,,,0.272204499635912,0.08,1.0,0.8728844076157327,0.606896551724138
ACN,conservative,False,balanced,lower_selection_score,,,0.16279070849544763,,,,0.23935634367801503,0.08,1.0,0.5421226417449291,0.6
ADBE,conservative,False,aggressive,lower_selection_score,,,0.5170342933711674,,,,0.35759038140803057,0.08397348390976168,1.0,0.7756310185138356,0.6724137931034483
ADI,conservative,False,aggressive,lower_selection_score,,,0.20634188230572972,,,,0.23230722293671136,0.11155150189876262,1.0,0.719035704326338,0.5896551724137932
ADM,conservative,True,conservative,selected,,,0.06030334075120679,,,,0.19441721434591944,0.1052131257087122,1.0,0.4888069627448172,0.4827586206896552
ADP,conservative,False,balanced,lower_selection_score,,,0.11837898706423831,,,,0.2263153725113345,0.08,1.0,0.48753535934387743,0.6103448275862069
ADSK,conservative,False,aggressive,lower_selection_score,,,0.29165871249054715,,,,0.32435481222871393,0.08269198016432568,1.0,0.5649200268996959,0.6310344827586207
AEE,conservative,False,balanced,lower_selection_score,,,-0.049558616043737194,,,,0.1886556829424837,0.08,1.0,0.1817278355242524,0.5724137931034483
AES,conservative,False,aggressive,lower_selection_score,,,0.09741516181146456,,,,0.19364527946503463,0.13047764855114602,1.0,0.6217706030126423,0.39655172413793105
AFL,conservative,False,balanced,lower_selection_score,,,0.1280397179782616,,,,0.235115310522566,0.08,1.0,0.4881050269296379,0.5551724137931034
AIG,conservative,False,aggressive,lower_selection_score,,,0.13523820274179027,,,,0.16928389588469625,0.08550851413701753,1.0,0.6906520989719763,0.4620689655172414
AIZ,conservative,False,aggressive,lower_selection_score,,,0.14412231240582238,,,,0.2407475864809966,0.0842274851612617,1.0,0.5178385667066367,0.596551724137931
AJG,conservative,False,balanced,lower_selection_score,,,0.19155781899785893,,,,0.27435535067568045,0.08,1.0,0.5168101247199952,0.7413793103448276
AKAM,conservative,False,aggressive,lower_selection_score,,,0.16337329486013713,,,,0.25525186929159105,0.131453756989324,1.0,0.6243426743589019,0.45862068965517244
