ticker,entry_date,entry_price,tp_price,sl_price_original,event_type,event_date,days_from_entry,price,trailing_stop,peak_price,return_pct
ORLY,2025-02-18,86.388,127.3342,75.8486,EXIT_TIME,2026-02-19,366,94.17,75.8486,104.44,9.01
HCA,2025-02-18,316.71,477.548,281.5157,TRAILING_ACTIVATED,2025-11-18,273,478.14,454.233,478.14,50.97
HCA,2025-02-18,316.71,477.548,281.5157,REVIEW,2025-12-18,303,466.56,454.233,515.85,47.31
HCA,2025-02-18,316.71,477.548,281.5157,REVIEW,2026-01-20,336,464.38,454.233,515.85,46.63
HCA,2025-02-18,316.71,477.548,281.5157,REVIEW,2026-02-19,366,528.66,513.2755,540.29,66.92
HCA,2025-02-18,316.71,477.548,281.5157,EXIT_TIME,2026-02-19,366,528.66,513.2755,540.29,66.92
SMCI,2025-02-18,55.8,86.1545,46.413,EXIT_SL,2025-08-20,183,42.61,46.413,60.71,-23.64
MU,2025-02-18,106.79,165.5245,93.0878,TRAILING_ACTIVATED,2025-09-18,212,168.89,160.4455,168.89,58.15
MU,2025-02-18,106.79,165.5245,93.0878,EXIT_TP_TRAIL,2025-09-25,219,156.83,160.4455,168.89,46.86
NVDA,2025-02-18,139.4,216.07,128.248,EXIT_TIME,2026-02-19,366,187.9,128.248,183.16,34.79
ERIE,2025-02-18,391.0,600.2726,324.9952,EXIT_SL,2025-09-15,209,321.81,324.9952,450.61,-17.7
MSCI,2025-02-18,572.69,887.6695,498.2937,EXIT_TIME,2026-02-19,366,541.12,498.2937,590.51,-5.51
