year_quarter,ticker,agent,agent_score,final_score,feature,feature_value,feature_present
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,capex_to_revenue,0.06172596815411834,True
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,ebitda_margin,0.2463141340672301,True
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,fcf_margin,0.1376056614900727,True
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,operating_margin,0.2036563790053076,True
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,interest_coverage,9.891304347826088,True
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,net_margin,0.1708275997641045,True
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,revenue_yoy_growth,0.057808276148887505,True
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,gross_margin,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,capex_to_revenue__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,capex_to_revenue__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,ebitda_margin__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,ebitda_margin__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,roic__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,roic__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,fcf_margin__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,fcf_margin__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,operating_margin__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,operating_margin__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,interest_coverage__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,interest_coverage__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,net_margin__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,net_margin__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,revenue_yoy_growth__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,revenue_yoy_growth__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,gross_margin__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,gross_margin__pct_sector,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,roe__pct_universe,,False
2025Q4,A,fundamental,0.45793319647471376,0.3719900723290932,roe__pct_sector,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pe_ratio,48.94000244140625,True
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pe_vs_5y_median,0.5034753428261542,True
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pb_ratio,6.568870029419521,True
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,earnings_yield,0.020433182470664092,True
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ev_ebitda_vs_5y_median,0.3679965601072459,True
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,fcf_yield,0.01106498653089763,True
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ps_ratio,6.038923666820947,True
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,ev_to_ebitda,26.00696138453441,True
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pe_ratio__pct_universe,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pe_ratio__pct_sector,,False
2025Q4,A,valuation,0.4966673403524834,0.3719900723290932,pe_vs_5y_median__pct_universe,,False
