,importance
momentum_6m,0.1595728783118178
price_vs_52w_high,0.1297121146502306
rsi_14,0.11321782100890684
volatility_60d,0.11085019847619923
price_vs_52w_high__pct_universe,0.07433092735717538
volatility_60d__pct_universe,0.0594722698094024
momentum_6m__pct_universe,0.044813499562376714
rsi_28,0.043336975337073855
vol_ratio_20_50__pct_universe,0.03729119632566115
vol_ratio_20_50,0.035611886947960546
momentum_3m,0.03239426781705382
momentum_3m__pct_universe,0.027673471729480474
rsi_14__pct_universe,0.02710157406815102
price_vs_52w_high__pct_sector,0.020547498601679114
rsi_28__pct_universe,0.018964333762017064
momentum_6m__pct_sector,0.015661904141392
rsi_14__pct_sector,0.012226458594505819
rsi_28__pct_sector,0.010035520576308857
vol_ratio_20_50__pct_sector,0.009781562207549438
momentum_3m__pct_sector,0.009612123434070726
volatility_60d__pct_sector,0.007791517280986925
