year_quarter,fold,ticker,sector,industry,fundamental_score,valuation_score,momentum_score,bear_score,sentiment_score,final_score,prediction,confidence,selected,rank,selection_reason,portfolio_weight,actual_return,alpha_real,beat_benchmark
2025Q3,2025Q3,ALGN,Health Care,Health Care,0.585,0.586,0.628,0.621,0.476,0.869,Outperform,High,True,3,selected_above_threshold,0.1192,0.362,0.3468,True
2025Q3,2025Q3,ALB,Materials,Chemicals,0.514,0.657,0.495,0.622,0.63,0.814,Outperform,High,True,18,selected_above_threshold,0.0888,0.4448,0.4296,True
2025Q3,2025Q3,DECK,"Textiles, Apparel & Luxury Goods","Textiles, Apparel & Luxury Goods",0.603,0.528,0.63,0.551,0.511,0.809,Outperform,High,True,21,selected_above_threshold,0.1256,0.3974,0.3822,True
2025Q3,2025Q3,HAL,Energy,Energy,0.514,0.549,0.618,0.674,0.603,0.794,Outperform,High,True,30,selected_above_threshold,0.1449,0.244,0.2288,True
2025Q3,2025Q3,TPL,Energy,Energy,0.524,0.437,0.682,0.638,0.589,0.79,Outperform,High,True,34,selected_above_threshold,0.1382,0.2682,0.253,True
2025Q3,2025Q3,WBD,Communication Services,Media,0.508,0.695,0.418,0.673,0.519,0.788,Outperform,High,True,38,selected_above_threshold,0.0852,0.2154,0.2002,True
2025Q3,2025Q3,MTCH,Communication Services,Media,0.503,0.497,0.408,0.542,0.593,0.782,Outperform,High,True,42,selected_above_threshold,0.15,-0.0551,-0.0703,False
2025Q3,2025Q3,FICO,Technology,Technology,0.564,0.458,0.65,0.509,0.403,0.767,Outperform,High,True,54,selected_above_threshold,0.1481,-0.2278,-0.2429,False
2025Q3,2025Q3,BBY,Consumer Discretionary,Retail,0.585,0.535,0.623,0.584,0.444,0.879,Outperform,High,False,1,qualified_but_not_selected,,,,
2025Q3,2025Q3,CNC,Health Care,Health Care,0.501,0.544,0.622,0.627,0.449,0.87,Outperform,High,False,2,qualified_but_not_selected,,,,
2025Q3,2025Q3,MOH,Health Care,Health Care,0.547,0.475,0.67,0.625,0.434,0.862,Outperform,High,False,4,qualified_but_not_selected,,,,
2025Q3,2025Q3,IP,Packaging,Packaging,0.645,0.614,0.494,0.611,0.56,0.856,Outperform,High,False,5,qualified_but_not_selected,,,,
2025Q3,2025Q3,COO,Health Care,Health Care,0.496,0.603,0.643,0.417,0.429,0.855,Outperform,High,False,6,qualified_but_not_selected,,,,
2025Q3,2025Q3,TGT,Consumer Discretionary,Retail,0.577,0.536,0.615,0.545,0.482,0.851,Outperform,High,False,7,qualified_but_not_selected,,,,
2025Q3,2025Q3,UNH,Health Care,Health Care,0.46,0.519,0.636,0.553,0.428,0.851,Outperform,High,False,8,qualified_but_not_selected,,,,
