ticker,final_score,label,fundamental_score,valuation_score,momentum_score,bear_score,sentiment_score,sector_score,rank,selected,common_score,common_label,score_gap_vs_threshold,score_gap_vs_selected_cutoff,selected_cutoff_score,selected_rank,selection_reason,above_threshold,distance_to_threshold,selected_position
BBY,0.8792820721636557,1,0.5846957114692816,0.5353514411489793,0.6233701706446884,0.5834911523323527,0.44444085605268197,0.7373075896943098,1,False,0.8792820721636557,Outperform,0.3292820721636557,0.11237782525566986,0.7669042469079859,,qualified_but_not_selected,True,0.3292820721636557,
CNC,0.8700725025043644,1,0.5013280489123871,0.5439151422714231,0.6223751576944639,0.6272940678592862,0.44899753767077133,0.6551850290176754,2,False,0.8700725025043644,Outperform,0.32007250250436436,0.10316825559637854,0.7669042469079859,,qualified_but_not_selected,True,0.32007250250436436,
ALGN,0.8689050513204958,1,0.5850041104386717,0.5859076370952097,0.6277370179451314,0.6208228921777224,0.475880539954458,0.6551850290176754,3,True,0.8689050513204958,Outperform,0.31890505132049574,0.10200080441250992,0.7669042469079859,1.0,selected_above_threshold,True,0.31890505132049574,3.0
MOH,0.8617415953125777,0,0.5473982039221882,0.4754379915649729,0.6703129648535072,0.6249912602033469,0.43392865080368626,0.6551850290176754,4,False,0.8617415953125777,Outperform,0.3117415953125776,0.09483734840459179,0.7669042469079859,,qualified_but_not_selected,True,0.3117415953125776,
IP,0.8560888684690063,1,0.6448314722779898,0.6138486610640231,0.49419384978581304,0.6105029320872064,0.5596623458862113,0.7255908243008449,5,False,0.8560888684690063,Outperform,0.3060888684690063,0.08918462156102047,0.7669042469079859,,qualified_but_not_selected,True,0.3060888684690063,
COO,0.8544900778058447,1,0.4957754068195276,0.6030094869515881,0.6431735205166659,0.4170263432578327,0.4289054847663707,0.6551850290176754,6,False,0.8544900778058447,Outperform,0.3044900778058447,0.08758583089785887,0.7669042469079859,,qualified_but_not_selected,True,0.3044900778058447,
TGT,0.8508690491115023,1,0.5772676706293453,0.5365155663681959,0.6153899776060058,0.5454273278091911,0.4816744678635928,0.7373075896943098,7,False,0.8508690491115023,Outperform,0.30086904911150225,0.08396480220351643,0.7669042469079859,,qualified_but_not_selected,True,0.30086904911150225,
UNH,0.8505389664076303,1,0.45963546294960606,0.5189082512694323,0.6357511737194724,0.5527133712092627,0.42821840538586536,0.6551850290176754,8,False,0.8505389664076303,Outperform,0.3005389664076302,0.0836347194996444,0.7669042469079859,,qualified_but_not_selected,True,0.3005389664076302,
ELV,0.8427045385382269,1,0.5073965652157544,0.48560271876481126,0.5931652876517,0.6600298998839454,0.4395893790722796,0.6551850290176754,9,False,0.8427045385382269,Outperform,0.29270453853822687,0.07580029163024105,0.7669042469079859,,qualified_but_not_selected,True,0.29270453853822687,
IEX,0.8354200490625346,1,0.6320187825251881,0.6185981533416941,0.5287321119759171,0.6679865662110475,0.6419590858941253,0.5585754618861559,10,False,0.8354200490625346,Outperform,0.2854200490625346,0.06851580215454878,0.7669042469079859,,qualified_but_not_selected,True,0.2854200490625346,
