ticker,buy_date,buy_price,buy_shares,buy_notional_usd,buy_fees_usd,buy_total_cost_usd,sell_date,sell_price,sell_shares,sell_notional_usd,sell_fees_usd,sell_total_received_usd,pnl_usd,pnl_pct,hold_days
AFL,2025-02-18,101.47978210449219,1.1427164566944885,115.96261703257407,0.0,115.96261703257407,2026-02-13,114.30270385742188,1.1427164566944885,130.61558074255257,0.0,130.61558074255257,14.652963709978494,12.635937412366655,360
BK,2025-02-18,87.06726837158203,1.1550322874588266,100.56550615001994,0.0,100.56550615001994,2026-02-13,117.73999786376953,1.1550322874588266,135.99349905798707,0.0,135.99349905798707,35.42799290796712,35.2287720355297,360
ECL,2025-02-18,262.8051452636719,0.6427383821339467,168.91495388324932,0.0,168.91495388324932,2026-02-13,298.370361328125,0.6427383821339467,191.77408331676017,0.0,191.77408331676017,22.859129433510844,13.532922283074253,360
MDT,2025-02-18,82.76250457763672,1.2984074369826273,107.45945144691225,0.0,107.45945144691225,2026-02-13,98.68427276611328,1.2984074369826273,128.13239367274363,0.0,128.13239367274363,20.672942225831378,19.23790038705376,360
PLD,2025-02-18,116.20238494873047,1.4153833684504256,164.47092303070716,0.0,164.47092303070716,2026-02-13,137.86090087890625,1.4153833684504256,195.12602626359657,0.0,195.12602626359657,30.655103232889417,18.638615670178996,360
PNR,2025-02-18,95.71785736083984,1.985245727593345,190.0234673799965,0.0,190.0234673799965,2026-02-13,101.37000274658203,1.985245727593345,201.24436485877763,0.0,201.24436485877763,11.220897478781126,5.905006172917742,360
SBAC,2025-02-18,200.8569793701172,0.5414154949461422,108.74708089905906,0.0,108.74708089905906,2026-02-13,199.41146850585938,0.5414154949461422,107.9644589190369,0.0,107.9644589190369,-0.7826219800221565,-0.7196717130720961,360
SCHW,2025-02-18,80.48966979980469,1.247580863954696,100.41737178826853,0.0,100.41737178826853,2026-02-13,93.72000122070312,1.247580863954696,116.92328009275997,0.0,116.92328009275997,16.50590830449144,16.437303636361232,360
TRMB,2025-02-18,75.13999938964844,1.2644712205828883,95.01236674282625,0.0,95.01236674282625,2026-02-13,66.4000015258789,1.2644712205828883,83.96089097613374,0.0,83.96089097613374,-11.051475766692505,-11.631618225663164,360
UNH,2025-02-18,484.9251403808594,0.23618734977733194,114.53318374695583,0.0,114.53318374695583,2026-02-13,290.92822265625,0.23618734977733194,68.71356588460922,0.0,68.71356588460922,-45.819617862346604,-40.005539323501466,360
