ticker,weight,score,rank
PNR,0.1500848499151501,0.6305967142233657,1
ECL,0.13341286658713342,0.6183706654081083,2
PLD,0.1299028700971299,0.615796915982009,3
AFL,0.0915899084100916,0.5877016276852114,4
UNH,0.09046090953909047,0.5868737029118953,5
SBAC,0.08589091410908589,0.5835231232550082,6
MDT,0.08487391512608489,0.5827774126861801,7
BK,0.07942892057107943,0.578784057295347,8
SCHW,0.07931192068807931,0.5786981293916437,9
TRMB,0.07504292495707504,0.5755678094964389,10
