,importance
revenue_decline,1.0301282020373579
revenue_decline__pct_universe,0.9036076624590901
insider_net_ratio_90d__pct_sector,0.13577743456026461
current_ratio__pct_universe,0.10187947140138147
current_ratio__pct_sector,0.09425044029606895
revenue_decline__pct_sector,0.0776942418543111
total_debt_yoy_growth__pct_sector,0.07739416380039076
insider_sell_ratio__pct_sector,0.07598396584965758
total_debt_yoy_growth__pct_universe,0.06913381669842204
interest_coverage__pct_universe,0.06287466015023883
consecutive_losses,0.058681549413284684
interest_coverage__pct_sector,0.04821865425978017
rule_confidence,0.044262533080245525
fcf_margin__pct_sector,0.03972669596684362
insider_sell_ratio,0.03427202530448615
insider_net_ratio_90d,0.034272025304485906
debt_equity__pct_sector,0.029889088296929402
debt_to_ebitda__pct_sector,0.027959654614612143
fcf_margin__pct_universe,0.02783460987122705
total_debt_yoy_growth,0.022122331803159433
debt_to_ebitda__pct_universe,0.014449057004901336
debt_equity__pct_universe,0.010957342687295698
consecutive_losses__pct_universe,0.010289317029404147
current_ratio,0.00955761569807633
debt_equity,0.00877166640019554
interest_coverage,0.007884727919916082
consecutive_losses__pct_sector,0.004341383391668171
insider_net_ratio_90d__pct_universe,0.003786216843499473
fcf_margin,0.0033121972529938574
debt_to_ebitda,0.0029994600896268066
insider_sell_ratio__pct_universe,0.002480724721705305
