,importance
momentum_score,0.4903305551995891
mom_minus_bear,0.26454994284499533
sp500_momentum_12m,0.05288540518497301
sp500_momentum_3m,0.04266325704623858
bear_score,0.036124300054942514
vix,0.03198561513702166
yield_curve,0.024919970496021918
fund_x_val,0.01771985924483416
valuation_score,0.012193289663900791
fundamental_score,0.004109968774375564
sector_Aerospace,0.0035458965399762666
sector_Consumer Discretionary,0.003194378036505636
sector_Retail-Wholesale,0.0029755133452082933
sector_Consumer Staples,0.0021042251073589663
sector_Business Services,0.0018999548993445074
sector_Medical,0.0016749070287130385
sector_Basic Materials,0.0016288430028954875
sector_Auto-Tires-Trucks,0.001052323558301132
sector_Finance,0.001039678665297311
sector_Utilities,0.0008761269939989517
sector_Conglomerates,0.0008687506720426008
sector_Oils-Energy,0.0008413396582462055
sector_Industrial Products,0.0004128093358517738
sector_Transportation,0.00017833795989122449
sector_Construction,0.00016987444164171916
sector_Computer And Technology,5.487710783405435e-05
sector_Unknown,0.0
