,shap_importance
momentum_score,0.4752561010443283
yield_curve,0.1803082392624745
vix,0.10630119165198057
mom_minus_bear,0.07965288635556718
bear_score,0.0778528576370218
valuation_score,0.030636223782406217
sector_Finance,0.023628001250326335
sector_Oils-Energy,0.022058847873538037
fund_x_val,0.020590266291051807
sector_Consumer Staples,0.018643423143442125
sector_Consumer Discretionary,0.018105246301661777
sector_Aerospace,0.010804001657277977
sp500_momentum_3m,0.010360954738692807
sector_Computer And Technology,0.008567080985444267
sector_Retail-Wholesale,0.007762487908750802
sp500_momentum_12m,0.005033991087356014
sector_Conglomerates,0.0048135264370394015
sector_Construction,0.0039219089012906445
fundamental_score,0.003665659714388236
sector_Transportation,0.0016489624761361896
sector_Basic Materials,0.0015300152594790637
sector_Utilities,0.0010954527045019726
sector_Business Services,0.0007463435670023245
sector_Medical,0.0005839414361286272
sector_Industrial Products,0.00038969498767048056
sector_Auto-Tires-Trucks,8.582454196371441e-05
sector_Unknown,0.0
