,shap_importance
mom_minus_bear,0.549710334285879
momentum_score,0.16008167378236363
vix,0.13089229943120548
yield_curve,0.12361128247988028
fundamental_score,0.1066909828515634
valuation_score,0.08014451724266944
sp500_momentum_12m,0.04486102216095171
fund_x_val,0.03777268787364971
sector_Oils-Energy,0.024208692222250906
sector_Medical,0.024206202234095548
sector_Consumer Discretionary,0.020505355042635426
sp500_momentum_3m,0.01921139313331229
bear_score,0.018478201391673162
sector_Basic Materials,0.016516157705485302
sector_Finance,0.011021510421810179
sector_Industrial Products,0.00996648717890587
sector_Aerospace,0.009197408853323371
sector_Conglomerates,0.007616647591038442
sector_Business Services,0.007013283751330095
sector_Consumer Staples,0.0020914528566276162
sector_Utilities,0.0015122311511338053
sector_Computer And Technology,0.0006033990521617376
sector_Construction,0.00047886973737787164
sector_Transportation,0.00021009716499304412
sector_Retail-Wholesale,0.00015974014952184687
sector_Auto-Tires-Trucks,0.0
sector_Unknown,0.0
