,shap_importance
momentum_score,0.508121736755165
yield_curve,0.18285240968013586
vix,0.0912256667935939
fund_x_val,0.058180312173204435
sector_Computer And Technology,0.03462320382804547
bear_score,0.03407916936391894
sector_Consumer Discretionary,0.027083648062551913
sp500_momentum_3m,0.021589469208710833
sector_Consumer Staples,0.02122176280041044
mom_minus_bear,0.019471128575969478
valuation_score,0.01823061631532288
sector_Oils-Energy,0.010870053970030769
sp500_momentum_12m,0.008135312936595408
sector_Medical,0.00713138857390969
sector_Finance,0.005979349980302176
sector_Business Services,0.0050438063070221105
sector_Utilities,0.004938705166898408
sector_Transportation,0.004256201945514492
sector_Basic Materials,0.003707126096616468
sector_Conglomerates,0.00220807090543922
sector_Retail-Wholesale,0.002195920734713706
sector_Auto-Tires-Trucks,0.0018168899006055664
fundamental_score,0.0015269637242418049
sector_Construction,0.0014089784320823818
sector_Industrial Products,6.463340385946492e-05
sector_Aerospace,5.451353418386012e-05
sector_Unknown,0.0
