,shap_importance
momentum_score,0.37539783976387914
vix,0.15907879946205472
mom_minus_bear,0.10659262439098754
sector_Computer And Technology,0.06766356283838423
yield_curve,0.057026186440045576
valuation_score,0.055653575831941506
bear_score,0.04392176118478673
sector_Finance,0.04192879440474501
sector_Consumer Staples,0.029368785261916754
sector_Medical,0.02416527289798341
sp500_momentum_3m,0.021685151649165856
fundamental_score,0.020229722801866492
fund_x_val,0.016268401404424003
sector_Basic Materials,0.013869200289394687
sector_Aerospace,0.013338378939766369
sector_Retail-Wholesale,0.008120896779485189
sp500_momentum_12m,0.005850648856889894
sector_Consumer Discretionary,0.0032254253172307556
sector_Transportation,0.00308646295448678
sector_Utilities,0.001509766004252564
sector_Business Services,0.0014801114740476415
sector_Construction,0.0009094748747535156
sector_Industrial Products,0.0006723985918345519
sector_Conglomerates,0.00045687984841995445
sector_Auto-Tires-Trucks,0.0
sector_Oils-Energy,0.0
sector_Unknown,0.0
