,shap_importance
momentum_score,0.45356021135230173
fund_x_val,0.11440486586481546
mom_minus_bear,0.09276696984256898
sector_Computer And Technology,0.056827864163592895
vix,0.05408419278489804
fundamental_score,0.04869967552332102
valuation_score,0.04453131106378334
sector_Consumer Staples,0.04146234454140167
sector_Medical,0.02795072076771525
bear_score,0.02179453964480788
sector_Finance,0.020547024561168973
sp500_momentum_12m,0.014325020028010529
yield_curve,0.013254341575628907
sector_Oils-Energy,0.01266416688039762
sp500_momentum_3m,0.012009598207758519
sector_Consumer Discretionary,0.007041714225224268
sector_Business Services,0.003898872891609329
sector_Aerospace,0.0030590123830274425
sector_Transportation,0.002711800457568014
sector_Construction,0.0026339091648172035
sector_Auto-Tires-Trucks,0.0011057319929184447
sector_Industrial Products,0.0008415108598604187
sector_Utilities,0.0007814203725390591
sector_Retail-Wholesale,0.0004545097744792137
sector_Conglomerates,0.0004070365926321739
sector_Basic Materials,0.0002358081721288205
sector_Unknown,0.0
