,shap_importance
momentum_score,0.40868245443417367
vix,0.10068443539964715
bear_score,0.06675809425120295
sector_Computer And Technology,0.0651672391150972
sector_Finance,0.0249410324286651
sp500_momentum_3m,0.020681253127350342
mom_minus_bear,0.018828504819337732
valuation_score,0.0170224710274508
sector_Consumer Staples,0.016576122190124776
sector_Medical,0.015756863755145192
sector_Aerospace,0.014963510198444241
yield_curve,0.013245445316121979
sector_Consumer Discretionary,0.012072681703077856
fundamental_score,0.009863622964045617
sp500_momentum_12m,0.008669286818117
sector_Transportation,0.007288826779477228
fund_x_val,0.006603794939272867
sector_Auto-Tires-Trucks,0.00362667537927703
sector_Basic Materials,0.0035658469428137725
sector_Oils-Energy,0.0028525748511188235
sector_Retail-Wholesale,0.0012979328278552593
sector_Utilities,0.0012076725853292565
sector_Industrial Products,0.0010193663285066002
sector_Business Services,0.0005652516583580607
sector_Unknown,0.0004946511523274024
sector_Conglomerates,0.0002930040081879292
sector_Construction,3.195550245834356e-05
