,shap_importance
momentum_score,0.5383617225600901
mom_minus_bear,0.22010065578054616
fund_x_val,0.16729336964527447
sector_Computer And Technology,0.07979170539166891
yield_curve,0.06772998565002095
fundamental_score,0.05895688288984636
vix,0.045814453902420366
sector_Consumer Staples,0.03140996271966884
valuation_score,0.031213173070184928
sp500_momentum_12m,0.020247247944192776
sp500_momentum_3m,0.019808721653660648
bear_score,0.01874431229080538
sector_Consumer Discretionary,0.01822992812067731
sector_Basic Materials,0.010670635886369658
sector_Aerospace,0.004635380002336081
sector_Utilities,0.004305702481073769
sector_Construction,0.0036092034244625763
sector_Business Services,0.003115410942492443
sector_Oils-Energy,0.003053089891486199
sector_Retail-Wholesale,0.0026641891077979294
sector_Finance,0.002411892598963759
sector_Conglomerates,0.001723980697551724
sector_Industrial Products,0.0007048364057232177
sector_Auto-Tires-Trucks,0.0006782705608452825
sector_Medical,0.0004799792163997258
sector_Transportation,0.0
sector_Unknown,0.0
