,shap_importance
mom_minus_bear,0.2541046451447649
yield_curve,0.14597593494088038
momentum_score,0.09807093458312431
fundamental_score,0.07867210089966348
vix,0.03112629161503579
sector_Oils-Energy,0.02990732780238414
sector_Computer And Technology,0.027384172136603206
bear_score,0.020178952056764784
sector_Consumer Discretionary,0.019007087463576804
fund_x_val,0.015068723701196718
sector_Medical,0.012548260586896655
sp500_momentum_12m,0.012236577793323655
valuation_score,0.011666617155590104
sector_Consumer Staples,0.010067856852800271
sector_Construction,0.008328734402698802
sector_Basic Materials,0.004425988185455733
sector_Aerospace,0.003873698360820406
sector_Business Services,0.002604942283496704
sector_Auto-Tires-Trucks,0.0019924583046043638
sector_Conglomerates,0.0018878052342619076
sp500_momentum_3m,0.001593092384247663
sector_Finance,0.0015090333720164635
sector_Retail-Wholesale,0.0011437931370216691
sector_Utilities,0.0009115875924975486
sector_Transportation,0.0004578848529894186
sector_Industrial Products,3.882274536621463e-06
sector_Unknown,0.0
