,shap_importance
momentum_score,0.4587603054639159
vix,0.3340450348537363
fundamental_score,0.14156087081227753
mom_minus_bear,0.102454927890896
sector_Computer And Technology,0.07508438381298847
sp500_momentum_3m,0.05132337755464549
fund_x_val,0.04519926385673924
sector_Consumer Staples,0.04167182594269108
yield_curve,0.036541998892438136
bear_score,0.030864435778127162
sp500_momentum_12m,0.02936269258074088
sector_Medical,0.026259338012965264
valuation_score,0.017212663649119518
sector_Aerospace,0.012549984384207437
sector_Retail-Wholesale,0.00843124397205366
sector_Transportation,0.00655024045444994
sector_Utilities,0.006231411279221234
sector_Consumer Discretionary,0.005131334270219887
sector_Finance,0.004150772050522422
sector_Basic Materials,0.0030103538038937522
sector_Business Services,0.0026357654676500038
sector_Auto-Tires-Trucks,0.001772438782631913
sector_Conglomerates,0.0012611947504281035
sector_Construction,0.001130399754900768
sector_Industrial Products,0.0004593917344142321
sector_Oils-Energy,0.0003270557922669904
sector_Unknown,9.615741961475688e-05
