portfolio_size,mean_alpha,std_alpha,min_alpha,max_alpha,median_alpha
1,0.068885,0.136132,-0.146165,0.200607,0.072434
2,0.040815,0.114731,-0.032837,0.235166,-0.022936
3,0.080641,0.118911,-0.027226,0.269682,0.073307
4,0.042663,0.113565,-0.059841,0.221483,0.033185
5,0.013012,0.102549,-0.089235,0.126314,-0.008734
6,0.016631,0.107780,-0.076935,0.147294,-0.030388
7,0.022187,0.112200,-0.083054,0.141721,-0.008095
8,0.018525,0.091939,-0.075672,0.118310,0.003194
9,0.016673,0.088653,-0.097149,0.102466,0.035854
10,0.027022,0.080895,-0.071516,0.118621,0.045471
11,0.026542,0.085377,-0.059075,0.148323,0.036618
12,0.014840,0.084989,-0.075206,0.137502,0.017583
13,0.014598,0.084778,-0.076015,0.137278,0.025770
14,0.007940,0.083900,-0.078126,0.137092,0.015118
15,0.006868,0.077418,-0.065251,0.131707,0.004153
16,0.006701,0.087692,-0.072068,0.151970,-0.004014
17,0.000284,0.086173,-0.078185,0.142708,-0.004537
18,0.002373,0.093650,-0.078907,0.158647,-0.005972
19,0.001100,0.091843,-0.073995,0.155615,-0.011896
20,0.002560,0.090947,-0.072099,0.155937,-0.006989
