fold,regime,regime_confidence,pnl_pct,hit_rate,n_trades,winning_trades,avg_fundamental_score,interpretation
2025Q1,NEUTRAL,Medium,-0.0038,0.5,8,4,0.421,"NEUTRAL market detected: 50.0% hit rate, avg fundamentals 0.421"
2025Q3,BULL,Medium,0.0667,0.625,8,5,0.539,"BULL market detected: 62.5% hit rate, avg fundamentals 0.539"
2025Q4,BEAR,High,-0.1297,0.0,8,0,0.577,"BEAR market detected: 0.0% hit rate, avg fundamentals 0.577"
