fold_id,final_score,label,regime_adjusted_score,tp_level,sl_level,tp_sl_outcome,confidence,ev,ticker,date,sector,strategy,tp_pct,sl_pct,max_holding_days,rr_ratio,risk_benefit_score,sim_entry_date,sim_actual_entry_date,entry_price,tp_price,sl_price,sim_outcome,sim_days_to_outcome,sim_outcome_date
2024Q4,0.466,1,0.423,0.08,0.05,TP,0.466,0.008,AFL,2024-12-31,Financials,conservative,0.08,0.05,91,1.482,0.011,2025-02-14,2025-02-14,103.34,111.23,98.02,TP,46,2025-04-01
2024Q4,0.601,1,0.558,0.07,0.04,TP,0.601,0.026,AIG,2024-12-31,Financials,conservative,0.07,0.04,91,1.66,0.037,2025-02-14,2025-02-14,74.34,79.76,71.08,TP,14,2025-02-28
2024Q4,0.773,0,0.729,0.06,0.06,NONE,0.773,0.031,AIZ,2024-12-31,Financials,conservative,0.06,0.06,91,0.912,0.038,2025-02-14,2025-02-14,202.96,214.95,189.81,SL,49,2025-04-04
2024Q4,0.223,1,0.18,0.08,0.04,TP,0.223,-0.01,AJG,2024-12-31,Financials,conservative,0.08,0.04,91,2.272,-0.015,2025-02-14,2025-02-14,321.5,347.55,310.04,NONE,91,2025-05-16
2024Q4,0.735,0,0.715,0.07,0.07,SL,0.735,0.034,AKAM,2024-12-31,Technology,conservative,0.07,0.07,91,1.029,0.043,2025-02-14,2025-02-14,100.01,107.13,93.09,SL,7,2025-02-21
2024Q4,0.596,1,0.647,0.1,0.13,TP,0.596,0.003,ALB,2024-12-31,Materials,conservative,0.1,0.13,91,0.719,0.004,2025-02-14,2025-02-14,81.21,88.95,70.45,SL,17,2025-03-03
2024Q4,0.819,1,0.795,0.07,0.11,TP,0.819,0.038,ALGN,2024-12-31,Health Care,conservative,0.07,0.11,91,0.647,0.044,2025-02-14,2025-02-14,206.77,221.33,184.26,SL,17,2025-03-03
2024Q4,0.266,1,0.223,0.08,0.06,TP,0.266,-0.023,ALL,2024-12-31,Financials,conservative,0.08,0.06,91,1.342,-0.031,2025-02-14,2025-02-14,187.63,203.15,176.06,TP,28,2025-03-14
2024Q4,0.623,1,0.669,0.02,0.08,TP,0.623,-0.017,ALLE,2024-12-31,Building,conservative,0.02,0.08,91,0.272,-0.019,2025-02-14,2025-02-14,133.39,136.44,122.17,SL,52,2025-04-07
2024Q4,0.528,1,0.509,0.08,0.1,TP,0.528,-0.005,AMAT,2024-12-31,Technology,conservative,0.08,0.1,91,0.796,-0.006,2025-02-14,2025-02-14,169.2,182.16,152.92,SL,17,2025-03-03
2024Q4,0.647,1,0.678,0.05,0.08,TP,0.647,0.001,AMCR,2024-12-31,Packaging,conservative,0.05,0.08,91,0.574,0.002,2025-02-14,2025-02-14,50.35,52.66,46.32,SL,49,2025-04-04
2024Q4,0.507,0,0.487,0.14,0.13,SL,0.507,0.007,AMD,2024-12-31,Technology,conservative,0.14,0.13,91,1.078,0.009,2025-02-14,2025-02-14,113.1,129.27,98.09,SL,24,2025-03-10
2024Q4,0.741,1,0.752,0.05,0.07,TP,0.741,0.017,AME,2024-12-31,Electrical Equipment,conservative,0.05,0.07,91,0.698,0.02,2025-02-14,2025-02-14,183.54,191.92,171.52,SL,42,2025-03-28
2024Q4,0.548,1,0.528,0.07,0.08,TP,0.548,0.006,AMGN,2024-12-31,Technology,conservative,0.07,0.08,91,0.969,0.008,2025-02-14,2025-02-14,291.16,312.97,268.64,TP,11,2025-02-25
2024Q4,0.237,0,0.194,0.11,0.07,SL,0.237,-0.029,AMP,2024-12-31,Financials,conservative,0.11,0.07,91,1.492,-0.04,2025-02-14,2025-02-14,545.93,604.68,506.56,SL,18,2025-03-04
2024Q4,0.42,1,0.445,0.07,0.08,TP,0.42,-0.018,AMT,2024-12-31,Real Estate,conservative,0.07,0.08,91,0.873,-0.022,2025-02-14,2025-02-14,189.38,203.22,173.52,TP,11,2025-02-25
2024Q4,0.22,0,0.267,0.1,0.06,SL,0.22,-0.029,AMZN,2024-12-31,Consumer Discretionary,conservative,0.1,0.06,91,1.525,-0.04,2025-02-14,2025-02-14,228.68,251.33,213.83,SL,10,2025-02-24
2024Q4,0.274,0,0.26,0.17,0.07,SL,0.274,-0.003,ANET,2024-12-31,Communications,conservative,0.17,0.07,91,2.506,-0.004,2025-02-14,2025-02-14,106.87,125.51,99.43,SL,7,2025-02-21
