,strategy,benchmark
2025-02-18,0.009222641919337197,0.0024449877750611915
2025-02-19,0.006066032739819699,0.0023769693899173827
2025-02-20,-0.0020898023455539396,-0.0043341850761716705
2025-02-21,-0.024591771765999793,-0.01706412670256352
2025-02-24,0.0027489785004640075,-0.00496910650440241
2025-02-25,-0.011236488982275635,-0.004679730915472358
2025-02-26,0.00043757221366765996,0.00013602428004699796
2025-02-27,-0.009777095307456693,-0.015864553655509872
2025-02-28,0.011511521299392568,0.01585414463498891
2025-03-03,-0.030332424892609088,-0.0175967394669998
2025-03-04,-0.013637227747646327,-0.012234826602200433
2025-03-05,0.009266317070308804,0.011159277893187936
2025-03-06,-0.025555536684654906,-0.017819007085749905
2025-03-07,0.014770046892397602,0.00552061780274804
2025-03-10,-0.027101728249105065,-0.0269730913054258
2025-03-11,-0.011353348237310252,-0.007567865323653167
2025-03-12,-0.004688695608456035,0.004886869929446425
2025-03-13,-0.023850926535464927,-0.013890984206835322
2025-03-14,0.027343923921836905,0.021265869083087807
2025-03-17,0.014554165305280193,0.006416130719105961
2025-03-18,-0.003818950377296481,-0.010653512117636543
2025-03-19,0.01864957618814697,0.010798495567894584
2025-03-20,-0.006573249690581073,-0.0021848931523151816
2025-03-21,-0.0014007143888679077,0.0008246534476661349
2025-03-24,0.01829811167509395,0.017646000146633645
2025-03-25,0.0004259303428323455,0.0015743334544251475
2025-03-26,-0.00014877760368309614,-0.011156934922627149
2025-03-27,-0.011957225575203475,-0.003306980860763864
2025-03-28,-0.03228452850538133,-0.01973722070834405
2025-03-31,-0.0002972131477593097,0.005538521570653376
2025-04-01,-0.0008144538105664643,0.0037812354559083605
2025-04-02,0.020214985531501608,0.006728194715792668
2025-04-03,-0.08862368291116612,-0.04839563335990149
2025-04-04,-0.04876981236477279,-0.05974960534553109
2025-04-07,-0.013282944245665751,-0.0023314724921273955
2025-04-08,-0.03884012903176782,-0.015700524562941354
2025-04-09,0.13190638278179725,0.09515387644904849
2025-04-10,-0.06775087807460252,-0.03460757958472693
2025-04-11,0.005291279430027985,0.018092095201708958
2025-04-14,0.01234643129698311,0.007944712390868913
2025-04-15,0.00252797697613994,-0.0017277808903947145
2025-04-16,-0.008226300486925877,-0.0224083715440897
2025-04-17,0.018694648730685406,0.0013268380955802073
2025-04-21,-0.01715902517781681,-0.023567493023827546
2025-04-22,0.02776210871565526,0.025117204723895226
2025-04-23,0.019672376849131822,0.01666113847096007
2025-04-24,0.02483168372247927,0.020259113708281262
2025-04-25,0.008782321565046266,0.007373133469998461
2025-04-28,0.0001979060629845274,0.0006407067039131409
2025-04-29,0.0039811071003910395,0.005802410694099036
