fold,ticker,sector,confidence,fundamental_score,valuation_score,momentum_score,bear_score,sentiment_score,final_score,buy_date,buy_price,tp_price,sl_price,tp_pct,sl_pct,sell_date,sell_price,hold_days,max_hold_days,exit_reason,days_to_outcome,pnl_usd,pnl_pct,ev,strategy
2025Q1,AES,Utilities,High,0.34,0.531,0.742,0.363,0.412,0.777,2025-05-15,12.41,15.43,10.54,0.244,0.15,2025-05-21,10.12,6,91,SL,6,-25.63,-19.8778,0.156,aggressive
2025Q1,CZR,"Hotels, Restaurants & Leisure",High,0.407,0.522,0.721,0.488,0.412,0.796,2025-05-15,30.34,37.89,25.76,0.25,0.15,2025-06-05,25.6,21,91,SL,21,-21.97,-17.0397,0.1686,aggressive
2025Q1,ENPH,Technology,Moderate,0.442,0.469,0.639,0.279,0.412,0.739,2025-05-15,49.78,62.16,42.27,0.25,0.15,2025-05-22,37.97,7,91,SL,7,-24.77,-25.5371,0.1455,aggressive
2025Q1,FCX,Metals & Mining,High,0.354,0.394,0.46,0.338,0.412,0.762,2025-05-15,38.51,48.09,32.7,0.25,0.15,2025-08-14,42.24,91,91,NONE,91,10.39,8.0578,0.155,aggressive
2025Q1,MRNA,Technology,Moderate,0.557,0.61,0.49,0.616,0.412,0.722,2025-05-15,23.67,29.56,20.1,0.25,0.15,2025-07-02,30.25,48,91,TP,48,22.2,25.1931,0.1386,aggressive
2025Q1,NUE,Metals & Mining,High,0.443,0.598,0.598,0.347,0.412,0.833,2025-05-15,115.58,139.76,98.14,0.21,0.15,2025-07-10,143.17,56,91,TP,56,28.54,22.1364,0.1501,aggressive
2025Q1,SMCI,Technology,Moderate,0.411,0.526,0.364,0.271,0.404,0.703,2025-05-15,44.0,54.95,37.37,0.25,0.15,2025-07-28,59.99,74,91,TP,74,8.44,28.3821,0.131,aggressive
2025Q1,UBER,Road & Rail,Moderate,0.411,0.468,0.526,0.334,0.412,0.73,2025-05-15,90.25,112.7,76.64,0.25,0.15,2025-08-14,91.31,91,91,NONE,91,-0.5,-0.3877,0.1421,aggressive
2025Q3,ALB,Materials,High,0.514,0.657,0.495,0.622,0.63,0.814,2025-11-14,115.26,143.92,97.87,0.25,0.15,2025-12-19,145.73,35,91,TP,35,14.91,22.9575,0.1757,aggressive
2025Q3,ALGN,Health Care,High,0.585,0.586,0.628,0.621,0.476,0.869,2025-11-14,137.27,168.41,116.56,0.228,0.15,2026-01-08,170.41,55,91,TP,55,18.79,21.5709,0.1785,aggressive
2025Q3,DECK,"Textiles, Apparel & Luxury Goods",High,0.603,0.528,0.63,0.551,0.511,0.809,2025-11-14,82.9,103.52,70.4,0.25,0.15,2025-12-15,103.89,31,91,TP,31,20.99,22.8573,0.1735,aggressive
2025Q3,FICO,Technology,High,0.564,0.458,0.65,0.509,0.403,0.767,2025-11-14,1743.11,2176.71,1486.27,0.25,0.146,2026-01-30,1461.71,77,91,SL,77,-19.31,-17.8423,0.1576,aggressive
2025Q3,HAL,Energy,High,0.514,0.549,0.618,0.674,0.603,0.794,2025-11-14,27.33,34.12,23.2,0.25,0.15,2026-01-26,34.13,73,91,TP,73,24.11,22.7554,0.1677,aggressive
2025Q3,MTCH,Communication Services,High,0.503,0.497,0.408,0.542,0.593,0.782,2025-11-14,32.31,40.34,27.44,0.25,0.15,2026-02-13,30.47,91,91,NONE,91,-8.2,-7.4751,0.1623,aggressive
2025Q3,TPL,Energy,High,0.524,0.437,0.682,0.638,0.589,0.79,2025-11-14,341.22,426.1,289.75,0.25,0.15,2025-11-25,287.85,11,91,SL,11,-17.64,-17.4677,0.1661,aggressive
2025Q3,WBD,Communication Services,High,0.508,0.695,0.418,0.673,0.519,0.788,2025-11-14,23.05,28.79,19.58,0.25,0.15,2025-12-10,29.5,26,91,TP,26,15.14,24.3067,0.1652,aggressive
2025Q4,ALGN,Health Care,High,0.662,0.589,0.704,0.451,0.493,0.82,2026-02-17,187.41,229.92,159.14,0.228,0.15,2026-04-02,170.43,44,91,NONE,44,-8.76,-11.5851,0.1599,aggressive
2025Q4,DXCM,Health Care,High,0.486,0.535,0.617,0.539,0.495,0.795,2026-02-17,70.5,88.04,59.87,0.25,0.15,2026-04-02,62.16,44,91,NONE,44,-15.72,-13.4423,0.1681,aggressive
2025Q4,LULU,"Textiles, Apparel & Luxury Goods",High,0.512,0.688,0.775,0.64,0.496,0.804,2026-02-17,177.9,217.25,151.06,0.222,0.15,2026-03-27,145.7,38,91,SL,38,-21.84,-19.7405,0.1494,aggressive
2025Q4,LUV,Airlines,High,0.711,0.468,0.463,0.51,0.582,0.815,2026-02-17,54.31,66.32,46.12,0.222,0.15,2026-03-05,43.86,16,91,SL,16,-24.33,-20.8002,0.1534,aggressive
2025Q4,PAYC,Professional Services,High,0.434,0.342,0.691,0.418,0.474,0.879,2026-02-17,122.44,148.41,103.97,0.213,0.15,2026-04-02,123.44,44,91,NONE,44,-1.06,-0.905,0.1692,aggressive
2025Q4,SNPS,Technology,High,0.657,0.513,0.511,0.483,0.496,0.771,2026-02-17,422.37,521.32,358.66,0.236,0.15,2026-04-02,395.55,44,91,NONE,44,-6.0,-9.3738,0.1472,aggressive
