ticker,strategy,selected,selected_strategy,reject_reason,selection_score,rule_adjusted_rbs,risk_benefit_score,certainty_component,tp_quality_component,tp_floor_penalty_component,tp_pct,sl_pct,tp_feasibility,confidence,historical_tp_prob
A,conservative,False,balanced,lower_selection_score,,,0.294539431867902,,,,0.2729198775586181,0.08,1.0,0.6771041075206787,0.5586206896551724
AAL,conservative,False,aggressive,lower_selection_score,,,0.34423215240419314,,,,0.3585956323913238,0.24630520958070762,1.0,0.824398705974221,0.47586206896551725
AAP,conservative,False,aggressive,lower_selection_score,,,0.2062490219222901,,,,0.26419766993839094,0.10228757941498332,1.0,0.6210669091108274,0.5379310344827586
AAPL,conservative,False,balanced,lower_selection_score,,,0.48737221187177393,,,,0.4092678837545247,0.08,1.0,0.6615723547026983,0.6172413793103447
ABT,conservative,False,aggressive,lower_selection_score,,,0.1518080657107571,,,,0.22436765814293108,0.08,1.0,0.556033292232915,0.5896551724137932
ACGL,conservative,False,balanced,lower_selection_score,,,0.07116969779547863,,,,0.2740912945336544,0.08,1.0,0.33419258799443635,0.6482758620689656
ACN,conservative,False,balanced,lower_selection_score,,,0.1942287511389685,,,,0.23984921014250712,0.08,1.0,0.5972118899162802,0.6620689655172414
ADBE,conservative,False,aggressive,lower_selection_score,,,0.5019553297877969,,,,0.408970418414639,0.08,1.0,0.6768868881005288,0.6758620689655173
ADI,conservative,False,aggressive,lower_selection_score,,,0.1867008620237843,,,,0.23129622741441352,0.08,1.0,0.6051167160512335,0.596551724137931
ADM,conservative,False,aggressive,lower_selection_score,,,0.09242374961909505,,,,0.21096940315720786,0.0866214671028514,1.0,0.4841122075109815,0.5172413793103449
ADP,conservative,False,balanced,lower_selection_score,,,0.012595774989844433,,,,0.2405289291076745,0.08,1.0,0.2720216054427268,0.610344827586207
ADSK,conservative,False,aggressive,lower_selection_score,,,0.3432929611364373,,,,0.33531056014965,0.08478401627735029,1.0,0.6127288978462808,0.5724137931034483
AEE,conservative,True,conservative,selected,,,-0.04892590706534136,,,,0.17551362687236985,0.08,1.0,0.18943770797971077,0.5586206896551724
AES,conservative,True,conservative,selected,,,-0.07393446816986732,,,,0.20854941327513538,0.12142598942619044,1.0,0.2112308283075384,0.4241379310344828
AFL,conservative,False,balanced,lower_selection_score,,,0.234843079991693,,,,0.21917638558908034,0.08,1.0,0.7332759618456817,0.5413793103448276
AIG,conservative,False,aggressive,lower_selection_score,,,0.18771184219987386,,,,0.18085903685864868,0.09841224756856225,1.0,0.8129411686669402,0.4551724137931034
AIZ,conservative,False,aggressive,lower_selection_score,,,0.11518306928429989,,,,0.23029242429445915,0.09068081970600787,1.0,0.5020155471514703,0.5620689655172414
AJG,conservative,False,aggressive,lower_selection_score,,,0.3012052397610257,,,,0.27035615336619784,0.08,1.0,0.6943420155326928,0.7034482758620689
AKAM,conservative,False,aggressive,lower_selection_score,,,0.2203386874229586,,,,0.2672124736551893,0.12607268007447284,1.0,0.6867698705561673,0.5172413793103449
ALB,conservative,False,aggressive,lower_selection_score,,,0.22886533074570595,,,,0.3296660612897115,0.15294735271885054,1.0,0.6250794708804056,0.4827586206896552
ALGN,conservative,True,conservative,selected,,,0.5500209751591828,,,,0.55,0.12745699233413452,1.0,0.5940856533594111,0.5896551724137932
ALK,conservative,False,aggressive,lower_selection_score,,,0.24348592079956055,,,,0.30722439733854806,0.12407602539778823,1.0,0.6363697354569059,0.47586206896551725
ALL,conservative,False,balanced,lower_selection_score,,,0.08280023369455991,,,,0.22348830327565128,0.08,1.0,0.42423999663641015,0.5
AMAT,conservative,False,balanced,lower_selection_score,,,0.5949380831669775,,,,0.46083986341309807,0.08955466709795903,1.0,0.703175063026308,0.5241379310344827
AMD,conservative,True,conservative,selected,,,0.5861498394377925,,,,0.55,0.18287405940045146,1.0,0.7060649765428966,0.5310344827586208
AME,conservative,False,balanced,lower_selection_score,,,0.020580839440690214,,,,0.2158390799015356,0.08,1.0,0.3119627005834684,0.5793103448275863
AMGN,conservative,False,aggressive,lower_selection_score,,,0.3208995881400585,,,,0.24735782036902404,0.08,1.0,0.7972717148702348,0.596551724137931
AMP,conservative,False,balanced,lower_selection_score,,,0.4580394665863193,,,,0.33610553020584855,0.0908766636580406,1.0,0.7702106217473181,0.5827586206896551
AMT,conservative,True,conservative,selected,,,0.0021214042478996044,,,,0.23724169078617344,0.08,1.0,0.25601373911525915,0.5586206896551724
AMZN,conservative,False,balanced,lower_selection_score,,,0.5355604523244654,,,,0.40928961386337664,0.08,1.0,0.710786038183395,0.5896551724137932
AON,conservative,False,aggressive,lower_selection_score,,,0.19589654220753022,,,,0.2615499365533615,0.08,1.0,0.5498252981852387,0.6758620689655173
AOS,conservative,False,balanced,lower_selection_score,,,0.14049810011644803,,,,0.33473416929589755,0.08,1.0,0.3622779630463167,0.5827586206896551
APD,conservative,False,balanced,lower_selection_score,,,0.08743416088715703,,,,0.22231209047474873,0.08,1.0,0.4352850635433101,0.5689655172413793
APH,conservative,False,balanced,lower_selection_score,,,0.141130801181551,,,,0.28558206358361865,0.08,1.0,0.42282147627988603,0.5689655172413793
ARE,conservative,True,conservative,selected,,,-0.02149730608907162,,,,0.20485201265789524,0.09623558316027749,1.0,0.2730264936515636,0.5137931034482759
ATO,conservative,False,balanced,lower_selection_score,,,0.053337023747889845,,,,0.18734665893815847,0.08,1.0,0.4250712987786127,0.603448275862069
AVB,conservative,False,aggressive,lower_selection_score,,,-0.020048871907028948,,,,0.14290071516150138,0.0972120608765374,1.0,0.343801223794977,0.47586206896551725
AVY,conservative,False,balanced,lower_selection_score,,,0.04102150912964724,,,,0.2348818079021396,0.08,1.0,0.3291936106828587,0.5724137931034483
AWK,conservative,False,balanced,lower_selection_score,,,-0.024739450256741607,,,,0.224049893558659,0.08,1.0,0.21525650288130432,0.6275862068965516
AXP,conservative,False,balanced,lower_selection_score,,,0.1715964382569496,,,,0.2550599639276588,0.08,1.0,0.5237486099498397,0.5793103448275863
AZO,conservative,False,aggressive,lower_selection_score,,,0.2122568299327955,,,,0.2791166417315044,0.08,1.0,0.5384616904940105,0.7068965517241379
BA,conservative,False,aggressive,lower_selection_score,,,0.26916264059767187,,,,0.29522515991182363,0.08810780338767177,1.0,0.6119390092191325,0.4827586206896552
BAC,conservative,False,aggressive,lower_selection_score,,,0.09800463057907233,,,,0.27065911926478137,0.10762617444332973,1.0,0.44357959089996113,0.6
BAX,conservative,False,aggressive,lower_selection_score,,,0.06018029931238973,,,,0.14585535739519512,0.08894483201667322,1.0,0.5605919700594688,0.45862068965517244
BBWI,conservative,False,aggressive,lower_selection_score,,,0.25098094523654213,,,,0.2945036976533666,0.17435496777058393,1.0,0.7482409815675104,0.4620689655172414
BBY,conservative,True,conservative,selected,,,-0.0499154491808932,,,,0.3341734396942365,0.2195109116197674,1.0,0.3311556809078099,0.45862068965517244
