ticker,entry_date,entry_price,tp_price,sl_price_original,event_type,event_date,days_from_entry,price,trailing_stop,peak_price,return_pct
ORLY,2023-02-15,57.4153,86.9909,49.7621,EXIT_TIME,2024-02-16,366,70.07,49.7621,64.6153,22.04
NVDA,2023-02-15,22.764,35.2842,20.9429,TRAILING_ACTIVATED,2023-08-17,183,43.344,41.1768,43.344,90.41
NVDA,2023-02-15,22.764,35.2842,20.9429,REVIEW,2023-09-18,215,43.966,41.1768,49.355,93.14
NVDA,2023-02-15,22.764,35.2842,20.9429,EXIT_TP_TRAIL,2023-09-21,218,41.017,41.1768,49.355,80.18
NFLX,2023-02-15,36.142,56.0201,32.8234,TRAILING_ACTIVATED,2024-01-25,344,56.2,53.39,56.2,55.5
NFLX,2023-02-15,36.142,56.0201,32.8234,EXIT_TIME,2024-02-16,366,58.395,53.39,59.346,61.57
LRCX,2023-02-15,52.029,78.3248,46.3675,TRAILING_ACTIVATED,2023-12-26,314,79.571,75.5924,79.571,52.94
LRCX,2023-02-15,52.029,78.3248,46.3675,EXIT_TP_TRAIL,2024-01-02,321,74.93,75.5924,79.571,44.02
MU,2023-02-15,61.84,92.6323,53.0667,EXIT_TIME,2024-02-16,366,79.5,53.0667,73.93,28.56
AMZN,2023-02-15,101.16,156.798,91.355,TRAILING_ACTIVATED,2024-01-24,343,156.87,149.0265,156.87,55.07
AMZN,2023-02-15,101.16,156.798,91.355,EXIT_TIME,2024-02-16,366,169.51,149.0265,174.45,67.57
DHI,2023-02-15,99.24,153.822,76.3839,TRAILING_ACTIVATED,2024-01-10,329,154.52,146.794,154.52,55.7
DHI,2023-02-15,99.24,153.822,76.3839,EXIT_TP_TRAIL,2024-01-23,342,143.13,146.794,157.7,44.23
