ticker,weight,score,rank
ORLY,0.2,0.8420722931408622,1
NVDA,0.073682,0.7848495320008911,2
NFLX,0.139538,0.7724351034561399,3
LRCX,0.095768,0.8545181919976123,4
MU,0.159255,0.8620414477484885,5
AMZN,0.131757,0.6947480333792586,6
DHI,0.2,0.8228402631973135,7
