report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,38109402000.0,4732620000.0,3059781000.0,38109402000.0,8860079000.0,11136734000.0,,1657034000.0,,,476714000.0,213799000.0,171198000.0,147685000.0,1.12,191283703.0,674265000.0,,,11136734000.0,,12.5196,1.9112,1.12,476714000.0,0.024130597481128554,0.005610137886708377,,,0.012509091588474677,0.023839498824137627,,1.256956512464505,1.5467185396601915,,,,,,,,,,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2010-09-30,38668207000.0,5047463000.0,2914186000.0,38668207000.0,8731752000.0,11444513000.0,,1930919000.0,,,1873597000.0,1021951000.0,436180000.0,536227000.0,5.38,189914439.0,3165089000.0,,,11444513000.0,,10.5455,1.6249,5.38,1873597000.0,0.11703848208240454,0.0264287144216436,,,0.048453164637294925,0.09286143892340827,,1.3106777425652951,1.7320318606979788,,,,,,,,,,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2010-12-31,38685276000.0,4339083000.0,2776249000.0,38685276000.0,8496400000.0,11317157000.0,,1294472000.0,,,2267377000.0,1250242000.0,575167000.0,617239000.0,6.66,187814235.0,3926081000.0,,,11317157000.0,1.563,10.0875,1.4336,6.66,2267377000.0,0.14714961630808343,0.03231829081431395,,,0.0586108523563332,0.1144356361656819,,1.331994374087849,1.562930054184621,,,,,,,,,,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2011-03-31,38598566000.0,3777586000.0,2310744000.0,38598566000.0,8535138000.0,11581318000.0,,726237000.0,,,510891000.0,248663000.0,127600000.0,164250000.0,1.38,180083830000.0,323101000.0,,,11581318000.0,,9.2062,1.3697,1.38,510891000.0,0.029134033919545298,0.006442285964716928,,,0.013236009855910192,0.025396670268361385,,1.3568987402429815,1.6347920842810801,,2734655000.0,5128579000.0,5128579000.0,1310145000.0,14.54,14.54,2.2581923764847924,3.914512515790237,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2011-06-30,39129761000.0,3863142000.0,2242404000.0,39129761000.0,8597566000.0,12057368000.0,,529858000.0,,,1069629000.0,564246000.0,254499000.0,315203000.0,3.14,179502551.0,977249000.0,,,12057368000.0,,9.3082,1.3859,3.14,1069629000.0,0.06562857441280474,0.014419868294109949,,,0.02733543401913444,0.05178564114511332,,1.4024164513537902,1.7227680649873975,,3085102000.0,5721494000.0,5721494000.0,1393446000.0,16.56,16.56,2.107381044181817,4.10600339015649,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2011-09-30,39161498000.0,4154498000.0,4161343000.0,39161498000.0,8965362000.0,10241993000.0,,987140000.0,,,1670539000.0,1192300000.0,382087000.0,196072000.0,6.67,178805215.0,2129756000.0,,,10241993000.0,,8.189,1.3312,6.67,1670539000.0,0.13298961045856264,0.0304457199262398,,,0.04265768893723115,0.08697392222927103,,1.1423959233324879,0.9983550983420497,,3255451000.0,5518436000.0,5518436000.0,1339353000.0,17.85,17.85,1.855959369647487,4.120225213218621,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2011-12-31,40701699000.0,3622703000.0,4950699000.0,40701699000.0,8961270000.0,10043713000.0,,694438000.0,,,-1237825000.0,-658770000.0,-250559000.0,-389262000.0,-3.6399999999999997,-180263767071.0,-301289000.0,,,10043713000.0,0.7318,9.3405,1.4449,-3.6399999999999997,-1237825000.0,-0.07351301768610922,-0.016185319438385116,,,-0.030412121125459653,-0.06513160259075212,,1.1207912494545973,0.7317558591221159,,1346439000.0,2013234000.0,2013234000.0,513627000.0,7.55,7.55,4.988845310579893,3.919642074890923,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2012-03-31,40930224000.0,3476337000.0,2910654000.0,40930224000.0,8914260000.0,12121105000.0,,685002000.0,,,-56857000.0,-151683000.0,137354000.0,-162000.0,-0.86,177388045.0,600500000.0,,,12121105000.0,,12.3679,1.3694,-0.86,-56857000.0,-0.017015770237798763,-0.003705892252141107,,,-0.001389120176816037,-0.002702924337181694,,1.35974326528506,1.1943491050464947,,946093000.0,1445486000.0,1445486000.0,523381000.0,5.31,5.31,8.385487649136692,2.761823604601619,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2012-06-30,40917605000.0,3203500000.0,3041943000.0,40917605000.0,9029996000.0,11968935000.0,,283393000.0,,,286127000.0,213318000.0,276487000.0,-122363000.0,1.2,177470486.0,1187919000.0,,,11968935000.0,,11.95,1.438,1.2,286127000.0,0.023623266278301785,0.005213354984975294,,,0.006992760206761857,0.013625788855632698,,1.3254640422875048,1.0531098051475651,,595165000.0,661984000.0,661984000.0,545369000.0,3.3699999999999997,3.3699999999999997,18.080399224150433,1.2138277019779269,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
2012-09-30,42023680000.0,3807750000.0,3924268000.0,42023680000.0,9190522000.0,11748153000.0,,749719000.0,,,976979000.0,550405000.0,424285000.0,110140000.0,3.1,177636549.0,2219788000.0,,,11748153000.0,,16.885,1.5269,3.1,976979000.0,0.05988832843226968,0.013097496459139229,,,0.023248297150558924,0.04665906510321212,,1.2782900688339573,0.9703083479517709,,-46730000.0,-31576000.0,-31576000.0,587567000.0,-0.20000000000000018,-0.20000000000000018,-372.05957055991894,-0.05374025430291354,0.55197525,115.3151,75.57,3.66837,52048.55,29.3508,2.3953,4.0386
