report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-09-30,16343000000.0,5230000000.0,2645000000.0,,12821000000.0,,2688000000.0,2072000000.0,,27000000.0,-476000000.0,,59000000.0,67000000.0,141000000.0,-8000000.0,0.0,2.1386,,,,,0.0021059199750409485,0.001652083460808909,0.013030888030888031,,,,-0.003861003861003861,,0.0,1.9773156899810964,,,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2013-12-31,15983000000.0,5112000000.0,2292000000.0,15983000000.0,12749000000.0,,2908000000.0,4310000000.0,-483000000.0,178000000.0,-687000000.0,0.31,407000000.0,147000000.0,279000000.0,260000000.0,0.0,,,,0.31,-204000000.0,0.013961879363087302,0.011136832884940249,0.041299303944315545,-0.11206496519721577,-0.03021960833385472,-0.037885324339163855,0.060324825986078884,-0.047331786542923436,0.0,2.230366492146597,,,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2014-03-31,16543000000.0,5370000000.0,2498000000.0,,13034000000.0,,3207000000.0,6388000000.0,,226000000.0,-686000000.0,,,244000000.0,421000000.0,,0.0,,,1.1413,,,0.01733926653368114,0.013661367345705132,0.03537883531621791,,,,,,0.0,2.1497197758206563,,,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2014-06-30,16489000000.0,5270000000.0,2264000000.0,,13243000000.0,,3145000000.0,-4196000000.0,,-192000000.0,1158000000.0,-0.31,,-79000000.0,-263000000.0,,0.0,2.3277,43.054,1.2126,-0.31,,-0.014498225477610814,-0.011644126387288496,0.04575786463298379,,,,,,0.0,2.32773851590106,8574000000.0,239000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2014-09-30,16123000000.0,4865000000.0,2293000000.0,,12841000000.0,,2735000000.0,2150000000.0,,65000000.0,37000000.0,,,114000000.0,131000000.0,,0.0,,34.0794,1.1077,,,0.0050619110661163464,0.004031507783911183,0.030232558139534883,,,,,,0.0,2.121674662014828,8652000000.0,277000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2014-12-31,15970000000.0,4052000000.0,2329000000.0,,12610000000.0,,1918000000.0,4430000000.0,,208000000.0,89000000.0,,,183000000.0,266000000.0,,0.0,,33.3814,1.0512,,,0.016494845360824743,0.013024420788979337,0.04695259593679458,,,,,,0.0,1.7398024903392013,8772000000.0,307000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2015-03-31,15686000000.0,4088000000.0,2273000000.0,,12369000000.0,,2027000000.0,6492000000.0,,231000000.0,107000000.0,,,268000000.0,398000000.0,,0.0,,37.9896,1.0899,,,0.01867572156196944,0.014726507713884993,0.0355822550831793,,,,,,0.0,1.7985041794984602,8876000000.0,312000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2015-06-30,15093000000.0,3975000000.0,2155000000.0,,11945000000.0,,1951000000.0,-4439000000.0,,-651000000.0,-99000000.0,,,-187000000.0,-265000000.0,,0.0,1.9024,,0.99,,,-0.05449979070740896,-0.043132578016298946,0.14665465194863708,,,,,,0.0,1.8445475638051043,8633000000.0,-147000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2015-09-30,14756000000.0,3889000000.0,2166000000.0,,11616000000.0,,1898000000.0,2014000000.0,,175000000.0,-91000000.0,,,63000000.0,121000000.0,,0.0,,,0.8748,,,0.015065426997245179,0.011859582542694497,0.08689175769612711,,,,,,0.0,1.7954755309325947,8497000000.0,-37000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2015-12-31,14875000000.0,3795000000.0,2096000000.0,,11792000000.0,,1883000000.0,4175000000.0,,238000000.0,-42000000.0,,,120000000.0,244000000.0,,0.0,,,0.9462,,,0.0201831750339213,0.016,0.0570059880239521,,,,,,0.0,1.810591603053435,8242000000.0,-7000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2016-03-31,15716000000.0,3905000000.0,2648000000.0,,11646000000.0,369000000.0,1972000000.0,6066000000.0,,89000000.0,-140000000.0,,,180000000.0,370000000.0,,369000000.0,,,0.9175,,,0.007642108878584922,0.005663018579791295,0.014671941971645236,,,,,,0.03168469860896445,1.4746978851963746,7816000000.0,-149000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2016-06-30,15483000000.0,3889000000.0,2442000000.0,,11564000000.0,369000000.0,1832000000.0,-3963000000.0,,-323000000.0,219000000.0,,,-107000000.0,-230000000.0,,369000000.0,1.5925,37.1324,0.8016,,,-0.027931511587685923,-0.02086159013111154,0.0815039111784002,,,,,,0.031909373919059146,1.5925470925470926,8292000000.0,179000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2016-09-30,15269000000.0,3328000000.0,2287000000.0,,11530000000.0,377000000.0,1499000000.0,1965000000.0,,-15000000.0,-1000000.0,,,49000000.0,120000000.0,,377000000.0,,,0.9916,,,-0.0013009540329575022,-0.0009823826052786692,-0.007633587786259542,,,,,,0.03269731136166522,1.455181460428509,8243000000.0,-11000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2016-12-31,14527000000.0,3591000000.0,2325000000.0,,10955000000.0,268000000.0,1564000000.0,4081000000.0,,-304000000.0,-33000000.0,,,108000000.0,240000000.0,,268000000.0,,,0.8377,,,-0.027749885896850752,-0.0209265505610243,-0.07449154618965939,,,,,,0.02446371519853948,1.544516129032258,8149000000.0,-553000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2017-03-31,14886000000.0,3762000000.0,2461000000.0,,11139000000.0,273000000.0,1850000000.0,6059000000.0,,-309000000.0,12000000.0,,219000000.0,168000000.0,349000000.0,51000000.0,273000000.0,,,0.9245,,,-0.02774037166711554,-0.020757758968158,-0.05099851460637069,,,,0.008417230566100017,,0.024508483705898195,1.5286468915075173,8142000000.0,-951000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2017-06-30,14552000000.0,3815000000.0,2452000000.0,,10789000000.0,276000000.0,2016000000.0,-3966000000.0,,-110000000.0,50000000.0,,275000000.0,-69000000.0,-260000000.0,206000000.0,276000000.0,1.5559,,0.9904,,,-0.010195569561590508,-0.007559098405717427,0.02773575390821987,,,,-0.05194150277357539,,0.025581610899990732,1.5558727569331159,8139000000.0,-738000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2017-09-30,14662000000.0,3768000000.0,2417000000.0,,10913000000.0,281000000.0,1877000000.0,2058000000.0,,68000000.0,54000000.0,,-4000000.0,62000000.0,97000000.0,-66000000.0,281000000.0,,,0.9501,,,0.006231100522312838,0.0046378393125085255,0.03304178814382896,,,,-0.03206997084548105,,0.0257491065701457,1.5589573851882499,8232000000.0,-655000000.0,,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2017-12-31,14359000000.0,3718000000.0,2270000000.0,,10860000000.0,187000000.0,1856000000.0,4238000000.0,,-15000000.0,289000000.0,,204000000.0,128000000.0,197000000.0,76000000.0,187000000.0,,,1.1628,,,-0.0013812154696132596,-0.0010446409917125147,-0.0035394053798961773,,,,0.01793298725814063,,0.01721915285451197,1.637885462555066,8389000000.0,-366000000.0,267000000.0,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2018-03-31,13372000000.0,3986000000.0,2467000000.0,,9695000000.0,184000000.0,2112000000.0,6331000000.0,,-1143000000.0,292000000.0,,465000000.0,200000000.0,297000000.0,265000000.0,184000000.0,,,1.0733,,,-0.11789582258896339,-0.08547711636254861,-0.18054019902069182,,,,0.04185752645711578,,0.01897885507993811,1.6157276043777868,8661000000.0,-1200000000.0,481000000.0,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2018-06-30,16346000000.0,4394000000.0,3295000000.0,,9291000000.0,1490000000.0,2034000000.0,-3603000000.0,,-424000000.0,-280000000.0,,92000000.0,-26000000.0,-119000000.0,66000000.0,1490000000.0,1.3335,,0.9852,,,-0.04563556129587773,-0.025939067661813288,0.1176797113516514,,,,-0.018318068276436304,,0.16037025078032505,1.333535660091047,9024000000.0,-1514000000.0,341000000.0,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2018-09-30,16288000000.0,4469000000.0,3545000000.0,,9261000000.0,1186000000.0,1886000000.0,2524000000.0,,101000000.0,50000000.0,,113000000.0,133000000.0,163000000.0,-20000000.0,1186000000.0,,,0.8163,,,0.010905949681459885,0.006200884086444008,0.04001584786053883,,,,-0.00792393026941363,,0.12806392398229133,1.2606488011283499,9490000000.0,-1481000000.0,387000000.0,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
2018-12-31,16227000000.0,4429000000.0,3712000000.0,,9264000000.0,936000000.0,1618000000.0,5151000000.0,,196000000.0,105000000.0,0.0,358000000.0,264000000.0,326000000.0,94000000.0,936000000.0,,,0.672,0.0,,0.021157167530224525,0.012078634374807419,0.03805086390992041,,,,0.0182488837119006,,0.10103626943005181,1.1931573275862069,10403000000.0,-1270000000.0,405000000.0,,,0.93809277,31.61,22.2,7.13302,9033.515,7.8484,2.0164,1.0475
