report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,50942000000.0,5557000000.0,7782000000.0,50942000000.0,,16601000000.0,,1215000000.0,3622000000.0,939000000.0,,214000000.0,1.36,410100000.0,896000000.0,414000000.0,16601000000.0,,11.0863,1.2875,1.36,1353000000.0,,,,0.259249033683048,0.01843272741549213,0.05656285765917716,0.3735505245720596,,0.7140837830891802,,,,,,,,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2010-06-30,51209000000.0,5299000000.0,7126000000.0,51209000000.0,,17171000000.0,,829000000.0,7213000000.0,1648000000.0,,291000000.0,2.37,410700000.0,1748000000.0,800000000.0,17171000000.0,,10.9307,1.3218,2.37,2448000000.0,,,,0.22847636212394287,0.03218184303540393,0.09597577310581795,0.33938721752391515,,0.743614931237721,,,,,,,,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2010-09-30,52734000000.0,5776000000.0,7187000000.0,52734000000.0,,17680000000.0,,791000000.0,11904000000.0,2773000000.0,1694000000.0,532000000.0,4.11,411600000.0,2769000000.0,1330000000.0,17680000000.0,,11.1449,1.4628,4.11,4103000000.0,,0.03212348769294952,0.14230510752688172,0.23294690860215053,0.05258467023172905,0.15684389140271493,0.34467405913978494,,0.8036732990121052,,,,,,,,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2010-12-31,52994000000.0,5258000000.0,6904000000.0,52994000000.0,,18013000000.0,,302000000.0,-7422000000.0,-2117000000.0,263000000.0,-505000000.0,-3.1000000000000005,-819400000.0,-1579000000.0,-737000000.0,18013000000.0,0.7616,11.1158,1.4202,-3.1000000000000005,-2854000000.0,,0.004962825980299656,-0.035435192670439236,0.28523309081110215,-0.039947918632298,-0.11752623105534891,0.38453247103206684,,0.7615874855156431,15317000000.0,,3243000000.0,5050000000.0,4.74,4.74,3.566930693069307,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2011-03-31,53257000000.0,4519000000.0,6739000000.0,53257000000.0,,18288000000.0,,425000000.0,3134000000.0,428000000.0,268000000.0,-32000000.0,0.64,418400000.0,983000000.0,331000000.0,18288000000.0,,13.9355,1.5684,0.64,759000000.0,,0.00503220233959855,0.08551372048500319,0.13656668793873644,0.00803650224383649,0.023403324584426947,0.2421825143586471,,0.6705742691794034,14829000000.0,,2732000000.0,4456000000.0,4.02,4.02,4.1041292639138245,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2011-06-30,54557000000.0,4813000000.0,6389000000.0,54557000000.0,,19235000000.0,,287000000.0,,1335000000.0,848000000.0,115000000.0,2.03,418900000.0,1991000000.0,740000000.0,19235000000.0,,13.2466,1.5968,2.03,2075000000.0,,0.015543376651942005,,,0.024469820554649267,0.06940473095918898,,,0.7533260291125372,,3073000000.0,2419000000.0,4083000000.0,3.6799999999999997,3.6799999999999997,4.710996816066618,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2011-09-30,56585000000.0,6252000000.0,7419000000.0,56585000000.0,,20039000000.0,,640000000.0,,2246000000.0,1256000000.0,273000000.0,3.0,419100000.0,3117000000.0,1236000000.0,20039000000.0,,15.0266,1.533,3.0,3482000000.0,,0.022196695237253688,,,0.03969249801184059,0.11208144118968012,,,0.8427011726647796,,2635000000.0,1892000000.0,3462000000.0,2.5699999999999994,2.5699999999999994,5.788272674754477,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2011-12-31,57188000000.0,4872000000.0,6719000000.0,57188000000.0,,20810000000.0,,377000000.0,,-631000000.0,-449000000.0,173000000.0,-1.08,-837400000.0,-2017000000.0,-740000000.0,20810000000.0,0.7251,12.9529,1.6237,-1.08,-1371000000.0,,-0.007851297474994754,,,-0.011033783311184165,-0.03032196059586737,,,0.7251079029617502,,1923000000.0,3378000000.0,4945000000.0,4.59,4.59,4.208291203235592,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2012-03-31,59207000000.0,5094000000.0,8005000000.0,59207000000.0,,20582000000.0,191000000.0,275000000.0,,843000000.0,461000000.0,157000000.0,1.11,414700000.0,835000000.0,320000000.0,20773000000.0,,12.1871,1.6554,1.11,1163000000.0,,0.007786241491715507,,,0.014238181296130525,0.04058152409377557,,,0.6363522798251093,,2116000000.0,3793000000.0,5349000000.0,5.06,5.06,3.8835296317068613,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2012-06-30,60390000000.0,4854000000.0,7643000000.0,60390000000.0,,21580000000.0,188000000.0,295000000.0,,1866000000.0,1068000000.0,399000000.0,2.57,416000000.0,1928000000.0,655000000.0,21768000000.0,,13.4103,1.8784,2.57,2521000000.0,,0.017685047193243916,,,0.030899155489319423,0.08572216097023153,,,0.6350909328797593,,2336000000.0,4324000000.0,5795000000.0,5.6,5.6,3.756341673856773,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2012-09-30,62049000000.0,4437000000.0,7875000000.0,62049000000.0,,22714000000.0,521000000.0,246000000.0,,2615000000.0,1482000000.0,553000000.0,3.55,418000000.0,3157000000.0,1121000000.0,23235000000.0,,13.8148,2.0133,3.55,3736000000.0,,0.023884349465744813,,,0.042144111911553775,0.11254572842694212,,,0.5634285714285714,,2562000000.0,4693000000.0,6049000000.0,6.15,6.15,3.8411307654157714,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2012-12-31,64439000000.0,5237000000.0,8879000000.0,64439000000.0,,23177000000.0,200000000.0,329000000.0,,-2048000000.0,-1100000000.0,-417000000.0,-2.67,-829500000.0,-1928000000.0,-578000000.0,23377000000.0,0.5898,15.3307,2.054,-2.67,-2626000000.0,,-0.01707040767237232,,,-0.03178199537547138,-0.08760747743508576,,,0.5898186732740174,,1911000000.0,3276000000.0,4794000000.0,4.5600000000000005,4.5600000000000005,4.8763037129745515,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2013-03-31,63843000000.0,4045000000.0,8776000000.0,63843000000.0,,22866000000.0,875000000.0,215000000.0,,434000000.0,272000000.0,168000000.0,0.64,423700000.0,1082000000.0,419000000.0,23741000000.0,,19.1063,2.3229,0.64,853000000.0,,0.004260451419889416,,,0.006797926162617671,0.018280611600185334,,,0.46091613491340017,,1722000000.0,2867000000.0,4484000000.0,4.09,4.09,5.294603033006244,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2013-06-30,65217000000.0,4735000000.0,8867000000.0,65217000000.0,,23514000000.0,375000000.0,411000000.0,,1415000000.0,883000000.0,379000000.0,2.08,424300000.0,2250000000.0,918000000.0,23889000000.0,,19.7397,2.3776,2.08,2333000000.0,,0.013539414569820753,,,0.02169679684744775,0.05923228264054586,,,0.5340024811097327,,1537000000.0,2416000000.0,4296000000.0,3.6000000000000005,3.6000000000000005,5.560754189944134,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
2013-09-30,67166000000.0,5472000000.0,9213000000.0,67166000000.0,,23862000000.0,0.0,558000000.0,,2601000000.0,1581000000.0,677000000.0,3.72,424800000.0,3390000000.0,1523000000.0,23862000000.0,,17.1844,2.32,3.72,4124000000.0,,0.023538695173153084,,,0.03872495012357443,0.10900176012069399,,,0.5939433409312928,,1636000000.0,2402000000.0,4684000000.0,3.770000000000001,3.770000000000001,5.094363791631085,0.7474789,95.91,61.72,10.53351,194079.89,28.3992,3.0617,7.0798
