report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_ps_ttm
2010-04-02,11232000000.0,4351000000.0,3771000000.0,6684000000.0,4548000000.0,,3029000000.0,5985000000.0,4880000000.0,933000000.0,,129000000.0,,0.87,,1693000000.0,248000000.0,-733000000.0,1445000000.0,0.0,1.1538,19.0042,2.2672,0.87,200000000.0,,,,0.8153717627401837,0.15588972431077694,0.08306623931623931,0.20514511873350924,0.24143692564745195,0.03341687552213868,0.0,1.1538053566693185,,,,,,,,,,,,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2010-07-02,10866000000.0,3755000000.0,4530000000.0,6328000000.0,4538000000.0,,2726000000.0,1433000000.0,1168000000.0,194000000.0,,33000000.0,,0.2,,335000000.0,52000000.0,-167000000.0,283000000.0,0.0,,13.9432,1.8658,0.2,27000000.0,,,,0.8150732728541521,0.13538032100488487,0.01785385606478925,0.04275011018069634,0.19748778785764132,0.01884159106769016,0.0,0.8289183222958058,,,,,,,,,,,,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2010-10-01,11819000000.0,3443000000.0,4234000000.0,7230000000.0,4505000000.0,,2256000000.0,2913000000.0,2402000000.0,412000000.0,297000000.0,69000000.0,,0.37,,645000000.0,116000000.0,323000000.0,529000000.0,0.0,,15.5446,2.0287,0.37,735000000.0,0.06592674805771365,0.025129029528724936,0.101956745623069,0.8245794713353931,0.1414349467902506,0.03485912513749048,0.09145394006659267,0.18159972536903535,0.25231719876416064,0.0,0.8131790269248937,,,,,,,,,,,,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2010-12-31,12163000000.0,3893000000.0,4584000000.0,7622000000.0,4455000000.0,,2445000000.0,4517000000.0,3742000000.0,641000000.0,429000000.0,106000000.0,,0.54,,1105000000.0,185000000.0,486000000.0,920000000.0,0.0,,21.1982,2.1486,0.54,1127000000.0,0.0962962962962963,0.03527090355997698,0.09497454062430817,0.8284259464246181,0.14190834624750942,0.05270081394392831,0.14388327721661054,0.2036750055346469,0.24950188177994245,0.0,0.8492582897033158,14848000000.0,,2180000000.0,12192000000.0,3177000000.0,2089000000.0,337000000.0,1.98,1.98,0.0,6.468842729970326,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2011-04-01,12719000000.0,4486000000.0,4893000000.0,8114000000.0,4528000000.0,,2950000000.0,-2673000000.0,-2167000000.0,-367000000.0,-129000000.0,-65000000.0,,-0.3500000000000001,,-291000000.0,-85000000.0,5000000.0,-376000000.0,0.0,0.9168,23.6006,2.2762,-0.3500000000000001,-362000000.0,-0.02848939929328622,-0.010142306785124617,0.04826038159371493,0.8106995884773662,0.13729891507669287,-0.028854469691013445,-0.08105123674911661,0.14066591844369622,0.13542835765057987,0.0,0.9168199468628653,6190000000.0,,880000000.0,5145000000.0,1356000000.0,1527000000.0,143000000.0,0.7599999999999998,0.7599999999999998,0.0,6.153846153846154,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2011-07-01,12023000000.0,3484000000.0,4051000000.0,7379000000.0,4564000000.0,1999000000.0,2290000000.0,1653000000.0,1394000000.0,302000000.0,191000000.0,32000000.0,,0.25,,503000000.0,51000000.0,161000000.0,452000000.0,1999000000.0,,23.8953,2.3373,0.25,463000000.0,0.041849255039439086,0.015886218082009483,0.11554748941318814,0.8433151845130067,0.18269812462189958,0.025118522831240123,0.04601554167301539,0.2734422262552934,0.28009679370840895,0.43799298860648556,0.8600345593680573,6410000000.0,788000000.0,988000000.0,5371000000.0,1525000000.0,1963000000.0,142000000.0,0.8099999999999998,0.8099999999999998,1.0183392766174224,6.957746478873239,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2011-09-30,11835000000.0,3433000000.0,3895000000.0,7197000000.0,4553000000.0,2012000000.0,2215000000.0,3334000000.0,2810000000.0,587000000.0,373000000.0,60000000.0,,0.49,,811000000.0,124000000.0,325000000.0,687000000.0,2012000000.0,,17.9473,1.827,0.49,912000000.0,0.08192400614979134,0.031516687790452046,0.11187762447510498,0.8428314337132573,0.1760647870425915,0.04959864807773553,0.08941355674028942,0.20605878824235152,0.2735452909418116,0.44190643531737317,0.8813863928112965,6831000000.0,864000000.0,1163000000.0,5779000000.0,1683000000.0,2140000000.0,133000000.0,0.9299999999999999,0.9299999999999999,0.9401869158878504,8.74436090225564,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2011-12-30,12183000000.0,3886000000.0,4169000000.0,7448000000.0,4649000000.0,2025000000.0,2327000000.0,5049000000.0,4254000000.0,887000000.0,613000000.0,87000000.0,,0.82,,1214000000.0,199000000.0,487000000.0,1015000000.0,2025000000.0,,14.7716,1.7162,0.82,1374000000.0,0.13185631318563132,0.050316014118033325,0.12141018023370964,0.8425430778371955,0.1756783521489404,0.07280636953131413,0.13290380581360503,0.20102990691225986,0.27213309566250743,0.43557754355775435,0.9321180139122092,7363000000.0,1048000000.0,1409000000.0,6291000000.0,1778000000.0,2387000000.0,114000000.0,1.2099999999999997,1.2099999999999997,0.8483452031839128,12.359649122807017,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2012-03-30,13020000000.0,4633000000.0,4505000000.0,7848000000.0,5094000000.0,2039000000.0,3162000000.0,-3306000000.0,-2810000000.0,-697000000.0,-5000000.0,-64000000.0,,0.010000000000000009,,-627000000.0,-88000000.0,-317000000.0,-715000000.0,2039000000.0,1.0284,11.6387,2.0268,0.010000000000000009,-1014000000.0,-0.0009815469179426776,-0.00038402457757296467,0.0015124016938898972,0.8499697519661222,0.21082879612825167,-0.05353302611367128,-0.09771484648815365,0.2162734422262553,0.30671506352087113,0.40027483313702394,1.0284128745837957,6730000000.0,1172000000.0,1079000000.0,5648000000.0,1439000000.0,1735000000.0,115000000.0,1.5699999999999998,1.5699999999999998,1.1752161383285302,9.382608695652173,0.7421,30.91,20.12,5.1087,14749.03,5.23572
2012-06-29,13556000000.0,5219000000.0,5114000000.0,8474000000.0,5002000000.0,2093000000.0,4082000000.0,1668000000.0,1384000000.0,269000000.0,172000000.0,29000000.0,65000000.0,0.24,,340000000.0,79000000.0,162000000.0,261000000.0,2093000000.0,,9.2288,1.5612,0.24,431000000.0,0.03438624550179928,0.012688108586603719,0.10311750599520383,0.829736211031175,0.16127098321342925,0.019843611684862792,0.03791402396053559,0.1564748201438849,0.25839328537170264,0.4184326269492203,1.0205318732890105,6745000000.0,1153000000.0,1046000000.0,5638000000.0,1248000000.0,1703000000.0,112000000.0,1.5599999999999998,1.5599999999999998,1.2290076335877862,9.339285714285714,0.7421,30.91,20.12,5.1087,14749.03,5.23572
