report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,eps,ebitda,roe,roa,roi,roic,debt_equity,current_ratio,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual
2010-06-30,10596000000.0,2359000000.0,1563000000.0,7686000000.0,2910000000.0,4460000000.0,146000000.0,282000000.0,,102000000.0,-46000000.0,180000000.0,-63000000.0,-0.38,121.0,368000000.0,,172000000.0,,4606000000.0,,-0.38,274000000.0,-0.015807560137457044,-0.004341260853152133,0.009626274065685165,0.013571048430015966,1.5828178694158075,1.509277031349968,,,,,,,,,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2010-09-30,11121000000.0,2978000000.0,2124000000.0,8231000000.0,2890000000.0,4461000000.0,146000000.0,491000000.0,,152000000.0,-70000000.0,272000000.0,-80000000.0,-0.58,121000000.0,670000000.0,,273000000.0,,4607000000.0,,-0.58,425000000.0,-0.02422145328719723,-0.006294397985792645,0.013667835626292599,0.020274776577297586,1.5941176470588236,1.4020715630885123,,,,,,,,,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2010-12-31,10013000000.0,2244000000.0,1565000000.0,7267000000.0,2746000000.0,4426000000.0,148000000.0,,,-11000000.0,-234000000.0,363000000.0,197000000.0,-1.95,121000000.0,423000000.0,,408000000.0,,4574000000.0,,-1.95,397000000.0,-0.0852148579752367,-0.023369619494656945,-0.0010985718565864376,-0.0015027322404371586,1.6656955571740715,1.4338658146964856,,,,,,,,,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2011-03-31,9819000000.0,2930000000.0,2492000000.0,7148000000.0,2671000000.0,3421000000.0,1153000000.0,328000000.0,,-49000000.0,,89000000.0,-60000000.0,-0.64,121000000.0,83000000.0,,130000000.0,,4574000000.0,,-0.64,81000000.0,,,-0.004990324880334046,-0.00676328502415459,1.7124672407338075,1.1757624398073836,,194000000.0,,1177000000.0,904000000.0,-3.55,-3.55,3.8861512319456244,0.21460176991150443,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2011-06-30,9863000000.0,3017000000.0,2299000000.0,7304000000.0,2559000000.0,3852000000.0,1008000000.0,399000000.0,,-155000000.0,,178000000.0,-136000000.0,-1.58,122000000.0,-86000000.0,,209000000.0,,4860000000.0,,-1.58,54000000.0,,,-0.015715299604582785,-0.02089230354495215,1.899179366940211,1.3123096998695085,,-63000000.0,,957000000.0,902000000.0,-4.75,-4.75,5.078369905956113,-0.06984478935698447,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2011-09-30,11106000000.0,3580000000.0,6035000000.0,8619000000.0,2487000000.0,1656000000.0,3357000000.0,881000000.0,,-150000000.0,-268000000.0,285000000.0,-184000000.0,-2.2,122000000.0,50000000.0,,291000000.0,,5013000000.0,,-2.2,141000000.0,-0.10776035383996783,-0.024131100306140824,-0.01350621285791464,-0.02,2.0156815440289506,0.5932062966031483,,-365000000.0,,673000000.0,915000000.0,-6.37,-6.37,7.448736998514116,-0.3989071038251366,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2011-12-31,4127000000.0,672000000.0,159000000.0,3015000000.0,1112000000.0,584000000.0,4000000.0,396000000.0,,118000000.0,-1377000000.0,-195000000.0,-252000000.0,-9.06,-243000000.0,-67000000.0,,-284000000.0,,588000000.0,,-9.06,-166000000.0,-1.2383093525179856,-0.3336564090138115,0.028592197722316453,0.06941176470588235,0.5287769784172662,4.226415094339623,,-236000000.0,,110000000.0,357000000.0,-13.48,-13.48,5.345454545454546,-0.6610644257703081,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2012-03-31,4112000000.0,742000000.0,200000000.0,3053000000.0,1059000000.0,582000000.0,4000000.0,410000000.0,,-21000000.0,,37000000.0,,-0.47,123000000.0,,,,,586000000.0,,-0.47,-21000000.0,,,-0.005107003891050584,-0.01276595744680851,0.5533522190745986,3.71,,-208000000.0,,8000000.0,305000000.0,-13.31,-13.31,73.25,-0.6819672131147541,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2012-09-30,5971000000.0,2231000000.0,867000000.0,7121000000.0,-1150000000.0,1661000000.0,16000000.0,677000000.0,345000000.0,-27000000.0,,121000000.0,-9000000.0,,,-37000000.0,,118000000.0,,1677000000.0,,,91000000.0,,,-0.004521855635571931,-0.051233396584440226,-1.4582608695652175,2.5732410611303345,,-80000000.0,,45000000.0,248000000.0,,,37.266666666666666,-0.3225806451612903,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2012-12-31,,,,,,1386000000.0,,,,,,,9000000.0,,,,,,,1386000000.0,,,,,,,,,,,,,,,,,,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2013-12-31,5291000000.0,1685000000.0,721000000.0,3084000000.0,2210000000.0,1979000000.0,13000000.0,843000000.0,,,-356000000.0,,,,,,,,,1992000000.0,,,,-0.16108597285067874,-0.06728406728406729,,,0.9013574660633484,2.337031900138696,,,,,,,,,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2020-09-30,381472000.0,379840000.0,4678000.0,14627000.0,366845000.0,9936000.0,,379606000.0,,-30047000.0,-30788000.0,,,,,-26472000.0,438000.0,483000.0,-26910000.0,9936000.0,,,-29564000.0,-0.08392645395194155,-0.0807084137236809,-0.07876593826021307,-0.07974659019430386,0.02708500865488149,81.19709277469003,,,,,,,,,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2020-12-31,353334000.0,349087000.0,10967000.0,10967000.0,342367000.0,,,300852000.0,,-58647000.0,-59437000.0,,,-4.13,,-46508000.0,1161000.0,700000.0,-47669000.0,0.0,31.7364,-4.13,-57947000.0,-0.1736061010553003,-0.1682176071365903,-0.1659817622985617,-0.17129863567458312,0.0,31.83067383970092,,,,,,,,,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2021-03-31,491710000.0,487068000.0,,13450000.0,478260000.0,,,310949000.0,,-25134000.0,-24968000.0,,,,,-18393000.0,9000.0,238000.0,-18402000.0,0.0,31.7364,,-24896000.0,-0.05220591310166019,-0.05077789754123365,-0.05111549490553375,-0.05255300464182662,0.0,,-471193000.0,,,,,,,,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2021-06-30,467147000.0,461297000.0,,14551000.0,452596000.0,,,258385000.0,,-55298000.0,-54923000.0,,,,,-64543000.0,747000.0,500000.0,-65290000.0,0.0,,,-54798000.0,-0.12135105038489072,-0.11757112857408909,-0.11837387374852028,-0.1221796038851426,0.0,,-170116000.0,-169126000.0,-158271000.0,-167205000.0,,,,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2021-09-30,466878000.0,424655000.0,23351000.0,52762000.0,414116000.0,,,229042000.0,,-98065000.0,-97505000.0,,,,,-91495000.0,1628000.0,700000.0,-93123000.0,0.0,,,-97365000.0,-0.23545335123491967,-0.2088447088961142,-0.21004416571352688,-0.23680562934057123,0.0,18.185730803819965,-236833000.0,-237144000.0,-224484000.0,-235006000.0,,,,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2021-12-31,425663000.0,382392000.0,28723000.0,57466000.0,368197000.0,,,200825000.0,,28472000.0,28105000.0,,,,,54868000.0,1234000.0,-338000.0,53634000.0,0.0,13.324,,28134000.0,0.07633142040809675,0.06602641056422569,0.06688859496832,0.07732816943103828,0.0,13.313094036138287,-149291000.0,-150025000.0,-123181000.0,-148925000.0,,,,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2022-03-31,387762000.0,344450000.0,23237000.0,51303000.0,336459000.0,,,147965000.0,,-35783000.0,-35583000.0,,,-0.69,,-50739000.0,1401000.0,400000.0,-52140000.0,0.0,13.324,-0.69,-35383000.0,-0.10575731366971905,-0.09176505175855293,-0.09228083205677709,-0.10635173973649092,0.0,14.82334208374575,-159906000.0,-160674000.0,-156919000.0,-159412000.0,,,,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2022-06-30,340026000.0,297934000.0,25622000.0,52967000.0,287059000.0,,,135980000.0,,-88537000.0,-87887000.0,,,-1.7,,-81648000.0,1662000.0,900000.0,-83310000.0,0.0,,-1.7,-87637000.0,-0.30616354129290496,-0.2584714110097463,-0.2603830295330357,-0.30842788416318595,0.0,11.62805401607993,-192870000.0,-193913000.0,-174939000.0,-192251000.0,,,,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2022-09-30,299679000.0,258234000.0,23321000.0,49935000.0,249744000.0,,,144901000.0,,-130817000.0,-129272000.0,,,-2.0,,-124453000.0,2548000.0,1300000.0,-127001000.0,0.0,,-2.0,-129517000.0,-0.5176180408738549,-0.4313682306734873,-0.436523747076038,-0.523804375680697,0.0,11.073024312851079,-224637000.0,-226665000.0,-208817000.0,-224403000.0,,,,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2022-12-31,306325000.0,265594000.0,28088000.0,53961000.0,252364000.0,,,172147000.0,,84175000.0,84643000.0,,,1.3899999999999997,,103195000.0,-2544000.0,-900000.0,100651000.0,0.0,9.452,1.3899999999999997,83275000.0,0.33540045331346785,0.2763176364971844,0.27478984738431406,0.3335459891268168,0.0,9.455781828538878,-168099000.0,-170962000.0,-161800000.0,-169262000.0,,-3.0,-3.0,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2023-03-31,288642000.0,249214000.0,21587000.0,46707000.0,241935000.0,,,181114000.0,,-45464000.0,-44187000.0,,,0.0,,-46908000.0,230000.0,400000.0,-47138000.0,0.0,9.452,0.0,-45064000.0,-0.18263996527993057,-0.15308582950506164,-0.15750999508041102,-0.18791824250315167,0.0,11.544633344142309,-176703000.0,-180643000.0,-156798000.0,-178943000.0,,-2.31,-2.31,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2023-06-30,251421000.0,213173000.0,20221000.0,44544000.0,206877000.0,,,167608000.0,,-112200000.0,-109089000.0,,,-1.0,,-102550000.0,480000.0,800000.0,-103030000.0,0.0,,-1.0,-111400000.0,-0.5273133311097898,-0.4338897705442266,-0.44626343861491286,-0.5423512521933322,0.0,10.542159141486573,-197905000.0,-204306000.0,-176518000.0,-202706000.0,,-1.61,-1.61,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2023-09-30,205244000.0,168216000.0,29692000.0,53206000.0,152038000.0,,,130279000.0,,-174474000.0,-169299000.0,,,-2.0,,-153152000.0,647000.0,1300000.0,-153799000.0,0.0,,-2.0,-173174000.0,-1.113530827819361,-0.824866987585508,-0.8500808793436105,-1.1475683710651285,0.0,5.6653644079213255,-237932000.0,-247963000.0,-203316000.0,-246363000.0,,-1.61,-1.61,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2024-06-30,825884000.0,792320000.0,29753000.0,50691000.0,775193000.0,,,608196000.0,,-141119000.0,-130751000.0,,,-1.0,,-133405000.0,1048000.0,800000.0,-134453000.0,0.0,,-1.0,-140319000.0,-0.16866896372903264,-0.15831642216098143,-0.1708702432787171,-0.18204369750500843,0.0,26.62991967196585,-453326000.0,-473257000.0,-438420000.0,-469957000.0,,-4.0,-4.0,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2024-09-30,768844000.0,736390000.0,43260000.0,63304000.0,705540000.0,,,532163000.0,,-246778000.0,-227876000.0,,,-2.0,,-208034000.0,1301000.0,1200000.0,-209335000.0,0.0,,-2.0,-245578000.0,-0.3229809791082008,-0.29638782379780554,-0.3209727851163565,-0.34977180599257307,0.0,17.022422561257514,-637015000.0,-674571000.0,-600617000.0,-670471000.0,,-6.0,-6.0,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2024-12-31,691234000.0,659279000.0,42258000.0,61396000.0,629838000.0,,,435449000.0,,-343886000.0,-317418000.0,,,-3.0,,-292369000.0,2376000.0,1700000.0,-294745000.0,0.0,15.6013,-3.0,-342186000.0,-0.5039676869290198,-0.45920484235439807,-0.49749578290419744,-0.5459911913857214,0.0,15.601282597378011,-845344000.0,-906257000.0,-792332000.0,-901257000.0,,-8.0,-8.0,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2025-03-31,721074000.0,689503000.0,33882000.0,52101000.0,668973000.0,,,472255000.0,,-122372000.0,-115361000.0,,,-1.0,,-105893000.0,981000.0,500000.0,-106874000.0,0.0,15.6013,-1.0,-121872000.0,-0.17244492677581905,-0.15998496686886504,-0.16970796339904087,-0.18292517037309428,0.0,20.350126911044214,-791406000.0,-854155000.0,-745407000.0,-849955000.0,,-7.0,-7.0,-0.0,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2025-06-30,728992000.0,697950000.0,41472000.0,157547000.0,571445000.0,98813000.0,,485040000.0,,-238163000.0,-226219000.0,,,-2.0,,-200596000.0,1041000.0,1000000.0,-201637000.0,98813000.0,,-2.0,-237163000.0,-0.39587186868377533,-0.31031753434879944,-0.3267018019402133,-0.3553303354827544,0.17291777861386484,16.829427083333332,-886874000.0,-951199000.0,-812591000.0,-946799000.0,,-8.0,-8.0,-0.10436534047881335,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2025-09-30,867059000.0,806263000.0,59849000.0,175276000.0,691783000.0,99147000.0,,573610000.0,,-352055000.0,-334259000.0,,,-2.0,,-291375000.0,1436000.0,1500000.0,-292811000.0,99147000.0,,-2.0,-350555000.0,-0.48318475591334276,-0.3855089446046924,-0.4060334994504411,-0.4451152440797542,0.1433209546924397,13.471620244281441,-993257000.0,-1056476000.0,-896067000.0,-1051776000.0,,-8.0,-8.0,-0.09426626962395035,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
2025-12-31,1186958000.0,1126587000.0,50625000.0,214829000.0,972129000.0,148921000.0,,893369000.0,,244406000.0,229625000.0,,,2.0,,194657000.0,-1538000.0,-1000000.0,193119000.0,148921000.0,22.2536,2.0,243406000.0,0.23620836329334893,0.19345671877185208,0.20590956040567568,0.21801525355693324,0.15319057450194368,22.25357037037037,-446214000.0,-468184000.0,-408203000.0,-466184000.0,,-3.0,-3.0,-0.3194468278619601,,1.0967529,25.0,8.06,1.68822,2873.167,3.2556
