report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2019-03-31,130.0,,,34.0,96.0,,130.0,,,,-34.0,,,-0.0026,-34.0,,,,0.0,,,,-0.0026,,-0.3541666666666667,-0.26153846153846155,,,,,,,,0.0,,,,,,,,,,,,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2019-06-30,17165000000.0,5210100000.0,4541800000.0,11490300000.0,5609000000.0,788800000.0,601600000.0,9458200000.0,1799100000.0,791700000.0,430200000.0,207900000.0,171500000.0,0.0,776100000.0,332200000.0,453000000.0,443900000.0,788800000.0,1.1471,43.1967,1.9643,0.0,1244700000.0,0.07669816366553753,0.02506262743955724,0.045484341629485524,0.19021589731661415,0.08370514474212852,0.04612292455578212,0.12374566257150896,0.04693282019834641,0.13160009304095915,0.14063112854341236,1.1471443040204323,,,,,,,,,,,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2019-09-30,16730700000.0,4562200000.0,3839600000.0,11239300000.0,5424200000.0,312800000.0,480200000.0,3140700000.0,546700000.0,140600000.0,66000000.0,59700000.0,21800000.0,0.04,-89400000.0,,184300000.0,,312800000.0,,39.5822,1.523,0.04,324900000.0,0.012167692931676561,0.003944843909698937,0.02101442353615436,0.17406947495781194,0.04476709013914096,0.0084037129349041,0.02450758236011853,,0.10344827586206896,0.05766749013679437,1.188196687154912,,,,,,,,,,,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2019-12-31,16832600000.0,4687600000.0,3767400000.0,11429700000.0,5339700000.0,353000000.0,673800000.0,6183800000.0,1164000000.0,412900000.0,251600000.0,112000000.0,66900000.0,0.155,342000000.0,,331800000.0,,353000000.0,,39.4836,1.5827,0.155,744700000.0,0.04711875198981216,0.014947185817996032,0.04068695624049937,0.18823377211423398,0.0667712409845079,0.024529781495431485,0.07253148769476699,,0.12042756880882305,0.06610858287918797,1.244253331209853,,747799966.0,,,,,0.19240000000000002,0.19240000000000002,,,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2020-03-31,16421000000.0,4502200000.0,3651900000.0,11618200000.0,4739600000.0,310000000.0,537800000.0,9324800000.0,1816000000.0,684100000.0,433100000.0,157800000.0,123000000.0,0.269,470300000.0,,499300000.0,,310000000.0,,25.3551,1.092,0.269,1183400000.0,0.09137901932652545,0.026374764021679556,0.04644603637611531,0.19474948524365135,0.07336350377487989,0.04166006942329943,0.1354760773130545,,0.1269088881262869,0.06540636340619461,1.2328377009228073,28107500000.0,1180900000.0,2029300000.0,5325800000.0,3497700000.0,537400000.0,0.464,0.464,0.08862967092660891,3.7761443989579457,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2020-06-30,16442100000.0,4534700000.0,3973600000.0,11755000000.0,4625900000.0,195200000.0,742600000.0,-6181800000.0,-991200000.0,-243600000.0,-138500000.0,-122600000.0,-24800000.0,-0.08200000000000002,661300000.0,,-363800000.0,,195200000.0,1.1412,26.2578,1.2894,-0.08200000000000002,-607400000.0,-0.029940119760479042,-0.008423498214948212,0.022404477660228413,0.16034164806367077,0.03940599825293604,-0.014815625741237433,-0.050527887826429654,,0.09825617134168042,0.042197194059534364,1.1412069659754378,12467500000.0,612200000.0,994000000.0,2535500000.0,1645600000.0,206900000.0,0.382,0.382,0.11861934856587263,4.804253262445626,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2020-09-30,16465000000.0,4612000000.0,3626000000.0,11721000000.0,4687000000.0,225000000.0,757000000.0,3097000000.0,654000000.0,276000000.0,198000000.0,40000000.0,61000000.0,0.126,-110000000.0,,145000000.0,,225000000.0,,23.289,1.395,0.126,421000000.0,0.0422445060806486,0.012025508654722138,0.06393283823054569,0.21117210203422668,0.08911850177591217,0.016762830245976315,0.05618892508143322,,0.13593800452050372,0.04800512054619159,1.2719249862107005,12423800000.0,744200000.0,1129400000.0,2642800000.0,1741700000.0,187200000.0,0.468,0.468,0.12918413044726418,6.0331196581196584,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2020-12-31,16718000000.0,4713000000.0,3678000000.0,11870000000.0,4792000000.0,40000000.0,755000000.0,6200000000.0,1305000000.0,583000000.0,417000000.0,77000000.0,116000000.0,0.265,442000000.0,,287000000.0,,40000000.0,,23.741,1.4788,0.265,870000000.0,0.08702003338898164,0.02494317502093552,0.06725806451612903,0.21048387096774193,0.09403225806451612,0.03487259241536069,0.12065397350993377,,0.1403225806451613,0.008347245409015025,1.2814029363784665,12440000000.0,909600000.0,1299500000.0,2783800000.0,1867000000.0,152200000.0,0.5780000000000001,0.5780000000000001,0.021424745581146223,8.538107752956636,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2021-03-31,16592000000.0,4770000000.0,3670000000.0,11887000000.0,4647000000.0,94000000.0,690000000.0,9407000000.0,1987000000.0,956000000.0,684000000.0,113000000.0,187000000.0,0.438,617000000.0,,426000000.0,,94000000.0,,21.1376,1.4537,0.438,1382000000.0,0.14719173660426083,0.041224686595949855,0.07271181035399171,0.21122568300201977,0.10162644838949718,0.05761812921890067,0.20164522252689307,,0.14691187413628148,0.02022810415321713,1.2997275204359673,12522200000.0,1160500000.0,1571400000.0,2954800000.0,2065600000.0,107400000.0,0.747,0.747,0.045507358636715727,14.631284916201118,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2021-06-30,17188000000.0,5266000000.0,4345000000.0,12367000000.0,4764000000.0,98000000.0,850000000.0,-5843000000.0,-1214000000.0,-494000000.0,-360000000.0,-77000000.0,-103000000.0,-0.22699999999999998,512000000.0,,-284000000.0,,98000000.0,1.212,18.8167,1.3738,-0.22699999999999998,-778000000.0,-0.07556675062972293,-0.02094484524086572,0.061612185521136405,0.20776998117405443,0.08454561013178162,-0.028740982080521293,-0.10160427807486631,,0.133150778709567,0.020570948782535684,1.2119677790563868,12861000000.0,939000000.0,1321000000.0,2732000000.0,1895000000.0,153000000.0,0.602,0.602,0.051715039577836415,8.633986928104575,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2021-09-30,17044000000.0,5279000000.0,4017000000.0,12339000000.0,4650000000.0,63000000.0,633000000.0,3420000000.0,650000000.0,296000000.0,202000000.0,40000000.0,63000000.0,0.131,-112000000.0,,177000000.0,,63000000.0,,18.8665,1.3494,0.131,473000000.0,0.043440860215053764,0.011851678009856842,0.05906432748538012,0.19005847953216373,0.08654970760233918,0.0173668153015724,0.06280500742626777,,0.13830409356725146,0.013548387096774193,1.3141647996016927,13184000000.0,943000000.0,1341000000.0,2728000000.0,1947000000.0,153000000.0,0.607,0.607,0.032357473035439135,8.764705882352942,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2021-12-31,17138000000.0,5391000000.0,4293000000.0,12619000000.0,4462000000.0,115000000.0,626000000.0,6927000000.0,1295000000.0,618000000.0,427000000.0,79000000.0,124000000.0,0.279,323000000.0,,332000000.0,,115000000.0,,19.403,1.3551,0.279,950000000.0,0.09569699686239355,0.0249153926945968,0.06164284683124008,0.1869496174390068,0.08921611087050671,0.03606021706150076,0.13502294079091107,,0.13714450700158798,0.02577319587628866,1.2557651991614256,13911000000.0,953000000.0,1376000000.0,2718000000.0,2027000000.0,155000000.0,0.621,0.621,0.05673408978786384,8.87741935483871,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2022-03-31,17987000000.0,6170000000.0,4424000000.0,13410000000.0,4517000000.0,57000000.0,1077000000.0,10635000000.0,2026000000.0,987000000.0,696000000.0,115000000.0,196000000.0,0.456,589000000.0,,479000000.0,,57000000.0,,18.0342,1.2173,0.456,1466000000.0,0.154084569404472,0.0386946127758937,0.06544428772919605,0.19050305594734368,0.0928067700987306,0.054872963807194086,0.21578487101005683,,0.137846732487071,0.012618994908124861,1.3946654611211573,15139000000.0,965000000.0,1407000000.0,2757000000.0,2111000000.0,157000000.0,0.639,0.639,0.02700142112742776,8.961783439490446,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2022-06-30,17426000000.0,5853000000.0,5103000000.0,13285000000.0,4082000000.0,136000000.0,775000000.0,-6438000000.0,-1151000000.0,-662000000.0,-520000000.0,-75000000.0,-83000000.0,-0.3370000000000001,726000000.0,,-363000000.0,,136000000.0,1.147,23.2042,1.2843,-0.3370000000000001,-1025000000.0,-0.12738853503184713,-0.02984046826580971,0.0807704255980118,0.17878223050636843,0.10282696489593042,-0.037989211523011594,-0.15694642010431484,,0.15921093507300405,0.03331700146986771,1.1469723691945914,14544000000.0,805000000.0,1239000000.0,2820000000.0,1864000000.0,159000000.0,0.5289999999999999,0.5289999999999999,0.07296137339055794,7.7924528301886795,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
2022-09-30,17292000000.0,5849000000.0,4589000000.0,13316000000.0,3918000000.0,62000000.0,562000000.0,3712000000.0,668000000.0,342000000.0,232000000.0,59000000.0,58000000.0,0.155,-260000000.0,,151000000.0,,62000000.0,,19.1343,1.0769,0.155,493000000.0,0.059213884635017866,0.013416608836456165,0.0625,0.17995689655172414,0.09213362068965517,0.01977793199167245,0.08592964824120602,,0.1328125,0.01582440020418581,1.2745696230115493,14836000000.0,835000000.0,1285000000.0,2838000000.0,1884000000.0,178000000.0,0.5529999999999999,0.5529999999999999,0.032908704883227176,7.219101123595506,0.7283816,50.94,38.02,5.42241,18412.52,30.8935,1.8065,0.939
