report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_ps,bf_pe,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-06-27,3743744000.0,1035384000.0,321309000.0,2162002000.0,1577232000.0,1128200000.0,41464000.0,287129000.0,882874000.0,403150000.0,148391000.0,97820000.0,38619000.0,32566000.0,2.43,40277000.0,,15315000.0,,1169664000.0,,1.3965,12.6057,2.43,148391000.0,0.06202004524381955,0.026128923345185996,0.11079723720485596,0.45663367592657617,0.1680772114707195,0.039637058516821665,0.05402133899499653,,0.1680772114707195,0.7415928664901549,3.2223933970103547,,,,,,,,,,,,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2010-09-26,3797855000.0,1042712000.0,465127000.0,2080578000.0,1713231000.0,904406000.0,181193000.0,247757000.0,1325867000.0,606217000.0,216046000.0,120016000.0,58709000.0,26580000.0,2.98,40269000.0,,23796000.0,,1085599000.0,,1.467,13.8235,2.98,216046000.0,0.07005243309279367,0.031600995825275056,0.0905188831157273,0.4572230849700611,0.16294696225186991,0.056886321357713765,0.07719154075095665,,0.16294696225186991,0.633655940150511,2.2417791269911227,,,,,,,,,,,,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2010-12-31,3643155000.0,921233000.0,420763000.0,1855877000.0,1783376000.0,813409000.0,,208452000.0,1801705000.0,794069000.0,273593000.0,201094000.0,80031000.0,21887000.0,4.99,40280000.0,,33537000.0,,813409000.0,2.1892,1.5012,10.6988,4.99,273593000.0,0.1127602928378536,0.05519776128108741,0.11161316641736577,0.4407319733252669,0.15185227326338108,0.07509782043311361,0.10535835658323658,,0.15185227326338108,0.45610628381227514,2.1894344322100565,,,,,,,,,,,,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2011-03-27,3678803000.0,925918000.0,341906000.0,1789815000.0,1884710000.0,822473000.0,29700000.0,202298000.0,388658000.0,176038000.0,54574000.0,77812000.0,16157000.0,6426000.0,1.92,40424000.0,,6444000.0,,852173000.0,,1.5984,9.5118,1.92,54574000.0,0.04128592727793666,0.02115144518475167,0.20020686567625007,0.4529380586531089,0.14041651014516618,0.014834716618421808,0.01994020204736556,,0.14041651014516618,0.45215072875933165,2.7081069065766616,4399104000.0,496742000.0,692604000.0,1979474000.0,,692604000.0,193516000.0,12.32,12.32,1.23038994865753,3.579052894851072,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2011-06-26,3878232000.0,1148928000.0,364279000.0,1927895000.0,1945625000.0,949866000.0,29700000.0,365809000.0,745290000.0,348536000.0,106134000.0,111882000.0,31931000.0,13564000.0,2.75,40648000.0,,15277000.0,,979566000.0,,1.6535,11.2037,2.75,106134000.0,0.057504400899453904,0.028848712506111034,0.15011874572314132,0.46765151820096873,0.14240631163708087,0.027366593849981125,0.03628275897197824,,0.14240631163708087,0.5034711211050433,3.1539781321459652,4261520000.0,510804000.0,650347000.0,1924860000.0,,650347000.0,186828000.0,12.64,12.64,1.506220525350313,3.4809932130087566,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2011-09-25,3868711000.0,1186430000.0,383972000.0,1931714000.0,1932151000.0,952322000.0,29700000.0,371699000.0,1117181000.0,526810000.0,170055000.0,155533000.0,51108000.0,24422000.0,3.82,40738000.0,64693000.0,27561000.0,37132000.0,982022000.0,,1.483,9.2465,3.82,170055000.0,0.08049733173028402,0.04020279622851125,0.13921915965273307,0.4715529533710294,0.1522179485687637,0.04395650127393853,0.058354462827018165,0.03323722834527261,0.1522179485687637,0.5082532369364506,3.089886762576438,4052834000.0,546321000.0,604356000.0,1845453000.0,,604356000.0,179227000.0,13.48,13.48,1.6249065120558082,3.3720142612441206,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2011-12-31,3924103000.0,1280256000.0,271007000.0,1941320000.0,1980588000.0,954809000.0,,584088000.0,-722218000.0,-332543000.0,-97590000.0,-21898000.0,-28879000.0,-17412000.0,-0.5700000000000003,-81009000.0,38437000.0,-4195000.0,34242000.0,954809000.0,4.7244,1.6778,7.7432,-0.5700000000000003,-97590000.0,-0.011056312569802502,-0.005580383593397013,0.0303204849505274,0.4604468456892517,0.13512540534852358,-0.024869377791561537,-0.03324592891523702,-0.04741227717946659,0.13512540534852358,0.48208360345513557,4.724069857974149,1528911000.0,323329000.0,233173000.0,718841000.0,,233173000.0,70317000.0,7.92,7.92,4.094852319951281,3.3160259965584427,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2012-04-01,3649886000.0,1322772000.0,275346000.0,1928040000.0,1719346000.0,957360000.0,4700000.0,590921000.0,387757000.0,185835000.0,-270395000.0,-283735000.0,18211000.0,-4019000.0,-6.96,40769000.0,26733000.0,15029000.0,11704000.0,962060000.0,,1.635,,-6.96,-270395000.0,-0.16502495716394489,-0.07773804442111343,-0.7317340499333346,0.47925633837687004,-0.6973310604321779,-0.07408313574725348,-0.1008407529482667,0.030183852257986317,-0.6973310604321779,0.5595499684182241,4.80403564969166,1528010000.0,-38218000.0,-91796000.0,728638000.0,,-91796000.0,72371000.0,-0.9600000000000009,-0.9600000000000009,-10.480413089894984,-1.2684086167111135,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2012-07-01,3606822000.0,1249631000.0,242674000.0,1914808000.0,1689470000.0,959945000.0,4700000.0,544991000.0,763899000.0,368478000.0,-205656000.0,-241122000.0,36451000.0,-4276000.0,-5.91,40801000.0,89238000.0,28893000.0,60345000.0,964645000.0,,1.6409,,-5.91,-205656000.0,-0.14272049814438847,-0.06685164945761116,-0.31564644017075555,0.48236481524390007,-0.269218836521582,-0.05701861638861025,-0.07748571557750888,0.07899604528870963,-0.269218836521582,0.5709749211291115,5.149422682281579,1546619000.0,-391222000.0,-403586000.0,748580000.0,143423000.0,-403586000.0,76891000.0,-9.620000000000001,-9.620000000000001,-2.390184495993419,-5.248806752415757,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
2012-09-30,3670789000.0,1293054000.0,248677000.0,1915390000.0,1752956000.0,962596000.0,4700000.0,634829000.0,1131953000.0,549045000.0,-155815000.0,-219380000.0,54944000.0,2961000.0,-5.37,40831000.0,139132000.0,46092000.0,93040000.0,967296000.0,,1.8351,,-5.37,-155815000.0,-0.12514860612588108,-0.05976371837226275,-0.19380663331428072,0.48504222348454396,-0.13765147492872937,-0.042447277683353636,-0.05727961968229414,0.08219422537861554,-0.13765147492872937,0.55180848806245,5.19973298696703,1561391000.0,-766135000.0,-729456000.0,770815000.0,199331000.0,-729456000.0,80727000.0,-18.810000000000002,-18.810000000000002,-1.3260511943146673,-9.03608458136683,0.82709426,141.91,100.18,0.82809,5207.2725,1.726,1.7571
