report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm
2010-06-30,14903986000.0,13277031000.0,1237103000.0,869810000.0,,,,39677000.0,18988000.0,25401000.0,0.94,115894000.0,13220000.0,102674000.0,869810000.0,20.3423,0.94,,0.03207251134303288,0.0026621737299001758,,,0.7031023285854129,,,,,
2010-09-30,15660069000.0,13963773000.0,1268611000.0,1225810000.0,,,,77464000.0,29405000.0,50397000.0,1.83,176591000.0,21031000.0,155560000.0,1225810000.0,18.0761,1.83,,0.06106205921279258,0.004946593785761736,,,0.9662615254006153,,,,,
2010-12-31,17527761000.0,15779483000.0,1274350000.0,1209260000.0,,,,94951000.0,43596000.0,61402000.0,2.24,163228000.0,27056000.0,136172000.0,1209260000.0,23.4495,2.24,,0.07450935771177462,0.005417177927060963,,,0.9489229803429199,,,,,
2011-03-31,18618266000.0,16771235000.0,1313574000.0,1204733000.0,,,,33007000.0,13802000.0,22770000.0,0.76,6123000.0,5611000.0,512000.0,1204733000.0,22.1218,0.76,,0.025127628896430654,0.0017728288982443371,,,0.9171413258788618,245099000.0,394918000.0,105791000.0,5.7700000000000005,5.7700000000000005
2011-06-30,19366735000.0,17350684000.0,1436893000.0,609596000.0,,,,98757000.0,23510000.0,66033000.0,2.27,171806000.0,12843000.0,158963000.0,609596000.0,16.6177,2.27,,0.06872954353594875,0.005099310751141067,,,0.4242459250619218,304179000.0,451207000.0,110313000.0,7.1,7.1
2011-09-30,19195363000.0,17003035000.0,1536098000.0,609557000.0,,,,136328000.0,31379000.0,92803000.0,3.12,90188000.0,21600000.0,68588000.0,609557000.0,10.3908,3.12,,0.08874954592740827,0.007102131905502386,,,0.39682168715798083,363043000.0,364235000.0,112287000.0,8.39,8.39
2011-12-31,19968894000.0,17718505000.0,1569392000.0,603648000.0,,1114948000.0,,-96190000.0,-29580000.0,-62519000.0,-2.2100000000000004,-101830000.0,-9303000.0,-111133000.0,603648000.0,12.3073,-2.2100000000000004,,-0.06129125164394874,-0.004816991867451447,,,0.3846381273767166,171902000.0,116930000.0,39111000.0,3.939999999999999,3.939999999999999
2012-03-31,20818337000.0,18475634000.0,1639490000.0,601835000.0,,850624000.0,,34790000.0,7837000.0,23756000.0,0.78,-10872000.0,8054000.0,-18926000.0,601835000.0,16.3437,0.78,,0.021220013540796223,0.0016711229143807212,,,0.3670867159909484,173685000.0,97492000.0,33146000.0,3.96,3.96
2012-06-30,21289772000.0,18845447000.0,1715360000.0,458232000.0,,1411725000.0,,82393000.0,15721000.0,55273000.0,1.85,-6102000.0,20016000.0,-26118000.0,458232000.0,16.558,1.85,,0.0480324829773342,0.003870074324891784,,,0.26713459565339054,157321000.0,-87589000.0,25357000.0,3.539999999999999,3.539999999999999
2012-09-30,21576934000.0,19021588000.0,1784924000.0,458314000.0,,906680000.0,233894000.0,124682000.0,23249000.0,83743000.0,2.79,125665000.0,31548000.0,94117000.0,458314000.0,16.8166,2.79,233894000.0,0.06985283407024613,0.005778485488253336,0.010840001642494712,0.10426624370664192,0.256769475899254,145675000.0,-62060000.0,17227000.0,3.209999999999999,3.209999999999999
2012-12-31,22766123000.0,20160890000.0,1830555000.0,457762000.0,,1008983000.0,129188000.0,-66762000.0,-15953000.0,-49503000.0,-1.5099999999999998,91448000.0,-21327000.0,70121000.0,457762000.0,14.2297,-1.5099999999999998,129188000.0,-0.036470906364463235,-0.0029325151234577797,0.005674571818838016,0.05645546486784829,0.25006732930723197,175103000.0,119194000.0,30854000.0,3.91,3.91
