report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,gross_margin,fcf_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,gross_profit_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2021-03-31,9642000000.0,2977000000.0,2875000000.0,,4722000000.0,,,141000000.0,,1506000000.0,,399000000.0,,72000000.0,1.58,253516000.0,,,,0.0,1.3345,,,1.58,0.08449809402795426,0.041381456129433725,0.2649402390438247,,,0.0,1.0354782608695652,,,,,,,,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2021-06-30,10908000000.0,3911000000.0,2975000000.0,,-1934000000.0,9309000000.0,,730000000.0,,3101000000.0,,826000000.0,,78000000.0,3.25,253828000.0,,97000000.0,,9309000000.0,,,,3.25,-0.4270941054808687,0.07572423909057573,0.26636568848758463,,,-4.813340227507756,1.3146218487394958,,,,,,,,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2021-09-30,11335000000.0,4329000000.0,3129000000.0,,-1618000000.0,9259000000.0,,1008000000.0,,4701000000.0,,1149000000.0,,144000000.0,4.52,254011000.0,,133000000.0,,9259000000.0,,,,4.52,-0.7101359703337453,0.10136744596382885,0.24441608168474793,,,-5.722496909765142,1.3835091083413231,,,,,,,,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2021-12-31,10681000000.0,3760000000.0,2597000000.0,,-1508000000.0,9125000000.0,,737000000.0,,-3004000000.0,,-1023000000.0,,-116000000.0,-4.04,-507162000.0,,-38000000.0,,9125000000.0,1.4478,,,-4.04,0.6783819628647215,-0.09577754891864057,0.34054593874833555,,,-6.05106100795756,1.4478244127839814,6304000000.0,1351000000.0,,,,5.31,5.31,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2022-03-31,10597000000.0,3719000000.0,2306000000.0,,-1250000000.0,9085000000.0,,694000000.0,,1567000000.0,,348000000.0,,94000000.0,1.36,255052000.0,,33000000.0,,9085000000.0,,6.815,1.3919,1.36,-0.2784,0.03283948287251109,0.22208040842373963,,,-7.268,1.6127493495229834,6365000000.0,1300000000.0,,,,5.09,5.09,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2022-06-30,10614000000.0,3774000000.0,2396000000.0,,-1137000000.0,8884000000.0,,545000000.0,,3152000000.0,,582000000.0,195000000.0,147000000.0,2.28,255105000.0,,78000000.0,,8884000000.0,,7.7328,1.347,2.28,-0.5118733509234829,0.054833239118145846,0.18464467005076143,,,-7.813544415127528,1.5751252086811351,6416000000.0,1056000000.0,,,,4.119999999999999,4.119999999999999,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2022-09-30,10437000000.0,3592000000.0,2328000000.0,,-1066000000.0,8691000000.0,,499000000.0,254364000.0,4689000000.0,,809000000.0,303000000.0,202000000.0,3.17,255094000.0,,133000000.0,,8691000000.0,,5.8866,0.9459,3.17,-0.7589118198874296,0.07751269521893264,0.1725314566005545,,,-8.152908067542214,1.5429553264604812,6404000000.0,716000000.0,,,,2.7699999999999996,2.7699999999999996,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2022-12-31,10955000000.0,3931000000.0,2512000000.0,,-892000000.0,8905000000.0,,706000000.0,,-3234000000.0,,-822000000.0,-76000000.0,-238000000.0,-3.2199999999999998,-510082000.0,,-48000000.0,,8905000000.0,1.5649,7.7474,1.1507,-3.2199999999999998,0.92152466367713,-0.07503423094477407,0.2541743970315399,,,-9.983183856502242,1.564888535031847,6174000000.0,917000000.0,,,,3.59,3.59,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2023-03-31,10763000000.0,3780000000.0,2346000000.0,,-737000000.0,8703000000.0,,459000000.0,,1538000000.0,,177000000.0,132000000.0,58000000.0,0.69,256170000.0,114000000.0,46000000.0,68000000.0,8703000000.0,,8.0202,0.9737,0.69,-0.24016282225237448,0.016445229025364674,0.11508452535760728,,0.044213263979193757,-11.808683853459973,1.6112531969309463,6145000000.0,746000000.0,,,554000000.0,2.9199999999999995,2.9199999999999995,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2023-06-30,10979000000.0,3958000000.0,2387000000.0,11534000000.0,-555000000.0,8722000000.0,,326000000.0,,3146000000.0,,419000000.0,264000000.0,70000000.0,1.64,256064000.0,141000000.0,117000000.0,24000000.0,8722000000.0,,7.0396,0.8605,1.64,-0.7549549549549549,0.038163767191911835,0.13318499682136045,,0.007628734901462174,-15.715315315315316,1.6581483033095936,6139000000.0,583000000.0,,,623000000.0,2.2800000000000002,2.2800000000000002,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2023-09-30,11012000000.0,4050000000.0,2491000000.0,11601000000.0,-589000000.0,8646000000.0,,414000000.0,,4665000000.0,,477000000.0,398000000.0,92000000.0,1.86,256162000.0,402000000.0,172000000.0,230000000.0,8646000000.0,,7.2913,0.6936,1.86,-0.8098471986417657,0.043316382128586996,0.1022508038585209,,0.04930332261521972,-14.679117147707979,1.6258530710558008,6115000000.0,251000000.0,,,718000000.0,0.9700000000000002,0.9700000000000002,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
2023-12-31,12058000000.0,4508000000.0,2918000000.0,12128000000.0,-70000000.0,8751000000.0,,693000000.0,,-3086000000.0,,-50000000.0,-267000000.0,-570000000.0,-0.20000000000000018,-512126000.0,,-84000000.0,,8751000000.0,1.5449,3.603,0.5885,-0.20000000000000018,0.7142857142857143,-0.004146624647536905,0.016202203499675955,,,-125.01428571428572,1.544893762851268,6263000000.0,1023000000.0,,,527000000.0,3.9899999999999993,3.9899999999999993,0.6385429,14.76,5.69,3.95298,1655.6097,8.8535,2.4788,0.2663
