report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,5633825000.0,3170205000.0,2445633000.0,2698171000.0,132729000.0,,,,,,,115561000.0,4295000.0,,111266000.0,2698171000.0,,30.3849,7.8869,,,,,,1.1032607917868298,,,,,,,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2010-06-30,5462117000.0,3030703000.0,2416408000.0,2580849000.0,27794000.0,485523000.0,110686000.0,88345000.0,695000.0,0.7,157206000.0,207717000.0,7078000.0,,200639000.0,2580849000.0,,34.3162,7.6976,0.7,0.04580600627046426,0.020264304115052825,0.22797272219853643,0.4132430389497511,1.068051835617164,,,,,,,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2010-09-30,5800817000.0,3384631000.0,2401482000.0,2895547000.0,33790000.0,748873000.0,168584000.0,133449000.0,2352000.0,1.07,157453000.0,346119000.0,13243000.0,,332876000.0,2895547000.0,,36.3747,8.2601,1.07,0.07019998484269296,0.029062113147165305,0.2251169423921012,0.44450260591582286,1.2057333763067972,,,,,,,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2011-03-31,5694098000.0,3047651000.0,2643404000.0,2571368000.0,41899000.0,270461000.0,48984000.0,42558000.0,-3197000.0,0.3,162023000.0,130769000.0,7963000.0,,122806000.0,2571368000.0,,36.4752,8.5546,0.3,0.01853065214397799,0.008602591665967113,0.1811129885639704,0.454061768609892,0.9727487739293729,,,767587000.0,,,,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2011-06-30,9634033000.0,5714457000.0,3916718000.0,5007080000.0,26702000.0,635121000.0,68660000.0,96290000.0,-9406000.0,0.4,170013000.0,186300000.0,19236000.0,,167064000.0,5007080000.0,,48.549,8.6161,0.4,0.01752998301128649,0.007126818021071756,0.10810538464324121,0.2630427902714601,1.2783866492302995,2139978000.0,396914000.0,823385000.0,360642000.0,2.47,2.47,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2011-09-30,17205770000.0,7782684000.0,9245762000.0,6313141000.0,57482000.0,1201078000.0,171545000.0,170046000.0,-23310000.0,0.81,210850000.0,443901000.0,28658000.0,,415243000.0,6313141000.0,,57.0754,9.8328,0.81,0.018553906103142174,0.009970201856702722,0.14282586143447804,0.34572525681096483,0.6828145695292611,2855533000.0,457773000.0,1037989000.0,442343000.0,2.58,2.58,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2011-12-31,17271910000.0,7813129000.0,9274957000.0,6429116000.0,45807000.0,-341669000.0,75304000.0,-72087000.0,4776000.0,0.07000000000000006,-312096000.0,12227000.0,-5384000.0,,6843000.0,6429116000.0,0.0409,43.9108,9.2475,0.07000000000000006,0.008119067290554555,0.0043599115558151935,-0.22040044604573433,-0.020028155905276745,0.6931693591679186,1764991000.0,364493000.0,711956000.0,236807000.0,1.58,1.58,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2012-03-31,17188959000.0,7820460000.0,9186735000.0,6430364000.0,53224000.0,573694000.0,90626000.0,70668000.0,11338000.0,0.31,290813000.0,244961000.0,10019000.0,,234942000.0,6430364000.0,,40.7739,8.1552,0.31,0.009864875823674025,0.005272337900160213,0.15796923098376486,0.4095249383817854,0.6999618471633284,2068224000.0,406135000.0,824092000.0,264917000.0,1.59,1.59,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2012-06-30,18222261000.0,8583020000.0,9418611000.0,7204727000.0,52803000.0,1187571000.0,164651000.0,144056000.0,6159000.0,0.56,291711000.0,460808000.0,23812000.0,,436996000.0,7204727000.0,,40.4852,8.1694,0.56,0.017481452413737015,0.009035706381332153,0.13864518416162067,0.36797463056945645,0.764945807826653,2620674000.0,502126000.0,1094024000.0,312683000.0,1.7500000000000002,1.7500000000000002,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
2012-09-30,18440899000.0,8865259000.0,9357664000.0,7494774000.0,58530000.0,1825993000.0,276533000.0,217475000.0,-2727000.0,0.94,293622000.0,709319000.0,42270000.0,,667049000.0,7494774000.0,,38.9009,7.7184,0.94,0.02955149917757252,0.014995635516468042,0.151442530173993,0.36530753403764415,0.8009236065753162,3245589000.0,607114000.0,1345830000.0,360112000.0,1.8800000000000001,1.8800000000000001,0.7549991,88.365,60.15,3.06445,41768.15,166.1548,2.9409,7.1595
