report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,operating_income_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,7301687000.0,4220387000.0,3039871000.0,3734536000.0,256265000.0,,,,,,,,148398000.0,3734536000.0,,,2.1332,,,,,,,,,,1.228517920661765,,,,,,,,,,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2010-09-30,7559788000.0,4535529000.0,2979321000.0,4115599000.0,20849000.0,,,,,,,,242852000.0,4115599000.0,,52.8199,2.3496,,,,,,,,,,1.3813882424888086,,,,,,,,,,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2010-12-31,7644276000.0,4654373000.0,2945610000.0,4207079000.0,18384000.0,1393603000.0,227728000.0,-14108000.0,239383000.0,-1126000.0,-0.07,238920000.0,391156000.0,4207079000.0,0.5733,,3.0169,-0.07,227728000.0,-0.004789500307236871,-0.0018455639226003875,-0.01012339956214216,0.16340952193702224,0.029790656433650486,0.031838096134195124,0.16340952193702224,1.4282539100559817,,,,,,,,,,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2011-03-31,7527491000.0,4501641000.0,2954195000.0,4071503000.0,167115000.0,386886000.0,119927000.0,47569000.0,66082000.0,,0.19,258837000.0,28025000.0,4071503000.0,,,3.3591,0.19,119927000.0,0.016102186890168048,0.006319369893633881,0.1229535315312521,0.3099802008860491,0.015931868932158137,0.017069763032797596,0.3099802008860491,1.3782106462166512,,,,,,,,,,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2011-06-30,7527085000.0,4572313000.0,2885462000.0,4111527000.0,117645000.0,749653000.0,170270000.0,18527000.0,132950000.0,,0.07,259390000.0,144292000.0,4111527000.0,,,3.5493,0.07,170270000.0,0.006420808868735752,0.0024613778109321203,0.02471410105742257,0.22713175295770177,0.022620974786388092,0.024334753134526866,0.22713175295770177,1.4249111580745129,,,,,,,,,,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2011-09-30,7504661000.0,4729718000.0,2709829000.0,4272323000.0,16182000.0,1108236000.0,219744000.0,-13549000.0,199269000.0,-194000.0,-0.06,252618000.0,245084000.0,4272323000.0,,,2.436,-0.06,219744000.0,-0.004999946491088552,-0.0018054113303718848,-0.01222573531269513,0.19828267625307244,0.029281002832772858,0.031472245233274784,0.19828267625307244,1.5766024350614005,3638378000.0,38439000.0,737669000.0,737669000.0,637684000.0,0.13,0.13,5.791653166935306,1.1567939606450843,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2011-12-31,7004437000.0,4224779000.0,2714686000.0,3809589000.0,213809000.0,-970501000.0,-290589000.0,-21131000.0,-175248000.0,0.0,-0.09000000000000001,-511247000.0,-79864000.0,3809589000.0,1.3524,32.356,2.5664,-0.09000000000000001,-290589000.0,-0.007783957334292069,-0.003016802064177321,0.021773290290272754,0.2994216389266987,-0.04148641782344534,-0.044539661494955377,0.2994216389266987,1.4033258358425247,1274274000.0,31416000.0,219352000.0,219352000.0,223053000.0,0.11,0.11,17.367468726065866,0.98340753094556,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2012-03-31,6872405000.0,4186935000.0,2651634000.0,3816870000.0,14740000.0,272400000.0,37683000.0,-36390000.0,61086000.0,,-0.14,258365000.0,25343000.0,3816870000.0,,260.5049,3.308,-0.14,37683000.0,-0.013723613439863872,-0.0052950895647157,-0.13359030837004404,0.13833700440528635,0.005483233307699415,0.005825612846494336,0.13833700440528635,1.4394407372963236,1159788000.0,-52543000.0,137108000.0,137108000.0,218057000.0,-0.22000000000000003,-0.22000000000000003,27.838419348251012,0.6287713762915201,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2012-06-30,7068090000.0,4448712000.0,2580738000.0,4036643000.0,106565000.0,540253000.0,79173000.0,-64872000.0,122138000.0,,-0.25,262556000.0,140446000.0,4036643000.0,,390.9644,3.6798,-0.25,79173000.0,-0.025136995696579817,-0.009178151381773577,-0.12007707500004627,0.14654800621190442,0.011201470269903185,0.011964401022096205,0.14654800621190442,1.5641428924594438,950388000.0,-135942000.0,46011000.0,46011000.0,207245000.0,-0.54,-0.54,87.73212927343461,0.22201259378995875,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2012-09-30,7190117000.0,4565076000.0,2588903000.0,4140145000.0,113152000.0,842958000.0,122308000.0,-93102000.0,183623000.0,-103000.0,-0.36,265153000.0,201536000.0,4140145000.0,,562.5057,3.7256,-0.36,122308000.0,-0.03596194990696832,-0.012948607094988858,-0.11044678382552868,0.14509382436610127,0.017010571594314808,0.0181761223875948,0.14509382436610127,1.599188922875828,685110000.0,-215495000.0,-51425000.0,-51425000.0,191599000.0,-0.8400000000000001,-0.8400000000000001,-80.50841030627127,-0.2683991043794592,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2012-12-31,7560101000.0,4933983000.0,2591414000.0,4446170000.0,33889000.0,-546171000.0,-78205000.0,68219000.0,-121677000.0,0.0,0.27,-518174000.0,-68168000.0,4446170000.0,0.5505,,3.6906,0.27,-78205000.0,0.02632501020678286,0.00902355669586954,-0.12490410512458552,0.14318775621554422,-0.010344438520067391,-0.011112478373259915,0.14318775621554422,1.7157312571437833,1109440000.0,-126145000.0,160959000.0,160959000.0,245170000.0,-0.48000000000000004,-0.48000000000000004,27.62299716076765,0.6565199657380593,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2013-03-31,7802099000.0,4797518000.0,2970577000.0,4394397000.0,307167000.0,268668000.0,95147000.0,28043000.0,60075000.0,,0.09,319571000.0,73434000.0,4394397000.0,,,5.294,0.09,95147000.0,0.009440253526503437,0.003594289177822532,0.10437789390623371,0.35414340375482006,0.012195051613674731,0.012918850765800394,0.35414340375482006,1.479307555400853,1105708000.0,-61712000.0,218423000.0,218423000.0,244159000.0,-0.24999999999999997,-0.24999999999999997,20.11874665213828,0.8945932773315749,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2013-06-30,7883902000.0,4841436000.0,3008365000.0,4396777000.0,21402000.0,542174000.0,141695000.0,89537000.0,118945000.0,,0.28,323350000.0,198205000.0,4396777000.0,,68.157,4.7502,0.28,141695000.0,0.02976267839839913,0.011356939748870547,0.1651444001372253,0.26134598855717905,0.017972699305496186,0.019134676958254142,0.26134598855717905,1.461517136384714,1107629000.0,92697000.0,280945000.0,280945000.0,240966000.0,0.28,0.28,15.649956397159587,1.165911373388777,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
2013-09-30,7886839000.0,4873895000.0,2979641000.0,4435211000.0,24112000.0,829234000.0,186962000.0,83470000.0,176005000.0,-4500000.0,0.25,325380000.0,317624000.0,4435211000.0,,54.7876,4.8186,0.25,186962000.0,0.02801344188779789,0.010583454283775794,0.1006591625524279,0.2254635000494432,0.023705568225749252,0.02521452889417078,0.2254635000494432,1.4885051588429612,1093905000.0,269269000.0,345599000.0,345599000.0,233348000.0,0.89,0.89,12.833402295724236,1.4810454771414368,0.80114,66.22,47.12,7.82813,18556.7,19.5517,4.1363,16.742
