report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2013-03-31,6142000000.0,2942000000.0,1287000000.0,5418000000.0,709000000.0,3640000000.0,6000000.0,468000000.0,,1090000000.0,,140000000.0,22000000.0,52000000.0,0.0,500111000.0,281000000.0,22000000.0,51000000.0,259000000.0,3646000000.0,2.5503,,,0.0,,0.19746121297602257,0.022793878215564962,0.12844036697247707,,,,0.23761467889908258,,5.142454160789844,2.2859362859362857,,,,,,,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2013-06-30,6261000000.0,3082000000.0,1321000000.0,5438000000.0,800000000.0,3640000000.0,12000000.0,369000000.0,,2204000000.0,,268000000.0,54000000.0,111000000.0,0.0,500164000.0,269000000.0,80000000.0,102000000.0,189000000.0,3652000000.0,,,,0.0,,0.335,0.04280466379172656,0.12159709618874773,,,,0.08575317604355717,,4.565,2.333080999242998,,,,,,,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2013-09-29,6259000000.0,3083000000.0,1308000000.0,5393000000.0,843000000.0,3642000000.0,10000000.0,389000000.0,,3307000000.0,,399000000.0,83000000.0,165000000.0,0.0,500227000.0,383000000.0,135000000.0,151000000.0,248000000.0,3652000000.0,,,,0.0,,0.47330960854092524,0.06374820258827289,0.12065315996371334,,,,0.07499244027819776,,4.33214709371293,2.3570336391437308,,,,,,,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2013-12-31,6558000000.0,3357000000.0,1415000000.0,5596000000.0,940000000.0,3642000000.0,15000000.0,610000000.0,,-2040000000.0,690000000.0,-303000000.0,-46000000.0,-141000000.0,1.01,-1000185000.0,-252000000.0,-53000000.0,-95000000.0,-305000000.0,3657000000.0,2.3724,32.431,3.5837,1.01,595000000.0,-0.3223404255319149,-0.046203110704483075,0.14852941176470588,-0.3382352941176471,0.10521500457456541,0.15009788992821405,0.14950980392156862,-0.2916666666666667,3.8904255319148935,2.3724381625441695,4561000000.0,504000000.0,391000000.0,113000000.0,1.01,1.01,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2014-03-30,6403000000.0,3222000000.0,1127000000.0,5304000000.0,1077000000.0,3642000000.0,16000000.0,506000000.0,,1097000000.0,,155000000.0,29000000.0,72000000.0,0.0,500702000.0,-23000000.0,45000000.0,50000000.0,-68000000.0,3658000000.0,,27.9212,3.1723,0.0,,0.14391829155060354,0.0242074027799469,0.14129443938012762,,,,-0.06198723792160438,,3.396471680594243,2.8589174800354926,4568000000.0,519000000.0,64000000.0,120000000.0,1.01,1.01,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2014-06-29,6522000000.0,3327000000.0,1061000000.0,5239000000.0,1260000000.0,3642000000.0,12000000.0,578000000.0,,2255000000.0,,291000000.0,58000000.0,133000000.0,0.0,501193000.0,136000000.0,87000000.0,101000000.0,49000000.0,3654000000.0,,30.6791,3.5056,0.0,,0.23095238095238096,0.04461821527138914,0.12904656319290467,,,,0.021729490022172948,,2.9,3.1357210179076342,4619000000.0,542000000.0,-76000000.0,124000000.0,1.01,1.01,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2014-09-28,6527000000.0,3353000000.0,998000000.0,5138000000.0,1364000000.0,3642000000.0,10000000.0,598000000.0,,3465000000.0,,457000000.0,87000000.0,204000000.0,0.0,501610000.0,239000000.0,129000000.0,151000000.0,110000000.0,3652000000.0,,32.8094,3.9074,0.0,,0.3350439882697947,0.07001685307185537,0.1318903318903319,,,,0.031746031746031744,,2.6774193548387095,3.3597194388777556,4777000000.0,600000000.0,-214000000.0,128000000.0,1.01,1.01,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2014-12-31,6607000000.0,3465000000.0,1086000000.0,5270000000.0,1311000000.0,3643000000.0,7000000.0,882000000.0,,-2032000000.0,,-320000000.0,-57000000.0,-176000000.0,1.0,-1001480000.0,274000000.0,-81000000.0,-98000000.0,193000000.0,3650000000.0,3.1906,37.0017,4.5083,1.0,,-0.2440884820747521,-0.04843347964280309,0.15748031496062992,,,,-0.09498031496062992,,2.7841342486651413,3.1906077348066297,4785000000.0,583000000.0,284000000.0,117000000.0,1.0,1.0,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2015-03-29,6430000000.0,3110000000.0,1370000000.0,5125000000.0,1278000000.0,3243000000.0,2000000.0,559000000.0,,1102000000.0,,165000000.0,28000000.0,65000000.0,0.0,503224000.0,60000000.0,45000000.0,48000000.0,15000000.0,3245000000.0,,39.6142,4.9042,0.0,,0.12910798122065728,0.025660964230171075,0.14972776769509982,,,,0.013611615245009074,,2.5391236306729263,2.27007299270073,4790000000.0,593000000.0,367000000.0,116000000.0,1.0,1.0,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
2015-06-28,6598000000.0,3316000000.0,1572000000.0,5396000000.0,1176000000.0,3243000000.0,4000000.0,544000000.0,,2277000000.0,,128000000.0,57000000.0,74000000.0,0.0,502893000.0,182000000.0,91000000.0,98000000.0,91000000.0,3247000000.0,,56.0317,4.8956,0.0,,0.10884353741496598,0.019399818126705062,0.056214317083882304,,,,0.039964866051822576,,2.7610544217687076,2.10941475826972,4812000000.0,430000000.0,409000000.0,115000000.0,1.0,1.0,0.95767,172.23,113.29,4.12505,49998.934,18.7052,16.6461,5.2814
