report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2011-06-30,275154000.0,107334000.0,133252000.0,,104450000.0,1412000.0,150128000.0,66760000.0,19815000.0,11352000.0,7439000.0,0.34,33650000.0,19327000.0,8416000.0,5219000.0,10911000.0,0.0,,34.0499,2.8959,0.34,25034000.0,0.10868358066060316,0.04125689613816263,0.07561547479484174,0.44468720025578173,0.131987370776937,0.07201421749274951,0.1897079942556247,0.07267798145582437,0.16675103911329,0.0,0.8054963527751928,,,,,,,,,,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2011-09-30,261736000.0,94333000.0,133052000.0,261736000.0,64712000.0,5280000.0,227312000.0,102892000.0,32195000.0,18858000.0,11751000.0,0.57,33027000.0,45105000.0,9926000.0,7778000.0,35179000.0,0.0,,30.8863,2.6795,0.57,39973000.0,0.291414266287551,0.07204969893327628,0.08296086436263814,0.45264658267051455,0.14163352572675442,0.12300562398752941,0.4975120534058598,0.15476085732385444,0.17585081297951713,0.0,0.7089934762348555,,,,,,,,,,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2011-12-31,295391000.0,107092000.0,151640000.0,295391000.0,78110000.0,1326000.0,309391000.0,141912000.0,46517000.0,27557000.0,16556000.0,0.83,33154000.0,56435000.0,12278000.0,10676000.0,44157000.0,0.0,0.7065,32.7827,2.9138,0.83,57193000.0,0.352797337088721,0.0932899106607852,0.08906852494093234,0.4586817328235146,0.15035020411065608,0.15747602330470462,0.5955319421328895,0.14272231577518416,0.18485670236044358,0.0,0.7062252703772092,,,,,,,,,,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2012-03-31,277763000.0,83679000.0,129022000.0,277763000.0,87747000.0,9932000.0,82723000.0,37419000.0,10044000.0,5681000.0,3660000.0,0.17,,18084000.0,1048000.0,3026000.0,17036000.0,0.0,,42.8178,3.6947,0.17,13070000.0,0.06474295417507152,0.020452688083006015,0.06867497552071371,0.45234094508177897,0.1214172600123303,0.03616032372922239,0.11446545181031831,0.20594030680705486,0.15799717128247284,0.0,0.6485638108229604,769554000.0,63448000.0,108571000.0,348983000.0,107283000.0,135270000.0,1.91,1.91,0.0,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2012-06-30,320446000.0,117260000.0,150012000.0,320446000.0,99607000.0,312000.0,174091000.0,78118000.0,22499000.0,12786000.0,8237000.0,0.39,,8425000.0,4334000.0,6336000.0,4091000.0,0.0,,42.4066,3.6886,0.39,28835000.0,0.12836447237643941,0.03990063848511138,0.07344434807083651,0.44871934792723345,0.1292370082313273,0.07021151769720951,0.22587769935847882,0.023499204439057734,0.1656317672941163,0.0,0.7816707996693598,793517000.0,64882000.0,111255000.0,360341000.0,100463000.0,139071000.0,1.96,1.96,0.0,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2012-09-30,296094000.0,94064000.0,144654000.0,296094000.0,118009000.0,103000.0,267936000.0,123062000.0,41158000.0,23618000.0,15215000.0,0.72,,42254000.0,6351000.0,9616000.0,35903000.0,0.0,,41.6105,3.8401,0.72,50774000.0,0.20013727766526282,0.07976520969692057,0.08814791592021975,0.4592962498507106,0.15361131016362117,0.13900315440366912,0.34877000906710504,0.13399841753254507,0.18950047772602413,0.0,0.6502689175549933,834141000.0,69642000.0,120218000.0,380511000.0,101187000.0,149872000.0,2.1100000000000003,2.1100000000000003,0.0,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2012-12-31,338315000.0,122757000.0,169795000.0,338315000.0,145299000.0,6406000.0,-161446000.0,-70897000.0,-17124000.0,-9091000.0,-6238000.0,-0.28,,-10095000.0,-2631000.0,-6267000.0,-12726000.0,0.0,0.7195,44.857,4.0745,-0.28,-23391000.0,-0.06256753315576845,-0.02687140682500037,0.056309849733037674,0.43913754444210445,0.10606642468689222,-0.05061555059633773,-0.1178535296182355,0.07882511799611015,0.1448843576180271,0.0,0.7229718189581554,363304000.0,32994000.0,56577000.0,167702000.0,44304000.0,69288000.0,1.0,1.0,0.0,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2013-03-31,315374000.0,97549000.0,149813000.0,315374000.0,160198000.0,4495000.0,95799000.0,43845000.0,14470000.0,8493000.0,5639000.0,0.25,,17084000.0,5089000.0,3322000.0,11995000.0,0.0,,52.9059,5.032,0.25,17792000.0,0.05301564314161226,0.02692993081230539,0.08865437008737043,0.45767701124228855,0.1510454180106264,0.04588203212693501,0.09032572191912508,0.12521007526174593,0.18572218916690153,0.0,0.6511384192293058,376380000.0,35806000.0,61003000.0,174128000.0,39263000.0,74010000.0,1.08,1.08,0.0,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2013-06-30,368928000.0,146552000.0,183262000.0,,180155000.0,3068000.0,198887000.0,90887000.0,29819000.0,17540000.0,11645000.0,0.0,,16586000.0,13839000.0,6681000.0,2747000.0,0.0,,58.4621,5.679,0.0,36500000.0,0.09736060614470872,0.04754315205134877,0.0881907817001614,0.4569780830320735,0.14992935687098705,0.08082606904328216,0.16551858122172575,0.013811863017693464,0.1835212960123085,0.0,0.7996856958889459,401176000.0,40560000.0,68323000.0,186897000.0,37919000.0,81675000.0,0.6900000000000001,0.6900000000000001,0.0,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
2013-09-30,393415000.0,164765000.0,181646000.0,,207628000.0,52121000.0,305908000.0,140436000.0,47676000.0,28589000.0,18168000.0,0.0,,,20262000.0,10093000.0,,0.0,,73.4887,6.9405,0.0,57769000.0,0.13769337468934825,0.07266881028938907,0.09345620251840422,0.45907920028243787,0.15585077866548114,0.12118500819745052,0.22962220895062324,,0.18884435843456202,0.0,0.9070664919678936,439148000.0,45531000.0,74841000.0,204271000.0,,88670000.0,-0.029999999999999916,-0.029999999999999916,0.0,0.93888515,621.34,283.715,0.46645,15047.879,47.6798,5.2751,6.4518
