report_date,total_assets,total_liabilities,total_equity,long_term_debt,cash,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,roe,roa,debt_equity,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual
2025-09-30,22821439000.0,20406443000.0,2414996000.0,1080516000.0,1220620000.0,-9114000.0,-7683000.0,-0.1,88566368.0,57008000.0,4449000.0,52559000.0,1080516000.0,78.0127,-0.1,-0.0037739192942762637,-0.0003993613198536692,0.4474193746076598,0.6473647,32.0,22.27,0.93686,2535.437,24.0942,0.8865
2025-12-31,23220372000.0,20724311000.0,2496061000.0,788360000.0,2041745000.0,90271000.0,31591000.0,1.03,87701567.0,224444000.0,12288000.0,212156000.0,788360000.0,21.0271,1.03,0.03616538217615675,0.0038875776839406365,0.3158416400881228,0.6473647,32.0,22.27,0.93686,2535.437,24.0942,0.8865
