report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,777355000000.0,,,654404000000.0,115195000000.0,,123931000000.0,69628000000.0,36605000000.0,,1945000000.0,,431000000.0,0.17,7094000000.0,1302000000.0,2475000000.0,5792000000.0,123931000000.0,,19.1611,1.2708,0.17,,0.016884413385997655,0.002502074341838671,0.05313481764786231,,,,0.15822975003414835,,1.0758366248535092,,,,,,,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2010-06-30,749930000000.0,,,629205000000.0,113934000000.0,,120154000000.0,73848000000.0,74049000000.0,,5054000000.0,,1316000000.0,0.45,16527000000.0,3019000000.0,4856000000.0,13508000000.0,120154000000.0,,14.5978,1.0228,0.45,,0.04435901486825706,0.006739295667595642,0.06825210333697956,,,,0.1824197490850653,,1.0545930099882388,,,,,,,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2010-09-30,758824000000.0,,,638214000000.0,115536000000.0,,114879000000.0,78392000000.0,109937000000.0,,7109000000.0,,1634000000.0,0.64,26476000000.0,4415000000.0,7477000000.0,22061000000.0,114879000000.0,,17.1052,1.1588,0.64,,0.06153060517933804,0.009368443802515471,0.06466430773988739,,,,0.20066947433530113,,0.9943134607395098,,,,,,,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2010-12-31,751216000000.0,,,627018000000.0,118936000000.0,,117959000000.0,78958000000.0,-70380000000.0,,-2464000000.0,15983000000.0,-2331000000.0,-0.19999999999999996,-13974000000.0,1064000000.0,-4795000000.0,-15038000000.0,117959000000.0,0.8123,16.7361,1.3027,-0.19999999999999996,,-0.020717024281966773,-0.003280015335136632,0.035009946007388465,,,,0.21366865586814435,,0.9917854980830026,,150211000000.0,11644000000.0,26323000000.0,1.06,1.06,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2011-03-31,727837000000.0,,,602048000000.0,123535000000.0,,110347000000.0,82173000000.0,38448000000.0,,3433000000.0,,3927000000.0,0.31,7696000000.0,3169000000.0,2292000000.0,4527000000.0,110347000000.0,,16.2137,1.4021,0.31,,0.027789695228073015,0.0047167154184247296,0.08928942987931753,,,,0.11774344569288389,,0.8932448294005747,,152054000000.0,13132000000.0,25058000000.0,1.2000000000000002,1.2000000000000002,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2011-06-30,739130000000.0,,,608733000000.0,128074000000.0,,123489000000.0,91053000000.0,73960000000.0,,7197000000.0,,4831000000.0,0.66,15140000000.0,6538000000.0,4594000000.0,8602000000.0,123489000000.0,,14.5078,1.3286,0.66,,0.05619407530021706,0.009737123374778455,0.09730935640886966,,,,0.11630611141157382,,0.9642003841529116,,151965000000.0,15275000000.0,20152000000.0,1.4100000000000001,1.4100000000000001,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2011-09-30,737700000000.0,,,610927000000.0,124461000000.0,268270000000.0,127327000000.0,91368000000.0,109327000000.0,,10421000000.0,,5266000000.0,0.88,24223000000.0,9051000000.0,6944000000.0,15172000000.0,395597000000.0,,10.7437,1.0674,0.88,,0.08372903961883642,0.014126338620035244,0.09531954594930804,,,,0.13877633155579133,,3.1784816127140227,,151355000000.0,18587000000.0,13263000000.0,1.6500000000000001,1.6500000000000001,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2011-12-31,717242000000.0,,,599108000000.0,116438000000.0,243459000000.0,137611000000.0,84501000000.0,-74435000000.0,,-6900000000.0,,-8292000000.0,-0.6200000000000001,-13700000000.0,-6108000000.0,-4645000000.0,-19808000000.0,381070000000.0,0.7673,13.6975,1.316,-0.6200000000000001,,-0.05925900479224995,-0.009620183982533092,0.09269832739974475,,,,0.26611137233828175,,3.272728834229375,,147300000000.0,14151000000.0,8493000000.0,1.23,1.23,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2012-03-31,707719000000.0,,,586131000000.0,119867000000.0,233487000000.0,138659000000.0,83650000000.0,35182000000.0,,3034000000.0,,637000000.0,0.29,6466000000.0,3295000000.0,2263000000.0,3171000000.0,372146000000.0,,15.4129,1.4772,0.29,,0.025311386787022282,0.004287012218126121,0.08623728042749133,,,,0.09013131715081575,,3.1046576622423188,,144034000000.0,13752000000.0,7137000000.0,1.21,1.21,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
2012-06-30,694121000000.0,,,570222000000.0,120119000000.0,229817000000.0,126319000000.0,74295000000.0,71683000000.0,,6139000000.0,,1131000000.0,0.58,14217000000.0,7307000000.0,4493000000.0,6910000000.0,356136000000.0,,16.5242,1.5039,0.58,,0.05110765157885097,0.008844279311532139,0.08564094694697487,,,,0.09639663518546936,,2.9648598473180763,,141757000000.0,12694000000.0,5445000000.0,1.13,1.13,1.5049472,348.48,159.36,6.31963,294883.4,33.883,17.3965,6.4309
