report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,shares_outstanding,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,24578000000.0,7142000000.0,4372000000.0,16310000000.0,8021000000.0,,1813000000.0,,2215000000.0,258000000.0,58000000.0,153000000.0,65000000.0,0.22,257000000.0,114000000.0,185000000.0,202000000.0,-71000000.0,0.0,,6.825,0.5756,0.22,460000000.0,0.007231018576237377,0.002359833997884287,0.02618510158013544,0.11647855530474041,0.01049719261127838,0.03216556539084902,-0.032054176072234764,0.2076749435665914,0.0,1.6335773101555353,,,,,,,,,,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2010-09-30,27419000000.0,8496000000.0,4482000000.0,18950000000.0,8221000000.0,,3447000000.0,,7033000000.0,1156000000.0,492000000.0,469000000.0,271000000.0,1.9,255000000.0,1141000000.0,490000000.0,620000000.0,651000000.0,0.0,,10.0406,0.5746,1.9,1776000000.0,0.059846733973969106,0.017943761625150444,0.06995592208161525,0.16436797952509596,0.0421605456070608,0.14061549689818756,0.0925636286079909,0.2525238162946111,0.0,1.895582329317269,,,,,,,,,,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2010-12-31,26896000000.0,7137000000.0,4220000000.0,18576000000.0,8072000000.0,,2951000000.0,,8849000000.0,1308000000.0,477000000.0,632000000.0,277000000.0,1.84,254000000.0,1623000000.0,706000000.0,838000000.0,917000000.0,0.0,1.6912,10.1263,0.5459,1.84,2146000000.0,0.05909316154608523,0.017734979179060084,0.053904395976946545,0.14781331223867103,0.04863176680547293,0.1620416253716551,0.10362752853429766,0.24251327833653522,0.0,1.6912322274881517,,,,,,,,,,,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2011-03-31,25043000000.0,6378000000.0,2998000000.0,17194000000.0,7601000000.0,,2711000000.0,,1995000000.0,314000000.0,-260000000.0,173000000.0,-105000000.0,-1.06,247000000.0,216000000.0,219000000.0,205000000.0,-3000000.0,0.0,,33.5028,0.6173,-1.06,519000000.0,-0.034206025522957505,-0.010382142714531006,-0.13032581453634084,0.1573934837092732,0.01253843389370283,0.041310353900802524,-0.0015037593984962407,0.26015037593984963,0.0,2.127418278852568,20092000000.0,767000000.0,3036000000.0,1494000000.0,4901000000.0,1427000000.0,2.9,2.9,0.0,2.1275402943237562,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2011-06-30,25336000000.0,6039000000.0,3105000000.0,16760000000.0,8328000000.0,8910000000.0,1939000000.0,,4273000000.0,583000000.0,361000000.0,340000000.0,-735000000.0,1.44,247000000.0,309000000.0,839000000.0,427000000.0,-530000000.0,8910000000.0,,10.4147,0.6754,1.44,1010000000.0,0.04334774255523535,0.014248500157878118,0.08448396910835479,0.1364380996957641,0.023010735712030314,0.03382062884325328,-0.12403463608705827,0.23636789141118653,1.069884726224784,1.944927536231884,22150000000.0,1070000000.0,3361000000.0,1035000000.0,5451000000.0,1614000000.0,4.119999999999999,4.119999999999999,1.6345624656026416,2.0824039653035937,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2011-09-30,24760000000.0,6338000000.0,3995000000.0,16580000000.0,7932000000.0,9208000000.0,1127000000.0,,6947000000.0,626000000.0,306000000.0,504000000.0,-815000000.0,1.22,245000000.0,668000000.0,1355000000.0,665000000.0,-687000000.0,9208000000.0,,17.584,0.5839,1.22,1291000000.0,0.038577912254160365,0.01235864297253635,0.044047790413127966,0.09011083921117029,0.025282714054927304,0.03652275379229872,-0.09889160788829711,0.18583561249460198,1.1608673726676753,1.58648310387985,22064000000.0,884000000.0,2831000000.0,-303000000.0,4966000000.0,1649000000.0,3.4400000000000004,3.4400000000000004,1.8542086186065243,1.7167980594299574,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2011-12-31,26715000000.0,7597000000.0,5671000000.0,18797000000.0,7669000000.0,9745000000.0,1105000000.0,,-4136000000.0,-888000000.0,-210000000.0,-352000000.0,812000000.0,-0.8199999999999998,-498000000.0,-27000000.0,-103000000.0,-401000000.0,-130000000.0,9745000000.0,1.3221,20.9773,0.4552,-0.8199999999999998,-1289000000.0,-0.02738297040031295,-0.007860752386299831,0.05077369439071567,0.21470019342359767,-0.03323975294778214,-0.05099345354312622,0.031431334622823985,0.31165377176015474,1.2707002216716652,1.3396226415094339,9079000000.0,197000000.0,635000000.0,-1350000000.0,1531000000.0,665000000.0,0.78,0.78,6.365120836054866,0.9548872180451128,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2012-03-31,28530000000.0,8458000000.0,6885000000.0,20648000000.0,7633000000.0,10150000000.0,1014000000.0,,1862000000.0,-170000000.0,-207000000.0,165000000.0,-120000000.0,-0.92,,-76000000.0,639000000.0,230000000.0,-715000000.0,10150000000.0,,14.2076,0.397,-0.92,60000000.0,-0.027119088169789075,-0.007255520504731861,-0.11117078410311493,-0.09129967776584318,-0.005958640028040659,-0.009559691840521847,-0.38399570354457574,0.0322234156820623,1.329752390934102,1.2284676833696442,8946000000.0,250000000.0,151000000.0,-2062000000.0,1072000000.0,657000000.0,0.92,0.92,9.468283582089553,0.2298325722983257,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2012-06-30,27856000000.0,7255000000.0,5698000000.0,19704000000.0,7903000000.0,10485000000.0,1149000000.0,,4028000000.0,227000000.0,44000000.0,332000000.0,-133000000.0,0.17,229000000.0,585000000.0,1593000000.0,464000000.0,-1008000000.0,10485000000.0,,,0.4449,0.17,691000000.0,0.005567506010375807,0.0015795519816197588,0.010923535253227408,0.05635551142005958,0.008149052268811028,0.012345007613661084,-0.2502482621648461,0.17154915590863953,1.326711375427053,1.2732537732537732,8701000000.0,-67000000.0,-205000000.0,-2540000000.0,753000000.0,649000000.0,-0.34999999999999987,-0.34999999999999987,13.92430278884462,-0.31587057010785824,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
2012-09-30,27220000000.0,6383000000.0,4777000000.0,19081000000.0,7890000000.0,10968000000.0,1610000000.0,,6359000000.0,313000000.0,43000000.0,495000000.0,-246000000.0,0.16,230000000.0,1058000000.0,2474000000.0,703000000.0,-1416000000.0,10968000000.0,,,0.5804,0.16,1016000000.0,0.005449936628643853,0.001579720793534166,0.0067620695077842425,0.049221575719452744,0.011498897869213813,0.016597730406193657,-0.22267652146563924,0.15977354930020443,1.3901140684410647,1.3361942641825413,8113000000.0,-330000000.0,-518000000.0,-3269000000.0,478000000.0,640000000.0,-1.41,-1.41,22.94560669456067,-0.809375,1.4027276,189.96,79.57,2.45021,32706.96,37.8553,18.1539,1.0649
