report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_pe,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-06-30,26254226000.0,22966993000.0,2992068000.0,2926675000.0,,683765000.0,,4897000.0,77402000.0,-18219000.0,-0.11,226585000.0,-517129000.0,9789000.0,-526918000.0,2926675000.0,,-0.11,,0.0016366606641292911,0.00018652235263001089,0.007161817291028351,,,,-0.7706127105072649,,0.9781445475169682,,,,,,,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2010-09-30,25384181000.0,22077293000.0,3011723000.0,2805731000.0,,1068344000.0,,35733000.0,114424000.0,-15125000.0,-0.04,230380000.0,137751000.0,23269000.0,114482000.0,2805731000.0,,-0.04,,0.011864636953664066,0.0014076877248866135,0.03344709194791191,,,,0.10715836846558786,,0.9316032716156167,,,,,,,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2010-12-31,24698952000.0,22020947000.0,2382840000.0,3228070000.0,,1416530000.0,,50201000.0,149448000.0,-19083000.0,-0.25,235699000.0,768074000.0,42631000.0,725443000.0,3228070000.0,61.2149,-0.25,,0.021067717513555254,0.0020325153876974214,0.0354394188615843,,,,0.5121268169399872,,1.3547153816454316,,,,,,,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2011-03-31,24438344000.0,21798287000.0,2344892000.0,,,369297000.0,,40159000.0,34850000.0,12108000.0,0.15,265556000.0,-224800000.0,7162000.0,-231962000.0,0.0,28.6331,0.15,,0.017126161887199922,0.0016432782843223746,0.10874445229720252,,,,-0.6281177480456109,,0.0,3537936000.0,130990000.0,81045000.0,376124000.0,-0.25,-0.25,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2011-09-30,25571469000.0,22828239000.0,2448065000.0,,,1092771000.0,,96255000.0,100767000.0,16362000.0,0.37,263697000.0,-36040000.0,30669000.0,-66709000.0,0.0,14.19,0.37,,0.03931880893685421,0.0037641560600214247,0.08808341363378054,,,,-0.06104572687232732,,0.0,3946942000.0,222348000.0,541254000.0,399489000.0,0.22999999999999998,0.22999999999999998,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2011-12-31,24789384000.0,22104747000.0,2389472000.0,,,1442843000.0,,131196000.0,131605000.0,15836000.0,0.5,262861000.0,43973000.0,35408000.0,8565000.0,0.0,16.5369,0.5,,0.054905853678134754,0.005292426790435777,0.09092881207449459,,,,0.005936196800344875,,0.0,4321441000.0,317811000.0,435337000.0,416670000.0,0.77,0.77,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2012-03-31,25678969000.0,23004796000.0,2379008000.0,,,366370000.0,,30527000.0,29574000.0,10570000.0,0.12,255369000.0,-162286000.0,2435000.0,-164721000.0,0.0,21.7615,0.12,,0.012831818976649092,0.0011887938335842065,0.08332287032235172,,,,-0.44960286049621967,,0.0,3271281000.0,298137000.0,-454827000.0,296796000.0,1.1400000000000001,1.1400000000000001,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2012-06-30,25492955000.0,22978549000.0,2219241000.0,,,682952000.0,,-94247000.0,57634000.0,-77608000.0,-0.38,251317000.0,-311251000.0,8565000.0,-319816000.0,0.0,21.7615,-0.38,,-0.04246812311055897,-0.00369698216624946,-0.13799944944886317,,,,-0.4682847403624266,,0.0,3584936000.0,163731000.0,-542681000.0,319580000.0,0.61,0.61,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2012-09-30,25739830000.0,23207942000.0,2236723000.0,,,979955000.0,,-68440000.0,84685000.0,-72348000.0,-0.27,249742000.0,112439000.0,14826000.0,97613000.0,0.0,,-0.27,,-0.030598335153704772,-0.002658914219713184,-0.0698399416299728,,,,0.09960967595450812,,0.0,3472120000.0,-964000.0,-378359000.0,303498000.0,-0.030000000000000027,-0.030000000000000027,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
2012-12-31,25520140000.0,23010934000.0,2214041000.0,,,-747281000.0,,104401000.0,-61607000.0,54124000.0,0.42000000000000004,-508079000.0,732650000.0,-3964000.0,728686000.0,0.0,,0.42000000000000004,,0.04715404999275081,0.00409092583347897,-0.13970782075283594,,,,-0.9751164555234243,,0.0,1281996000.0,-27759000.0,341762000.0,110286000.0,-0.10999999999999999,-0.10999999999999999,0.6605679,26.56,17.95,3.66561,11888.11,11.5756,1.3302,1.91295
