report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,short_term_debt,cash,revenue,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2010-03-31,58836000000.0,26412000000.0,18417000000.0,49362000000.0,9022000000.0,,3538000000.0,8238000000.0,508000000.0,233000000.0,,231000000.0,0.36,643500000.0,551000000.0,,554000000.0,,0.0,,31.8176,1.2561,0.36,1062000000.0,0.025825759255154068,0.003960160445985451,0.028283563971837823,0.06166545277980092,0.008634169556054117,0.05630680558634449,,0.12891478514202476,0.0,1.4341097898680566,,,,,,,,,,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2010-09-30,61642000000.0,28577000000.0,20178000000.0,51310000000.0,9875000000.0,,2265000000.0,29781000000.0,2672000000.0,1732000000.0,,735000000.0,2.68,647000000.0,2832000000.0,,1681000000.0,,0.0,,25.4269,1.3254,2.68,4353000000.0,0.17539240506329115,0.028097725576717174,0.0581578859004063,0.08972163459924112,0.04334706855715259,0.2705822784810127,,0.14616701924045533,0.0,1.4162454157993856,,,,,,,,,,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2010-12-31,64020000000.0,31810000000.0,22020000000.0,52695000000.0,10864000000.0,,3592000000.0,42588000000.0,3963000000.0,2700000000.0,,968000000.0,4.15,650400000.0,5009000000.0,,2296000000.0,,0.0,1.4446,22.16,1.4049,4.15,6259000000.0,0.24852724594992637,0.04217432052483599,0.06339814032121724,0.09305438151591998,0.06190253045923149,0.3647827687776141,,0.1469662815816662,0.0,1.4445958219800181,,,,,,,,,,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2011-03-31,66387000000.0,34608000000.0,23147000000.0,53256000000.0,12672000000.0,,4869000000.0,12949000000.0,1833000000.0,1225000000.0,,512000000.0,1.84,664900000.0,765000000.0,,575000000.0,,0.0,,19.4365,1.5172,1.84,2408000000.0,0.09666982323232323,0.01845240785093467,0.09460189976059927,0.14155533245810487,0.027610827421031225,0.14464962121212122,,0.18596030581512085,0.0,1.495139758932043,93556000000.0,5890000000.0,8976000000.0,,14082000000.0,,9.030000000000001,9.030000000000001,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2011-06-30,73611000000.0,40755000000.0,23510000000.0,59715000000.0,13436000000.0,,10715000000.0,27179000000.0,3434000000.0,2240000000.0,,830000000.0,3.36,666000000.0,3294000000.0,,1174000000.0,,0.0,,17.195,1.3455,3.36,4608000000.0,0.16671628460851443,0.030430234611674885,0.08241657161779314,0.12634754773906326,0.046650636453790875,0.25558201845787437,,0.1695426616137459,0.0,1.7335176520629518,112497000000.0,7897000000.0,11902000000.0,,17628000000.0,,12.030000000000001,12.030000000000001,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2011-09-30,77767000000.0,36864000000.0,25218000000.0,63063000000.0,14213000000.0,,3229000000.0,42895000000.0,5193000000.0,3381000000.0,,1304000000.0,5.08,666100000.0,5515000000.0,,1832000000.0,,0.0,,10.9787,0.8572,5.08,7025000000.0,0.2378808133399001,0.0434760245348284,0.07882037533512064,0.12106306096281617,0.06677639615775328,0.36536973193555194,,0.16377200139876444,0.0,1.4618129907209136,125611000000.0,9546000000.0,14423000000.0,,20300000000.0,,14.430000000000001,14.430000000000001,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2011-12-31,81446000000.0,38128000000.0,28561000000.0,68044000000.0,12929000000.0,,3057000000.0,-22885000000.0,-3307000000.0,-1918000000.0,,-926000000.0,-2.880000000000001,-1330900000.0,-2564000000.0,,-1054000000.0,,0.0,1.3365,12.3489,1.0119,-2.880000000000001,-4361000000.0,-0.14834867352463454,-0.023549345578665618,0.08381035612846843,0.14450513436748963,-0.040603590108783734,-0.2557815763013381,,0.19056150316801398,0.0,1.3349672630510137,60138000000.0,4928000000.0,7153000000.0,,9680000000.0,,7.4,7.4,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2012-03-31,83908000000.0,40209000000.0,28849000000.0,68437000000.0,15016000000.0,,2864000000.0,15981000000.0,2323000000.0,1586000000.0,,689000000.0,2.37,670200000.0,330000000.0,,661000000.0,,0.0,,13.2281,1.1075,2.37,2984000000.0,0.10562067128396377,0.018901654192687228,0.09924285088542645,0.14536011513672487,0.02768508366305954,0.1547016515716569,,0.18672173205681747,0.0,1.3937744809178827,63170000000.0,5289000000.0,7643000000.0,,10256000000.0,,7.93,7.93,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2012-06-30,88838000000.0,44294000000.0,31273000000.0,72857000000.0,15981000000.0,,5103000000.0,33355000000.0,4939000000.0,3285000000.0,,1561000000.0,4.9,669900000.0,2007000000.0,,1350000000.0,,0.0,,9.1521,0.8243,4.9,6289000000.0,0.20555659846067204,0.036977419572705374,0.09848598411032829,0.14807375206116025,0.055595578468673315,0.3090545022213879,,0.18854744416129515,0.0,1.4163655549515557,69346000000.0,6334000000.0,9148000000.0,,11937000000.0,,9.469999999999999,9.469999999999999,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2012-09-30,90541000000.0,44639000000.0,31746000000.0,72605000000.0,17936000000.0,,5689000000.0,49800000000.0,7535000000.0,4984000000.0,,2314000000.0,7.44,669700000.0,3262000000.0,,2070000000.0,,0.0,,8.5579,0.8337,7.44,9605000000.0,0.2778768956289028,0.055046884836703815,0.10008032128514056,0.15130522088353413,0.08322196573927834,0.4201048171275647,,0.1928714859437751,0.0,1.4061299061299062,76251000000.0,7937000000.0,11490000000.0,,14517000000.0,,11.83,11.83,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2012-12-31,89356000000.0,42524000000.0,29755000000.0,71774000000.0,17582000000.0,,5490000000.0,-33261000000.0,-6224000000.0,-4174000000.0,,-2036000000.0,-6.23,-1340200000.0,-358000000.0,,-1268000000.0,,0.0,1.4325,10.3323,0.891,-6.23,-7492000000.0,-0.237401888294847,-0.04671202829132907,0.12549231833077779,0.1871260635579207,-0.06965396839607861,-0.3539984074621772,,0.22524878987402663,0.0,1.4291379600067216,65875000000.0,5681000000.0,8573000000.0,,11386000000.0,,8.48,8.48,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2013-03-31,88743000000.0,42145000000.0,28974000000.0,70425000000.0,18318000000.0,,5982000000.0,13210000000.0,1218000000.0,880000000.0,,246000000.0,1.0,671600000.0,,,723000000.0,,0.0,,11.318,0.8923,1.0,1941000000.0,0.04804017905884922,0.009916275086485694,0.06661619984859955,0.09220287660862983,0.013725026199249517,0.06649197510645267,,0.1469341408024224,0.0,1.454579968247394,63104000000.0,4975000000.0,7468000000.0,,10343000000.0,,7.11,7.11,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2013-06-30,87375000000.0,40805000000.0,29919000000.0,69697000000.0,17678000000.0,,6110000000.0,27831000000.0,2775000000.0,1840000000.0,,633000000.0,2.0,666600000.0,,,1484000000.0,,0.0,,12.6465,0.8877,2.0,4259000000.0,0.10408417241769431,0.02105865522174535,0.06611332686572527,0.09970895763716718,0.03175965665236052,0.1569747709016857,,0.15303079300061084,0.0,1.3638490591263077,57580000000.0,3530000000.0,5304000000.0,,8313000000.0,,4.21,4.21,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2013-09-30,87272000000.0,40088000000.0,29119000000.0,69095000000.0,18177000000.0,,6357000000.0,41254000000.0,4176000000.0,2786000000.0,,943000000.0,4.0,661300000.0,,,2263000000.0,,0.0,,15.2375,0.9257,4.0,6439000000.0,0.15327061671342906,0.03192318269318911,0.06753284529984971,0.1012265477287051,0.04785039875332294,0.2297408813335534,,0.15608183448877685,0.0,1.3766956282839384,49034000000.0,1332000000.0,1945000000.0,,5147000000.0,,0.7699999999999996,0.7699999999999996,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2013-12-31,84896000000.0,38335000000.0,27297000000.0,64018000000.0,20878000000.0,,6081000000.0,-26639000000.0,-2541000000.0,-1717000000.0,,-503000000.0,-1.25,-1340900000.0,10191000000.0,,-1383000000.0,,0.0,1.4044,15.2865,1.0407,-1.25,-3924000000.0,-0.08223967813008909,-0.02022474557105164,0.06445437141033823,0.09538646345583543,-0.029930738786279682,-0.12170706006322445,,0.1473028266826833,0.0,1.40436678023226,55656000000.0,3789000000.0,5628000000.0,,8715000000.0,,5.75,5.75,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2014-03-31,84397000000.0,37968000000.0,27295000000.0,64028000000.0,20369000000.0,,5345000000.0,13241000000.0,1398000000.0,922000000.0,,418000000.0,1.0,639300000.0,,,781000000.0,,0.0,,16.1916,1.1139,1.0,2179000000.0,0.04526486327262016,0.010924558929819781,0.06963220300581527,0.10558114946001057,0.016564569830681185,0.06863370808581669,,0.16456460992372177,0.0,1.3910239970690603,55687000000.0,3831000000.0,5808000000.0,,8953000000.0,,5.75,5.75,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2014-06-30,87827000000.0,41276000000.0,29741000000.0,66904000000.0,20923000000.0,,7927000000.0,27391000000.0,2873000000.0,1921000000.0,,837000000.0,3.0,639300000.0,,,1570000000.0,,0.0,,17.63,1.2357,3.0,4443000000.0,0.09181283754719687,0.021872544889384813,0.07013252528202694,0.10488846701471286,0.032712036162000295,0.13731300482722364,,0.1622065641999197,0.0,1.3878484247335328,55247000000.0,3912000000.0,5906000000.0,,9137000000.0,,6.75,6.75,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2014-09-30,84488000000.0,39042000000.0,27589000000.0,65592000000.0,18896000000.0,,6082000000.0,40940000000.0,4265000000.0,2938000000.0,,1201000000.0,4.0,632700000.0,,,2368000000.0,,0.0,,15.2126,1.0833,4.0,6633000000.0,0.15548264182895852,0.03477416911277341,0.07176355642403517,0.10417684416218857,0.05048054161537733,0.2257091447925487,,0.16201758671226185,0.0,1.4151292181666606,54933000000.0,4064000000.0,5995000000.0,,9331000000.0,,6.75,6.75,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
2014-12-31,84681000000.0,38867000000.0,27877000000.0,67855000000.0,16826000000.0,,7341000000.0,-26388000000.0,-3208000000.0,-2086000000.0,,-1076000000.0,-3.0,-1282400000.0,,,-1556000000.0,,0.0,1.3942,15.0155,1.0054,-3.0,-4764000000.0,-0.12397480090336384,-0.02463362501623741,0.07905108382598151,0.1215704107927846,-0.037883350456418795,-0.19065731605848094,,0.18053660754888587,0.0,1.394231803996126,55184000000.0,3695000000.0,5328000000.0,,8491000000.0,,5.0,5.0,0.0,,1.5844635,789.81,267.3,2.69519,322732.62,36.3274,12.5758,4.7749
