report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pb_annual,bf_ps_ttm
2010-07-04,6740380000.0,3457466000.0,887020000.0,2171529000.0,4571810000.0,,1237011000.0,2265731000.0,1046560000.0,672807000.0,,189184000.0,2.07,238566000.0,713345000.0,37414000.0,,675931000.0,0.0,,,2.07,672807000.0,,,,0.4619083200962515,0.29694919652862584,0.0998173693471288,0.14716425223270432,0.29832800098511253,0.29694919652862584,0.0,3.8978444679939575,,,,,,,,,,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2010-10-03,8116138000.0,3928095000.0,901777000.0,2933863000.0,5185433000.0,,865388000.0,3499404000.0,1685805000.0,1104531000.0,,295648000.0,3.41,239249000.0,1092495000.0,59728000.0,,1032767000.0,0.0,,,3.41,1104531000.0,,,,0.48174060497158944,0.315634033681164,0.13609071210962653,0.21300651266731244,0.29512654154821794,0.315634033681164,0.0,4.355949419867661,,,,,,,,,,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2011-07-03,9487807000.0,3907479000.0,1026700000.0,3127493000.0,6363734000.0,,974854000.0,2669193000.0,1165024000.0,728310000.0,,223157000.0,1.94,243718000.0,667885000.0,,,,0.0,,,1.94,728310000.0,,,,0.43647049876123606,0.272857751387779,0.07676273347465858,0.114446958342382,,0.272857751387779,0.0,3.8058624719976626,,,,,,,,,,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2011-10-02,9860895000.0,3972799000.0,1142380000.0,3145386000.0,6719034000.0,,1074850000.0,4085225000.0,1777405000.0,1114437000.0,,352453000.0,2.9,243782000.0,844220000.0,,,,0.0,,,2.9,1114437000.0,,,,0.43508129907165455,0.2727969695671597,0.11301580637457351,0.16586268204625843,,0.2727969695671597,0.0,3.477651044311,12519553000.0,,3620085000.0,5674794000.0,,3620085000.0,10.32,10.32,0.0,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2012-01-01,10174648000.0,4355961000.0,1093374000.0,3113809000.0,7064358000.0,,1167496000.0,5662145000.0,2439146000.0,1530100000.0,,489764000.0,4.04,244553000.0,1053772000.0,,,,0.0,,,4.04,1530100000.0,,,,0.43078126752317364,0.2702332773180482,0.15038358083739112,0.21659434586978746,,0.2702332773180482,0.0,3.983962486761163,15915967000.0,,4477378000.0,7067380000.0,,4477378000.0,12.29,12.29,0.0,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2012-04-01,10012107000.0,4084546000.0,904131000.0,2983146000.0,7032635000.0,,1093263000.0,1205561000.0,416510000.0,191864000.0,,52163000.0,0.46,247102000.0,67174000.0,,,,0.0,,,0.46,191864000.0,,,,0.3454906056184631,0.15914914301308686,0.019163199114831674,0.027281950506460238,,0.15914914301308686,0.0,4.517648438113503,13622124000.0,,3564711000.0,5798085000.0,,3564711000.0,9.34,9.34,0.0,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2012-07-01,10075749000.0,4136879000.0,1824395000.0,3037868000.0,7041844000.0,,1070454000.0,2237816000.0,697287000.0,228047000.0,,58180000.0,0.52,246026000.0,86289000.0,,,,0.0,,,0.52,228047000.0,,,,0.3115926421117733,0.10190605483203266,0.022633255354018843,0.03238455722677185,,0.10190605483203266,0.0,2.2675347169883713,13190747000.0,,3064448000.0,5330348000.0,,3064448000.0,7.92,7.92,0.0,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2012-09-30,10321511000.0,4318628000.0,1896914000.0,3113500000.0,7212358000.0,,1110485000.0,3511006000.0,1080208000.0,360120000.0,,100051000.0,0.83,245502000.0,214228000.0,,,,0.0,,,0.83,360120000.0,,,,0.3076633876444529,0.10256889335990882,0.03489024039212863,0.049930965711907256,,0.10256889335990882,0.0,2.2766598802054285,12616528000.0,,2310131000.0,4633151000.0,,2310131000.0,5.849999999999999,5.849999999999999,0.0,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2012-12-30,10339127000.0,4606360000.0,1881667000.0,3079527000.0,7263901000.0,,995470000.0,-1901874000.0,-510785000.0,-83936000.0,,-882000.0,-0.1100000000000001,-493377000.0,162163000.0,,,,0.0,,,-0.1100000000000001,-83936000.0,,,,0.2685693163690129,0.04413331272208359,-0.008118286969489784,-0.01155522356375727,,0.04413331272208359,0.0,2.448020824088428,5052509000.0,,696095000.0,1683220000.0,,696095000.0,1.6999999999999997,1.6999999999999997,0.0,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
2025-03-28,12960000000.0,5090000000.0,1375000000.0,3799000000.0,9161000000.0,1927000000.0,1507000000.0,5454000000.0,1714000000.0,-1395000000.0,-1618000000.0,157000000.0,-11.16,145000000.0,-10000000.0,159000000.0,127000000.0,-169000000.0,1927000000.0,,,-11.16,-1268000000.0,-0.17661827311428882,-0.12484567901234568,-0.2966629996332967,0.3142647598093143,-0.25577557755775576,-0.1076388888888889,-0.12581168831168832,-0.030986431976530986,-0.2324899156582325,0.21034821526034275,3.7018181818181817,9300948000.0,,-890769000.0,2980710000.0,,-763769000.0,-9.92,-9.92,-2.523014157421943,2.8500998,777.6,27.885,19.83865,103555.37,0.747,11.5976
